index,true_options,selected_true_option,p_true,nonconformity_score,top_tokens,top_logprobs
1,A,A,0.0777262631043774,0.9222737368956226,"B,E,C,A,D","-0.16776164,-2.4277751,-2.8090065,-5.489238,-6.335082"
2,B,B,0.27849720599009314,0.7215027940099068,"A,B,C,D,E","-0.09598,-2.405331,-6.877272,-9.20723,-9.236586"
3,E,E,0.06853191305963235,0.9314680869403676,"A,D,E,C,B","-0.24740584,-1.537836,-6.2112503,-6.309004,-7.8720493"
4,A,A,0.051003460668270786,0.9489965393317292,"E,C,B,D,A","-0.028619796,-3.8258896,-5.5190372,-6.371065,-7.4590397"
5,C,C,0.24237026555328783,0.7576297344467122,"D,B,C,E,A","-0.9273499,-1.0613087,-1.5046681,-3.3886137,-6.036399"
6,D,D,0.24674724809311627,0.7532527519068837,"E,D,B,C,A","-0.18811217,-2.0528069,-3.698986,-4.0135612,-9.177374"
7,C,C,0.023846167548654637,0.9761538324513453,"A,E,D,B,C","-0.07027174,-2.6944573,-9.145297,-9.282466,-9.966121"
8,A,A,0.14628679885686802,0.853713201143132,"B,E,D,A,C","-0.25309157,-2.040777,-2.9111955,-3.3042676,-6.0002956"
9,C,C,0.08282217339886101,0.917177826601139,"D,E,A,C,B","-0.009973756,-5.1992016,-6.1488876,-6.2722206,-8.131643"
10,C,C,0.5698094607399692,0.4301905392600308,"C,B,A,E,D","-0.11159135,-2.2694492,-6.7239265,-7.2850018,-8.265957"
11,A,A,0.09114079029454804,0.908859209705452,"D,E,C,B,A","-0.27829966,-2.2023394,-2.2565043,-4.0323014,-4.640221"
12,B,B,0.10195616250353977,0.8980438374964602,"D,E,B,C,A","-0.012150632,-5.312846,-5.5272093,-6.3980055,-6.5979757"
13,C,C,0.13023274447074026,0.8697672555292597,"E,A,C,B,D","-0.115477644,-2.4953108,-4.119281,-4.6406183,-7.5252523"
14,C,C,0.41499989097515233,0.5850001090248477,"C,A,B,E,D","-0.4252598,-1.2299702,-2.9512494,-6.6914053,-7.6418753"
15,B,B,0.06843591708460804,0.9315640829153919,"D,A,E,B,C","-0.064996175,-3.100618,-4.1609206,-6.31965,-7.898414"
16,D,D,0.06655780083008624,0.9334421991699138,"E,B,A,D,C","-0.11722842,-2.5491304,-3.5008802,-6.228629,-8.530913"
17,D,D,0.0590183514791082,0.9409816485208918,"E,C,A,B,D","-0.1094471,-2.7038798,-3.8129382,-4.3508162,-6.4049926"
18,E,E,0.08205667833636525,0.9179433216636348,"D,B,E,A,C","-0.015515609,-4.40076,-6.2524943,-7.3953853,-7.5297847"
19,B,B,0.2909500188705846,0.7090499811294154,"B,C,E,D,A","-0.83119386,-0.9014091,-2.539854,-3.0091972,-3.5021"
20,B,B,0.5314237377605646,0.4685762622394354,"B,E,A,C,D","-0.10051935,-2.4471343,-5.1876545,-6.010006,-6.9668064"
21,B,B,0.19902264604311087,0.8009773539568892,"E,B,C,D,A","-0.08517485,-3.0234797,-3.4686034,-6.6242967,-7.8761563"
22,B,B,0.3401720034903327,0.6598279965096673,"C,B,E,A,D","-0.3644421,-1.223243,-4.937957,-5.6021566,-8.582543"
23,E,E,0.05195413064872721,0.9480458693512728,"D,A,E,C,B","-0.03117036,-3.5063252,-7.72506,-9.241035,-9.4220295"
