index,true_options,selected_true_option,p_true,nonconformity_score,top_tokens,top_logprobs
1,A,A,0.23997449743235197,0.760025502567648,"E,C,A,B,D","-0.3443872928619385,-1.8443872928619385,-2.0318872928619385,-6.328762054443359,-7.985012054443359"
2,B,B,0.6679638369206415,0.33203616307935846,"B,A,C,E,D","-0.0002137882256647572,-8.797088623046875,-10.203338623046875,-10.828338623046875,-12.609588623046875"
3,E,E,0.4929873799892908,0.5070126200107092,"E,A,C,B,D","-0.006199553608894348,-5.506199359893799,-6.896824359893799,-7.256199359893799,-7.834324359893799"
4,A,A,0.28211844286821447,0.7178815571317856,"E,A,C,D,B","-0.18058247864246368,-1.9462075233459473,-3.8055825233459473,-9.102457046508789,-10.180582046508789"
5,C,C,0.714393198927827,0.28560680107217296,"C,D,B,E,A","-0.00033117449493147433,-8.047205924987793,-11.875330924987793,-12.719080924987793,-17.84408187866211"
6,D,D,0.5828502839667895,0.4171497160332105,"D,E,C,B,A","-0.025173800066113472,-3.6970489025115967,-9.759549140930176,-14.243924140930176,-16.79079818725586"
7,C,C,0.5015008821492433,0.49849911785075673,"C,A,E,B,D","-0.06034543737769127,-2.841595411300659,-8.810345649719238,-9.575970649719238,-11.685345649719238"
8,A,A,0.5807262177801037,0.4192737822198963,"A,D,C,B,E","-0.0077967215329408646,-4.867171764373779,-10.039046287536621,-10.929671287536621,-11.695296287536621"
9,C,C,0.5109328896561806,0.48906711034381944,"C,D,A,E,B","-0.11806176602840424,-2.1961867809295654,-8.961812019348145,-12.961812019348145,-15.086812019348145"
10,C,C,0.7837239346013553,0.21627606539864475,"C,B,E,D,A","-9.353008499601856e-05,-9.296968460083008,-14.750093460083008,-15.031343460083008,-19.984468460083008"
11,A,A,0.5226865951566239,0.47731340484337614,"A,D,E,C,B","-0.0061713517643511295,-5.209296226501465,-8.209296226501465,-8.349921226501465,-8.646796226501465"
12,B,B,0.424204246915266,0.575795753084734,"B,D,A,E,C","-0.23938383162021637,-1.5518838167190552,-7.130008697509766,-8.645633697509766,-9.723758697509766"
13,C,C,0.2246719608233923,0.7753280391766078,"E,C,A,D,B","-0.031535424292087555,-3.6409103870391846,-5.390910625457764,-8.953410148620605,-9.000285148620605"
14,C,C,0.8406979576537112,0.15930204234628875,"C,E,B,A,D","-2.816093228830141e-06,-12.98437786102295,-15.20312786102295,-16.375001907348633,-17.640626907348633"
15,B,B,0.25700346215506964,0.7429965378449304,"D,B,C,E,A","-0.16782191395759583,-2.3084468841552734,-2.9021968841552734,-9.261571884155273,-9.886571884155273"
16,D,D,0.27418559309349777,0.7258144069065022,"A,D,C,E,B","-0.6486001014709473,-1.0392251014709473,-2.2111001014709473,-4.304850101470947,-7.882975101470947"
17,D,D,0.16860795810720727,0.8313920418927927,"E,C,D,A,B","-0.4137832224369049,-1.1637831926345825,-3.851283311843872,-5.366908073425293,-7.398158073425293"
18,E,E,0.39466396082485455,0.6053360391751454,"E,D,A,C,B","-0.39024704694747925,-1.140247106552124,-5.843371868133545,-7.827746868133545,-11.374622344970703"
19,B,B,0.46691817420758575,0.5330818257924143,"B,E,C,A,D","-0.28125447034835815,-1.406254529953003,-9.281254768371582,-11.968754768371582,-12.828129768371582"
20,B,B,0.6745139290472876,0.3254860709527124,"B,E,C,D,A","-0.0006054567056708038,-7.453730583190918,-11.156855583190918,-11.766230583190918,-14.516230583190918"
21,B,B,0.33230943402934937,0.6676905659706507,"B,E,C,D,A","-0.44626080989837646,-1.0712608098983765,-4.461885929107666,-5.665010929107666,-6.040010929107666"
22,B,B,0.7595491513556524,0.24045084864434763,"B,C,E,A,D","-9.829823102336377e-05,-9.25009822845459,-14.15634822845459,-14.65634822845459,-15.28134822845459"
23,E,E,0.34539811833448636,0.6546018816655137,"D,E,C,A,B","-0.3539809584617615,-1.2133560180664062,-7.635231018066406,-7.994606018066406,-9.978981018066406"
24,E,E,0.5807029219359927,0.4192970780640073,"E,C,D,B,A","-0.015641774982213974,-4.171891689300537,-9.312517166137695,-12.828142166137695,-14.640642166137695"
25,D,D,0.4706190906756882,0.5293809093243118,"D,A,C,E,B","-0.12359406799077988,-2.154844045639038,-8.264219284057617,-9.982969284057617,-10.592344284057617"
26,E,E,0.5911514727694904,0.4088485272305096,"E,C,D,B,A","-0.06012007221579552,-2.841370105743408,-13.20074462890625,-17.63824462890625,-20.63824462890625"
27,A,A,0.47492992214946145,0.5250700778505386,"A,D,E,C,B","-0.25196921825408936,-1.5019692182540894,-11.048844337463379,-11.251969337463379,-11.736344337463379"
28,D,D,0.34831277757508233,0.6516872224249177,"B,D,C,E,A","-0.23861609399318695,-1.5511161088943481,-8.597990989685059,-9.488615989685059,-12.066740989685059"
29,A,A,0.6457607194258923,0.3542392805741077,"A,E,B,D,C","-0.004416347946971655,-5.426291465759277,-12.988791465759277,-13.145041465759277,-13.770041465759277"
30,C,C,0.26306806380509185,0.7369319361949082,"D,C,E,A,B","-0.05625351145863533,-2.946878433227539,-6.196878433227539,-8.853128433227539,-11.259378433227539"
31,B,B,0.9068494954786671,0.09315050452133289,"B,E,C,D,A","-1.7432603272027336e-06,-17.125001907348633,-17.421876907348633,-19.500001907348633,-19.750001907348633"
32,E,E,0.6303948844513824,0.36960511554861764,"E,B,D,C,A","-0.002130514243617654,-6.174005508422852,-10.674005508422852,-10.799005508422852,-13.939630508422852"
33,E,E,0.5074615155622487,0.4925384844377513,"E,D,C,B,A","-0.037862904369831085,-3.35036301612854,-6.178487777709961,-11.819112777709961,-13.522237777709961"
34,C,C,0.5529515269120265,0.44704847308797346,"C,D,A,E,B","-0.009404470212757587,-4.69690465927124,-8.900029182434082,-9.306279182434082,-11.931279182434082"
35,C,C,0.6468604784260548,0.35313952157394524,"C,B,E,D,A","-0.003008011495694518,-5.815507888793945,-11.487382888793945,-11.799882888793945,-16.331132888793945"
36,E,E,0.5723136278387361,0.42768637216126393,"E,D,C,A,B","-0.0020591423381119967,-6.689558982849121,-7.205183982849121,-10.377058982849121,-10.502058982849121"
37,C,C,0.2705428289641611,0.7294571710358388,"D,C,E,B,A","-0.022932585328817368,-3.788557529449463,-10.335433006286621,-13.038558006286621,-13.429183006286621"
38,A,A,0.648570276821544,0.351429723178456,"A,E,D,B,C","-0.005078279413282871,-5.286328315734863,-13.567578315734863,-13.598828315734863,-13.926953315734863"
39,D,D,0.2097274150287622,0.7902725849712378,"B,D,A,E,C","-0.008777298033237457,-4.774402141571045,-8.680652618408203,-9.321277618408203,-10.571277618408203"
40,E,E,0.6181912500479386,0.3818087499520614,"E,B,C,D,A","-0.0013634508941322565,-6.704488277435303,-9.266988754272461,-10.110738754272461,-13.532613754272461"
41,E,E,0.16641913500051014,0.8335808649994898,"A,E,C,B,D","-0.00517303915694356,-5.786423206329346,-6.317673206329346,-8.208297729492188,-11.552047729492188"
42,E,E,0.5805934821783284,0.4194065178216716,"E,A,C,D,B","-0.002901520347222686,-5.909151554107666,-9.159151077270508,-9.737276077270508,-10.924776077270508"
43,E,E,0.15963928938849614,0.8403607106115039,"D,B,C,E,A","-0.0726480707526207,-3.135148048400879,-4.213273048400879,-4.494523048400879,-8.244523048400879"
44,E,E,0.7314182517255068,0.2685817482744932,"E,D,C,A,B","-0.0003969455719925463,-7.844146728515625,-12.797271728515625,-15.703521728515625,-16.312896728515625"
45,D,D,0.21037196363119265,0.7896280363688073,"C,D,B,E,A","-0.0029901787638664246,-5.815490245819092,-13.034239768981934,-13.065489768981934,-18.14361572265625"
46,B,B,0.19180799541054347,0.8081920045894565,"E,B,C,A,D","-0.010166722349822521,-4.760166645050049,-6.838291645050049,-8.057042121887207,-8.744542121887207"
47,C,C,0.7968412067851438,0.2031587932148562,"C,A,B,D,E","-1.1637164789135568e-05,-11.546886444091797,-13.453136444091797,-15.453136444091797,-15.812511444091797"
48,C,C,0.2220628189362614,0.7779371810637385,"E,B,C,A,D","-0.5716677308082581,-1.3529176712036133,-1.9622926712036133,-3.3216676712036133,-8.134167671203613"
49,E,E,0.7451614238925369,0.2548385761074631,"E,D,B,C,A","-4.024604277219623e-05,-10.625040054321289,-11.718790054321289,-11.968790054321289,-16.71879005432129"
50,C,C,0.33448198148984265,0.6655180185101573,"C,A,D,E,B","-0.24586714804172516,-1.714617133140564,-3.8239922523498535,-4.2771172523498535,-6.1208672523498535"
51,E,E,0.25195482026607535,0.7480451797339247,"D,E,C,B,A","-0.36205747723579407,-1.4870574474334717,-2.7995574474334717,-4.174557685852051,-6.549557685852051"
52,B,B,0.27423605380434085,0.7257639461956591,"B,A,E,C,D","-0.7540836334228516,-1.1134586334228516,-1.6915836334228516,-4.488458633422852,-5.175958633422852"
53,E,E,0.5705174877639984,0.42948251223600165,"E,D,C,B,A","-0.023640718311071396,-3.7580156326293945,-11.133015632629395,-12.164265632629395,-12.508015632629395"
54,D,D,0.2089270381362282,0.7910729618637717,"A,D,E,B,C","-0.005843704100698233,-5.193343639373779,-8.224594116210938,-12.693344116210938,-13.349594116210938"
55,C,C,0.8845865746501258,0.1154134253498742,"C,E,B,D,A","-5.512236498361744e-07,-15.203125953674316,-16.84375,-17.453125,-20.15625"
56,A,A,0.3283267561582388,0.6716732438417612,"A,B,C,E,D","-0.5164516568183899,-1.2664515972137451,-2.125826597213745,-6.157076835632324,-10.469576835632324"
57,C,C,0.33538358612759095,0.6646164138724091,"C,A,E,D,B","-0.29926520586013794,-1.5648901462554932,-3.111765146255493,-5.893015384674072,-6.174265384674072"
58,B,B,0.7789072127512269,0.22109278724877313,"B,C,E,A,D","-2.3319124011322856e-05,-11.031272888183594,-12.234397888183594,-14.984397888183594,-16.453147888183594"
59,D,D,0.1289418306192038,0.8710581693807962,"B,C,D,E,A","-0.02638714760541916,-3.6826372146606445,-7.0732622146606445,-11.667012214660645,-13.213887214660645"
60,E,E,0.3165173512960494,0.6834826487039506,"D,E,C,A,B","-0.10815581679344177,-2.2800307273864746,-8.592531204223633,-10.389406204223633,-12.295656204223633"
