index,true_options,selected_true_option,p_true,nonconformity_score,top_tokens,top_logprobs
1,D,D,0.1468053826166375,0.8531946173833624,"A,D,B,E,C","-0.24277468,-1.9187009,-2.7070997,-6.5419784,-7.544309"
2,D,D,0.47057919919806074,0.5294208008019392,"D,A,E,C,B","-0.753842,-0.9396826,-2.1720815,-3.743031,-6.8883977"
3,B,B,0.7028033314827127,0.2971966685172873,"B,C,D,E,A","-0.35271364,-1.8116713,-2.8390837,-3.18966,-3.3772802"
4,E,E,0.009148307589333127,0.9908516924106668,"D,C,E,B,A","-0.033126075,-3.8047726,-4.694236,-6.9671946,-8.625947"
5,C,C,0.06887306244672911,0.9311269375532709,"A,D,C,B,E","-0.6286896,-1.1533954,-2.6755207,-2.823304,-3.7794387"
6,B,B,0.0008143427902377115,0.9991856572097623,"A,D,E,B,C","-0.0278067,-3.710588,-6.2901797,-7.113189,-8.368941"
7,C,C,0.001005161785334075,0.998994838214666,"E,B,A,C,D","-0.07864916,-3.0412955,-3.6404605,-6.902654,-7.4694037"
8,E,E,0.80702310515387,0.19297689484613,"E,A,B,C,D","-0.21449749,-1.6770219,-5.7894983,-5.8602324,-9.038777"
9,A,A,0.17683211154093711,0.8231678884590629,"B,C,A,E,D","-0.6317256,-1.4406912,-1.7326605,-2.9630263,-5.8155923"
10,A,A,0.4183318197012544,0.5816681802987456,"A,E,D,C,B","-0.8715904,-0.9360626,-1.6767185,-6.212884,-7.7169447"
11,D,D,0.004059343555930455,0.9959406564440696,"C,B,E,A,D","-0.1399337,-2.195611,-4.8597994,-4.900834,-5.506776"
12,C,C,0.23254261622722056,0.7674573837727794,"B,C,E,D,A","-0.5076267,-1.4587986,-1.9031136,-4.5612,-5.1341352"
13,C,C,0.9336482204366447,0.06635177956335525,"C,D,E,A,B","-0.068717964,-3.0003586,-4.2636547,-6.672077,-6.6911373"
14,E,E,0.023918450992463404,0.9760815490075366,"B,D,E,C,A","-0.47787485,-1.1201955,-3.733162,-3.7761192,-4.9910126"
15,A,A,0.8087335118850864,0.19126648811491365,"A,B,E,D,C","-0.21232285,-1.9503046,-3.0729854,-5.9397054,-9.087386"
16,E,E,0.009651947016112878,0.9903480529838872,"D,A,C,E,B","-0.23388089,-1.7581309,-3.6457043,-4.6406384,-7.875723"
17,B,B,0.6106534717111679,0.3893465282888321,"B,A,E,D,C","-0.493282,-1.0616947,-3.357025,-4.9804378,-6.350652"
18,A,A,0.15476931558962753,0.8452306844103725,"D,A,B,E,C","-0.17446364,-1.8658489,-6.0271955,-6.0470357,-7.559033"
19,D,D,0.2535264857662696,0.7464735142337304,"A,D,B,C,E","-0.29370654,-1.3723446,-7.6800456,-8.065653,-8.745523"
20,B,B,0.7687702237149747,0.23122977628502528,"B,A,E,D,C","-0.26305008,-1.6494198,-3.4055061,-5.6911774,-5.998419"
21,C,C,0.7661864051912485,0.23381359480875152,"C,D,B,A,E","-0.26636824,-2.2715085,-3.0640633,-3.1325924,-3.2102635"
22,C,C,0.4442710235323072,0.5557289764676928,"A,C,B,D,E","-0.7308204,-0.8114383,-2.67615,-5.853772,-6.0104322"
23,A,A,0.0013382703816553492,0.9986617296183447,"C,D,E,B,A","-0.48314583,-0.984954,-5.0796595,-6.187375,-6.6164656"
24,E,E,0.09124169732895517,0.9087583026710448,"A,B,E,C,D","-0.49216634,-1.2255075,-2.3943021,-5.9980736,-6.6362114"
25,E,E,0.00040168332777455745,0.9995983166722254,"B,C,A,E,D","-0.008299427,-4.9210324,-7.6414895,-7.819863,-9.49516"
26,C,C,0.007922900735313607,0.9920770992646863,"E,B,A,C,D","-0.19973794,-2.039061,-3.1504598,-4.8380704,-9.477812"
27,E,E,0.6265976312695353,0.37340236873046473,"E,A,D,C,B","-0.46750495,-1.1191983,-3.1248937,-6.273192,-6.8950124"
28,E,E,0.036654855777659034,0.963345144222341,"C,B,E,A,D","-0.6313152,-0.847475,-3.3062534,-5.930521,-8.261328"
29,E,E,0.04715704721758867,0.9528429527824114,"D,A,E,C,B","-0.16209553,-2.2858481,-3.0543666,-7.423002,-9.137639"
30,E,E,0.4377799357312315,0.5622200642687685,"E,C,D,B,A","-0.8261768,-1.0865357,-1.6733792,-3.3027985,-7.909669"
31,A,A,0.005462195993954378,0.9945378040060456,"E,B,A,C,D","-0.0511654,-3.1604335,-5.2100554,-6.3323755,-9.421714"
32,A,A,0.7055541442905475,0.2944458557094525,"A,C,E,D,B","-0.34882778,-1.2467389,-5.189406,-6.7856164,-8.168329"
33,E,E,0.0021984567566769543,0.997801543243323,"A,D,E,B,C","-0.3181423,-1.3087124,-6.1200566,-9.877428,-10.540987"
34,C,C,0.5834963328748802,0.41650366712511977,"C,B,D,E,A","-0.53881,-1.1492531,-2.3633206,-5.64968,-6.2318697"
35,A,A,0.022847128676467453,0.9771528713235326,"D,C,A,E,B","-0.18087202,-2.0256672,-3.7790241,-4.624096,-7.130556"
36,B,B,0.44956334106952905,0.550436658930471,"B,C,E,A,D","-0.7995203,-1.142225,-1.5946081,-4.204756,-4.3130264"
37,A,A,0.6953254319997997,0.3046745680002003,"A,E,C,D,B","-0.36347163,-1.392677,-2.8866305,-8.0463505,-8.793369"
38,D,D,5.5919253161515275e-05,0.9999440807468385,"B,A,E,D,C","-0.000601169,-7.9526715,-8.906084,-9.791615,-10.017719"
39,D,D,0.012919112374523726,0.9870808876254763,"B,D,E,C,A","-0.024718348,-4.349084,-5.186616,-5.295432,-7.06458"
40,A,A,0.00018571834855308863,0.9998142816514469,"B,D,A,C,E","-0.0005476722,-8.414522,-8.5913105,-9.280449,-11.059145"
41,E,E,0.28421761651058697,0.715782383489413,"C,E,B,A,D","-0.33555314,-1.258153,-7.6902533,-8.452172,-9.560515"
42,C,C,0.8872684762875235,0.11273152371247652,"C,A,B,E,D","-0.11969464,-2.6340208,-3.841487,-3.949542,-8.481336"
43,E,E,0.00443942248183429,0.9955605775181657,"C,B,E,A,D","-0.027948124,-3.914623,-5.4173446,-5.9014335,-8.031467"
44,A,A,0.16956711873440844,0.8304328812655916,"B,A,D,C,E","-0.33270168,-1.774581,-2.2682714,-5.27485,-5.3438845"
45,E,E,0.38021710486641636,0.6197828951335836,"A,E,C,B,D","-0.9555486,-0.9671529,-1.4563019,-6.2802672,-8.983882"
46,C,C,0.11881407286567401,0.881185927134326,"A,C,B,D,E","-0.28112695,-2.1302423,-2.2830229,-3.8681307,-5.7020082"
47,C,C,0.5351673428639478,0.46483265713605215,"C,B,D,A,E","-0.62522334,-1.4130442,-1.5689929,-5.005127,-5.0435104"
48,E,E,0.047090515549168495,0.9529094844508315,"C,B,E,D,A","-0.24844974,-1.9711747,-3.0558534,-3.5052705,-5.681948"
49,B,B,0.07466674841863637,0.9253332515813636,"C,B,E,A,D","-0.08354013,-2.594828,-5.5054016,-7.304304,-7.3506966"
50,D,D,0.0018819420431539107,0.998118057956846,"E,A,C,D,B","-0.025598707,-3.9448798,-6.0123386,-6.2755146,-6.484743"
51,D,D,0.29427523734613403,0.705724762653866,"C,D,E,A,B","-0.35222054,-1.2233143,-6.525938,-7.413048,-7.6441135"
52,C,C,0.4472532738134016,0.5527467261865984,"A,C,B,D,E","-0.63730896,-0.8046807,-3.8083048,-6.779029,-7.289897"
53,B,B,0.024740488110522867,0.9752595118894771,"A,B,C,D,E","-0.050529443,-3.6993713,-3.9198914,-5.6976585,-6.6602592"
54,B,B,0.04652058063973035,0.9534794193602697,"A,C,B,E,D","-0.1909181,-2.1737978,-3.067942,-4.8762646,-5.144537"
55,A,A,0.3129633357964844,0.6870366642035156,"B,A,E,D,C","-0.38330096,-1.1617129,-5.264677,-8.541023,-10.331839"
56,B,B,0.0051283746617603486,0.9948716253382397,"C,D,E,B,A","-0.09702489,-2.8092842,-3.6129875,-5.273052,-10.292168"
57,E,E,0.1552259162856102,0.8447740837143898,"B,D,E,C,A","-0.7492262,-0.99907744,-1.8629042,-5.8836503,-6.8953176"
58,D,D,0.16649668406177837,0.8335033159382217,"C,D,E,B,A","-0.27663398,-1.7928674,-2.6139657,-6.4094276,-8.47369"
