index,true_options,selected_true_option,p_true,nonconformity_score,top_tokens,top_logprobs
1,D,D,0.31961841922585893,0.6803815807741411,"A,D,B,C,E","-0.45356717705726624,-1.1410671472549438,-3.2035672664642334,-5.516067028045654,-9.359817504882812"
2,D,D,0.5547925494142931,0.4452074505857069,"D,A,E,C,B","-0.5892286896705627,-0.8392286896705627,-4.401728630065918,-7.073603630065918,-10.401728630065918"
3,B,B,0.9962526971634117,0.0037473028365883065,"B,C,E,D,A","-0.0037561366334557533,-6.019381046295166,-6.660006046295166,-10.269381523132324,-15.003756523132324"
4,E,E,0.8354388364385497,0.16456116356145034,"E,C,D,B,A","-0.17980775237083435,-1.8048077821731567,-9.914182662963867,-12.539182662963867,-14.601682662963867"
5,C,C,0.5170641351877843,0.48293586481221573,"C,D,A,E,B","-0.6598037481307983,-1.3004287481307983,-1.8160537481307983,-3.206678867340088,-4.925428867340088"
6,B,B,0.5389182417361101,0.46108175826388986,"B,A,D,C,E","-0.6184034943580627,-0.7746534943580627,-9.462153434753418,-10.102778434753418,-13.212153434753418"
7,C,C,0.5726592037279228,0.4273407962720772,"C,A,E,B,D","-0.5576139092445374,-1.0263638496398926,-2.8076138496398926,-4.760738849639893,-9.69823932647705"
8,E,E,0.3783505898351546,0.6216494101648453,"C,E,A,B,D","-0.5036152005195618,-0.9723652005195618,-4.081740379333496,-8.847365379333496,-10.941115379333496"
9,A,A,0.9671489976250108,0.03285100237498917,"A,C,E,B,D","-0.03352212905883789,-4.064772129058838,-4.299147129058838,-6.189772129058838,-9.90852165222168"
10,A,A,0.7530259609283936,0.24697403907160642,"A,E,D,B,C","-0.28417181968688965,-1.4091718196868896,-6.065422058105469,-9.034172058105469,-9.721672058105469"
11,D,D,0.9974319570057286,0.00256804299427138,"D,E,B,C,A","-0.0026007455307990313,-6.20572566986084,-7.64322566986084,-9.56510066986084,-14.15885066986084"
12,C,C,0.5152719515007027,0.4847280484992973,"C,E,B,D,A","-0.6630728840827942,-0.7255728840827942,-7.3193230628967285,-11.31932258605957,-16.20994758605957"
13,C,C,0.9777135088659762,0.02228649113402381,"C,D,E,B","-0.022561095654964447,-3.8038110733032227,-15.319436073303223,-16.22568702697754"
14,E,E,0.6304546395242587,0.36954536047574127,"E,B,C,D,A","-0.4613402187824249,-1.2269651889801025,-2.5863401889801025,-6.851965427398682,-13.008214950561523"
15,A,A,0.8420231213110584,0.1579768786889416,"A,E,B,D,C","-0.17313152551651,-1.8606314659118652,-6.157506465911865,-9.891881942749023,-9.954381942749023"
16,E,E,0.20776026639631154,0.7922397336036885,"A,E,D,C,B","-0.2589060664176941,-1.5714061260223389,-4.38390588760376,-5.05578088760376,-6.52453088760376"
17,B,B,0.2075894703471774,0.7924105296528225,"E,A,B,D,C","-0.5722838640213013,-1.4785338640213013,-1.5722838640213013,-9.541033744812012,-9.728533744812012"
18,A,A,0.9570860516599606,0.042913948340039365,"A,D,C,B,E","-0.043943434953689575,-3.153318405151367,-8.715818405151367,-10.418943405151367,-11.950193405151367"
19,D,D,0.9913372532252532,0.008662746774746766,"D,E,B,C,A","-0.00879655871540308,-4.758796691894531,-9.618171691894531,-10.868171691894531,-14.665046691894531"
20,B,B,0.7534001248970524,0.24659987510294756,"B,E,A,C,D","-0.2833593487739563,-1.8927342891693115,-2.3458592891693115,-9.29898452758789,-10.26773452758789"
21,C,C,0.9845489044626093,0.015451095537390658,"C,D,A,B,E","-0.015591665171086788,-4.671841621398926,-5.109341621398926,-9.828091621398926,-13.234341621398926"
