global_index,domain,scene,threshold,answer_type,noisy_oracle_error_rate,seed_mode,max_step
1,wastesorting,01,0.8,oracle,0.0,random,50
2,wastesorting,01,0.8,oracle,0.0,random,50
3,wastesorting,01,0.8,oracle,0.0,random,50
4,wastesorting,01,0.8,oracle,0.0,random,50
5,wastesorting,01,0.8,oracle,0.0,random,50
6,wastesorting,01,0.8,oracle,0.0,random,50
7,wastesorting,01,0.8,oracle,0.0,random,50
8,wastesorting,01,0.8,oracle,0.0,random,50
9,wastesorting,01,0.8,oracle,0.0,random,50
10,wastesorting,01,0.8,oracle,0.0,random,50
11,wastesorting,01,0.8,oracle,0.0,random,50
12,wastesorting,01,0.8,oracle,0.0,random,50
13,wastesorting,01,0.8,oracle,0.0,random,50
14,wastesorting,01,0.8,oracle,0.0,random,50
15,wastesorting,01,0.8,oracle,0.0,random,50
16,wastesorting,01,0.8,oracle,0.0,random,50
17,wastesorting,01,0.8,oracle,0.0,random,50
18,wastesorting,01,0.8,oracle,0.0,random,50
19,wastesorting,01,0.8,oracle,0.0,random,50
20,wastesorting,01,0.8,oracle,0.0,random,50
21,wastesorting,01,0.8,oracle,0.0,random,50
22,wastesorting,01,0.8,oracle,0.0,random,50
23,wastesorting,01,0.8,oracle,0.0,random,50
24,wastesorting,01,0.8,oracle,0.0,random,50
25,wastesorting,01,0.8,oracle,0.0,random,50
26,wastesorting,01,0.8,oracle,0.0,random,50
27,wastesorting,01,0.8,oracle,0.0,random,50
28,wastesorting,01,0.8,oracle,0.0,random,50
29,wastesorting,01,0.8,oracle,0.0,random,50
30,wastesorting,01,0.8,oracle,0.0,random,50
31,wastesorting,01,0.8,oracle,0.0,random,50
32,wastesorting,01,0.8,oracle,0.0,random,50
33,wastesorting,01,0.8,oracle,0.0,random,50
34,wastesorting,01,0.8,oracle,0.0,random,50
35,wastesorting,01,0.8,oracle,0.0,random,50
36,wastesorting,01,0.8,oracle,0.0,random,50
37,wastesorting,01,0.8,oracle,0.0,random,50
38,wastesorting,01,0.8,oracle,0.0,random,50
39,wastesorting,01,0.8,oracle,0.0,random,50
40,wastesorting,01,0.8,oracle,0.0,random,50
41,wastesorting,02,0.8,oracle,0.0,random,50
42,wastesorting,02,0.8,oracle,0.0,random,50
43,wastesorting,02,0.8,oracle,0.0,random,50
44,wastesorting,02,0.8,oracle,0.0,random,50
45,wastesorting,02,0.8,oracle,0.0,random,50
46,wastesorting,02,0.8,oracle,0.0,random,50
47,wastesorting,02,0.8,oracle,0.0,random,50
48,wastesorting,02,0.8,oracle,0.0,random,50
49,wastesorting,02,0.8,oracle,0.0,random,50
50,wastesorting,02,0.8,oracle,0.0,random,50
51,wastesorting,02,0.8,oracle,0.0,random,50
52,wastesorting,02,0.8,oracle,0.0,random,50
53,wastesorting,02,0.8,oracle,0.0,random,50
54,wastesorting,02,0.8,oracle,0.0,random,50
55,wastesorting,02,0.8,oracle,0.0,random,50
56,wastesorting,02,0.8,oracle,0.0,random,50
57,wastesorting,02,0.8,oracle,0.0,random,50
58,wastesorting,02,0.8,oracle,0.0,random,50
59,wastesorting,02,0.8,oracle,0.0,random,50
60,wastesorting,02,0.8,oracle,0.0,random,50
61,wastesorting,02,0.8,oracle,0.0,random,50
62,wastesorting,02,0.8,oracle,0.0,random,50
63,wastesorting,02,0.8,oracle,0.0,random,50
64,wastesorting,02,0.8,oracle,0.0,random,50
65,wastesorting,02,0.8,oracle,0.0,random,50
66,wastesorting,02,0.8,oracle,0.0,random,50
67,wastesorting,02,0.8,oracle,0.0,random,50
68,wastesorting,02,0.8,oracle,0.0,random,50
69,wastesorting,02,0.8,oracle,0.0,random,50
70,wastesorting,02,0.8,oracle,0.0,random,50
71,wastesorting,02,0.8,oracle,0.0,random,50
72,wastesorting,02,0.8,oracle,0.0,random,50
