global_index,domain,scene,answer_type,noisy_oracle_accuracy,noisy_oracle_error_rate,threshold,seed_mode,max_step,runner
1,wastesorting,01,oracle,0.0,0.0,0.8,random,50,knowno
2,wastesorting,01,oracle,0.0,0.0,0.8,random,50,knowno
3,wastesorting,01,oracle,0.0,0.0,0.8,random,50,knowno
4,wastesorting,01,oracle,0.0,0.0,0.8,random,50,knowno
5,wastesorting,01,oracle,0.0,0.0,0.8,random,50,knowno
6,wastesorting,01,oracle,0.0,0.0,0.8,random,50,knowno
7,wastesorting,01,oracle,0.0,0.0,0.8,random,50,knowno
8,wastesorting,01,oracle,0.0,0.0,0.8,random,50,knowno
9,wastesorting,01,oracle,0.0,0.0,0.8,random,50,knowno
10,wastesorting,01,oracle,0.0,0.0,0.8,random,50,knowno
11,wastesorting,01,oracle,0.0,0.0,0.8,random,50,knowno
12,wastesorting,01,oracle,0.0,0.0,0.8,random,50,knowno
13,wastesorting,01,oracle,0.0,0.0,0.8,random,50,knowno
14,wastesorting,01,oracle,0.0,0.0,0.8,random,50,knowno
15,wastesorting,01,oracle,0.0,0.0,0.8,random,50,knowno
16,wastesorting,01,oracle,0.0,0.0,0.8,random,50,knowno
17,wastesorting,01,oracle,0.0,0.0,0.8,random,50,knowno
18,wastesorting,01,oracle,0.0,0.0,0.8,random,50,knowno
19,wastesorting,01,oracle,0.0,0.0,0.8,random,50,knowno
20,wastesorting,01,oracle,0.0,0.0,0.8,random,50,knowno
21,wastesorting,01,oracle,0.0,0.0,0.8,random,50,knowno
22,wastesorting,01,oracle,0.0,0.0,0.8,random,50,knowno
23,wastesorting,01,oracle,0.0,0.0,0.8,random,50,knowno
24,wastesorting,01,oracle,0.0,0.0,0.8,random,50,knowno
25,wastesorting,01,oracle,0.0,0.0,0.8,random,50,knowno
26,wastesorting,01,oracle,0.0,0.0,0.8,random,50,knowno
27,wastesorting,01,oracle,0.0,0.0,0.8,random,50,knowno
28,wastesorting,01,oracle,0.0,0.0,0.8,random,50,knowno
29,wastesorting,01,oracle,0.0,0.0,0.8,random,50,knowno
30,wastesorting,01,oracle,0.0,0.0,0.8,random,50,knowno
31,wastesorting,01,oracle,0.0,0.0,0.8,random,50,knowno
32,wastesorting,01,oracle,0.0,0.0,0.8,random,50,knowno
33,wastesorting,01,oracle,0.0,0.0,0.8,random,50,knowno
34,wastesorting,01,oracle,0.0,0.0,0.8,random,50,knowno
35,wastesorting,01,oracle,0.0,0.0,0.8,random,50,knowno
36,wastesorting,01,oracle,0.0,0.0,0.8,random,50,knowno
37,wastesorting,01,oracle,0.0,0.0,0.8,random,50,knowno
38,wastesorting,01,oracle,0.0,0.0,0.8,random,50,knowno
39,wastesorting,01,oracle,0.0,0.0,0.8,random,50,knowno
40,wastesorting,01,oracle,0.0,0.0,0.8,random,50,knowno
41,wastesorting,01,human-proxy,0.0,0.0,0.8,random,50,knowno
42,wastesorting,01,human-proxy,0.0,0.0,0.8,random,50,knowno
43,wastesorting,01,human-proxy,0.0,0.0,0.8,random,50,knowno
44,wastesorting,01,human-proxy,0.0,0.0,0.8,random,50,knowno
45,wastesorting,01,human-proxy,0.0,0.0,0.8,random,50,knowno
46,wastesorting,01,human-proxy,0.0,0.0,0.8,random,50,knowno
47,wastesorting,01,human-proxy,0.0,0.0,0.8,random,50,knowno
48,wastesorting,01,human-proxy,0.0,0.0,0.8,random,50,knowno
49,wastesorting,01,human-proxy,0.0,0.0,0.8,random,50,knowno
50,wastesorting,01,human-proxy,0.0,0.0,0.8,random,50,knowno
51,wastesorting,01,human-proxy,0.0,0.0,0.8,random,50,knowno
52,wastesorting,01,human-proxy,0.0,0.0,0.8,random,50,knowno
53,wastesorting,01,human-proxy,0.0,0.0,0.8,random,50,knowno
54,wastesorting,01,human-proxy,0.0,0.0,0.8,random,50,knowno
55,wastesorting,01,human-proxy,0.0,0.0,0.8,random,50,knowno
56,wastesorting,01,human-proxy,0.0,0.0,0.8,random,50,knowno
57,wastesorting,01,human-proxy,0.0,0.0,0.8,random,50,knowno
58,wastesorting,01,human-proxy,0.0,0.0,0.8,random,50,knowno
59,wastesorting,01,human-proxy,0.0,0.0,0.8,random,50,knowno
60,wastesorting,01,human-proxy,0.0,0.0,0.8,random,50,knowno
61,wastesorting,01,human-proxy,0.0,0.0,0.8,random,50,knowno
62,wastesorting,01,human-proxy,0.0,0.0,0.8,random,50,knowno
63,wastesorting,01,human-proxy,0.0,0.0,0.8,random,50,knowno
64,wastesorting,01,human-proxy,0.0,0.0,0.8,random,50,knowno
65,wastesorting,01,human-proxy,0.0,0.0,0.8,random,50,knowno
66,wastesorting,01,human-proxy,0.0,0.0,0.8,random,50,knowno
67,wastesorting,01,human-proxy,0.0,0.0,0.8,random,50,knowno
68,wastesorting,01,human-proxy,0.0,0.0,0.8,random,50,knowno
69,wastesorting,01,human-proxy,0.0,0.0,0.8,random,50,knowno
70,wastesorting,01,human-proxy,0.0,0.0,0.8,random,50,knowno
71,wastesorting,01,human-proxy,0.0,0.0,0.8,random,50,knowno
72,wastesorting,01,human-proxy,0.0,0.0,0.8,random,50,knowno
73,wastesorting,01,human-proxy,0.0,0.0,0.8,random,50,knowno
74,wastesorting,01,human-proxy,0.0,0.0,0.8,random,50,knowno
75,wastesorting,01,human-proxy,0.0,0.0,0.8,random,50,knowno
76,wastesorting,01,human-proxy,0.0,0.0,0.8,random,50,knowno
77,wastesorting,01,human-proxy,0.0,0.0,0.8,random,50,knowno
78,wastesorting,01,human-proxy,0.0,0.0,0.8,random,50,knowno
79,wastesorting,01,human-proxy,0.0,0.0,0.8,random,50,knowno
80,wastesorting,01,human-proxy,0.0,0.0,0.8,random,50,knowno
81,wastesorting,02,oracle,0.0,0.0,0.8,random,50,knowno
82,wastesorting,02,oracle,0.0,0.0,0.8,random,50,knowno
83,wastesorting,02,oracle,0.0,0.0,0.8,random,50,knowno
84,wastesorting,02,oracle,0.0,0.0,0.8,random,50,knowno
85,wastesorting,02,oracle,0.0,0.0,0.8,random,50,knowno
86,wastesorting,02,oracle,0.0,0.0,0.8,random,50,knowno
87,wastesorting,02,oracle,0.0,0.0,0.8,random,50,knowno
88,wastesorting,02,oracle,0.0,0.0,0.8,random,50,knowno
89,wastesorting,02,oracle,0.0,0.0,0.8,random,50,knowno
90,wastesorting,02,oracle,0.0,0.0,0.8,random,50,knowno
91,wastesorting,02,oracle,0.0,0.0,0.8,random,50,knowno
92,wastesorting,02,oracle,0.0,0.0,0.8,random,50,knowno
93,wastesorting,02,oracle,0.0,0.0,0.8,random,50,knowno
94,wastesorting,02,oracle,0.0,0.0,0.8,random,50,knowno
95,wastesorting,02,oracle,0.0,0.0,0.8,random,50,knowno
96,wastesorting,02,oracle,0.0,0.0,0.8,random,50,knowno
97,wastesorting,02,oracle,0.0,0.0,0.8,random,50,knowno
98,wastesorting,02,oracle,0.0,0.0,0.8,random,50,knowno
99,wastesorting,02,oracle,0.0,0.0,0.8,random,50,knowno
100,wastesorting,02,oracle,0.0,0.0,0.8,random,50,knowno
