run_index,domain,scene,answer_type,noisy_oracle_accuracy,noisy_oracle_error_rate,threshold,seed,max_step,runner,log_dir
1,tomato,02,human-proxy,0.0,0.0,0.8,3279982343,50,ours,experiments_logs/system_log/04_answer_mode/tomato/scene_02_step50/answer_human_proxy_thres_0-8
1,tomato,02,human-proxy,0.0,0.0,0.8,2264277906,50,ours,experiments_logs/system_log/04_answer_mode/tomato/scene_02_step50/answer_human_proxy_thres_0-8
1,tomato,02,human-proxy,0.0,0.0,0.8,3369932394,50,ours,experiments_logs/system_log/04_answer_mode/tomato/scene_02_step50/answer_human_proxy_thres_0-8
1,tomato,02,human-proxy,0.0,0.0,0.8,3665415652,50,ours,experiments_logs/system_log/04_answer_mode/tomato/scene_02_step50/answer_human_proxy_thres_0-8
1,tomato,02,human-proxy,0.0,0.0,0.8,3180341936,50,ours,experiments_logs/system_log/04_answer_mode/tomato/scene_02_step50/answer_human_proxy_thres_0-8
1,tomato,02,human-proxy,0.0,0.0,0.8,1284511024,50,ours,experiments_logs/system_log/04_answer_mode/tomato/scene_02_step50/answer_human_proxy_thres_0-8
1,tomato,02,human-proxy,0.0,0.0,0.8,2897890183,50,ours,experiments_logs/system_log/04_answer_mode/tomato/scene_02_step50/answer_human_proxy_thres_0-8
1,tomato,02,human-proxy,0.0,0.0,0.8,2425146137,50,ours,experiments_logs/system_log/04_answer_mode/tomato/scene_02_step50/answer_human_proxy_thres_0-8
1,tomato,02,human-proxy,0.0,0.0,0.8,3961421452,50,ours,experiments_logs/system_log/04_answer_mode/tomato/scene_02_step50/answer_human_proxy_thres_0-8
1,tomato,02,human-proxy,0.0,0.0,0.8,1645437614,50,ours,experiments_logs/system_log/04_answer_mode/tomato/scene_02_step50/answer_human_proxy_thres_0-8
1,tomato,02,human-proxy,0.0,0.0,0.8,4135753964,50,ours,experiments_logs/system_log/04_answer_mode/tomato/scene_02_step50/answer_human_proxy_thres_0-8
1,tomato,02,human-proxy,0.0,0.0,0.8,2338601585,50,ours,experiments_logs/system_log/04_answer_mode/tomato/scene_02_step50/answer_human_proxy_thres_0-8
1,tomato,02,human-proxy,0.0,0.0,0.8,3298199476,50,ours,experiments_logs/system_log/04_answer_mode/tomato/scene_02_step50/answer_human_proxy_thres_0-8
1,tomato,02,human-proxy,0.0,0.0,0.8,1490769682,50,ours,experiments_logs/system_log/04_answer_mode/tomato/scene_02_step50/answer_human_proxy_thres_0-8
1,tomato,02,human-proxy,0.0,0.0,0.8,814283976,50,ours,experiments_logs/system_log/04_answer_mode/tomato/scene_02_step50/answer_human_proxy_thres_0-8
1,tomato,02,human-proxy,0.0,0.0,0.8,2395936814,50,ours,experiments_logs/system_log/04_answer_mode/tomato/scene_02_step50/answer_human_proxy_thres_0-8
1,tomato,02,human-proxy,0.0,0.0,0.8,87924866,50,ours,experiments_logs/system_log/04_answer_mode/tomato/scene_02_step50/answer_human_proxy_thres_0-8
1,tomato,02,human-proxy,0.0,0.0,0.8,3890940484,50,ours,experiments_logs/system_log/04_answer_mode/tomato/scene_02_step50/answer_human_proxy_thres_0-8
1,tomato,02,human-proxy,0.0,0.0,0.8,974207282,50,ours,experiments_logs/system_log/04_answer_mode/tomato/scene_02_step50/answer_human_proxy_thres_0-8
