run_index,domain,scene,answer_type,noisy_oracle_accuracy,noisy_oracle_error_rate,threshold,seed,max_step,runner,log_dir
1,wastesorting,01,human-proxy,0.0,0.0,0.8,1033676630,50,knowno,experiments_logs/system_log/04_answer_mode/wastesorting/scene_01_step50/runner_knowno_answer_human_proxy_thres_0-8_model_gpt4_qhat_0-8704
1,wastesorting,01,human-proxy,0.0,0.0,0.8,1201144339,50,knowno,experiments_logs/system_log/04_answer_mode/wastesorting/scene_01_step50/runner_knowno_answer_human_proxy_thres_0-8_model_gpt4_qhat_0-8704
1,wastesorting,01,human-proxy,0.0,0.0,0.8,3977147646,50,knowno,experiments_logs/system_log/04_answer_mode/wastesorting/scene_01_step50/runner_knowno_answer_human_proxy_thres_0-8_model_gpt4_qhat_0-8704
1,wastesorting,01,human-proxy,0.0,0.0,0.8,925716011,50,knowno,experiments_logs/system_log/04_answer_mode/wastesorting/scene_01_step50/runner_knowno_answer_human_proxy_thres_0-8_model_gpt4_qhat_0-8704
1,wastesorting,01,human-proxy,0.0,0.0,0.8,3862726990,50,knowno,experiments_logs/system_log/04_answer_mode/wastesorting/scene_01_step50/runner_knowno_answer_human_proxy_thres_0-8_model_gpt4_qhat_0-8704
1,wastesorting,01,human-proxy,0.0,0.0,0.8,1146845713,50,knowno,experiments_logs/system_log/04_answer_mode/wastesorting/scene_01_step50/runner_knowno_answer_human_proxy_thres_0-8_model_gpt4_qhat_0-8704
1,wastesorting,01,human-proxy,0.0,0.0,0.8,2721146875,50,knowno,experiments_logs/system_log/04_answer_mode/wastesorting/scene_01_step50/runner_knowno_answer_human_proxy_thres_0-8_model_gpt4_qhat_0-8704
1,wastesorting,01,human-proxy,0.0,0.0,0.8,1394686878,50,knowno,experiments_logs/system_log/04_answer_mode/wastesorting/scene_01_step50/runner_knowno_answer_human_proxy_thres_0-8_model_gpt4_qhat_0-8704
1,wastesorting,01,human-proxy,0.0,0.0,0.8,1025577115,50,knowno,experiments_logs/system_log/04_answer_mode/wastesorting/scene_01_step50/runner_knowno_answer_human_proxy_thres_0-8_model_gpt4_qhat_0-8704
1,wastesorting,01,human-proxy,0.0,0.0,0.8,1118737721,50,knowno,experiments_logs/system_log/04_answer_mode/wastesorting/scene_01_step50/runner_knowno_answer_human_proxy_thres_0-8_model_gpt4_qhat_0-8704
1,wastesorting,01,human-proxy,0.0,0.0,0.8,1364223272,50,knowno,experiments_logs/system_log/04_answer_mode/wastesorting/scene_01_step50/runner_knowno_answer_human_proxy_thres_0-8_model_gpt4_qhat_0-8704
1,wastesorting,01,human-proxy,0.0,0.0,0.8,1956253183,50,knowno,experiments_logs/system_log/04_answer_mode/wastesorting/scene_01_step50/runner_knowno_answer_human_proxy_thres_0-8_model_gpt4_qhat_0-8704
1,wastesorting,01,human-proxy,0.0,0.0,0.8,575057639,50,knowno,experiments_logs/system_log/04_answer_mode/wastesorting/scene_01_step50/runner_knowno_answer_human_proxy_thres_0-8_model_gpt4_qhat_0-8704
1,wastesorting,01,human-proxy,0.0,0.0,0.8,4193962878,50,knowno,experiments_logs/system_log/04_answer_mode/wastesorting/scene_01_step50/runner_knowno_answer_human_proxy_thres_0-8_model_gpt4_qhat_0-8704
1,wastesorting,01,human-proxy,0.0,0.0,0.8,3576040325,50,knowno,experiments_logs/system_log/04_answer_mode/wastesorting/scene_01_step50/runner_knowno_answer_human_proxy_thres_0-8_model_gpt4_qhat_0-8704
1,wastesorting,01,human-proxy,0.0,0.0,0.8,1976566625,50,knowno,experiments_logs/system_log/04_answer_mode/wastesorting/scene_01_step50/runner_knowno_answer_human_proxy_thres_0-8_model_gpt4_qhat_0-8704
1,wastesorting,01,human-proxy,0.0,0.0,0.8,3891688818,50,knowno,experiments_logs/system_log/04_answer_mode/wastesorting/scene_01_step50/runner_knowno_answer_human_proxy_thres_0-8_model_gpt4_qhat_0-8704
1,wastesorting,01,human-proxy,0.0,0.0,0.8,3444851901,50,knowno,experiments_logs/system_log/04_answer_mode/wastesorting/scene_01_step50/runner_knowno_answer_human_proxy_thres_0-8_model_gpt4_qhat_0-8704
1,wastesorting,01,human-proxy,0.0,0.0,0.8,2965578016,50,knowno,experiments_logs/system_log/04_answer_mode/wastesorting/scene_01_step50/runner_knowno_answer_human_proxy_thres_0-8_model_gpt4_qhat_0-8704
1,wastesorting,01,human-proxy,0.0,0.0,0.8,1823900112,50,knowno,experiments_logs/system_log/04_answer_mode/wastesorting/scene_01_step50/runner_knowno_answer_human_proxy_thres_0-8_model_gpt4_qhat_0-8704
