run_index,domain,scene,answer_type,noisy_oracle_accuracy,noisy_oracle_error_rate,threshold,seed,max_step,runner,log_dir
1,wastesorting,03,human-proxy,0.0,0.0,0.8,301805086,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_03_step50/answer_human_proxy_thres_0-8
1,wastesorting,03,human-proxy,0.0,0.0,0.8,2089978666,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_03_step50/answer_human_proxy_thres_0-8
1,wastesorting,03,human-proxy,0.0,0.0,0.8,4262710869,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_03_step50/answer_human_proxy_thres_0-8
1,wastesorting,03,human-proxy,0.0,0.0,0.8,1306477257,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_03_step50/answer_human_proxy_thres_0-8
1,wastesorting,03,human-proxy,0.0,0.0,0.8,3486718182,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_03_step50/answer_human_proxy_thres_0-8
1,wastesorting,03,human-proxy,0.0,0.0,0.8,4256930034,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_03_step50/answer_human_proxy_thres_0-8
1,wastesorting,03,human-proxy,0.0,0.0,0.8,726766942,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_03_step50/answer_human_proxy_thres_0-8
1,wastesorting,03,human-proxy,0.0,0.0,0.8,4277454896,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_03_step50/answer_human_proxy_thres_0-8
1,wastesorting,03,human-proxy,0.0,0.0,0.8,119964518,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_03_step50/answer_human_proxy_thres_0-8
1,wastesorting,03,human-proxy,0.0,0.0,0.8,1045579628,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_03_step50/answer_human_proxy_thres_0-8
1,wastesorting,03,human-proxy,0.0,0.0,0.8,4063610423,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_03_step50/answer_human_proxy_thres_0-8
1,wastesorting,03,human-proxy,0.0,0.0,0.8,3912296056,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_03_step50/answer_human_proxy_thres_0-8
1,wastesorting,03,human-proxy,0.0,0.0,0.8,1731716652,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_03_step50/answer_human_proxy_thres_0-8
1,wastesorting,03,human-proxy,0.0,0.0,0.8,302007325,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_03_step50/answer_human_proxy_thres_0-8
1,wastesorting,03,human-proxy,0.0,0.0,0.8,2293427009,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_03_step50/answer_human_proxy_thres_0-8
1,wastesorting,03,human-proxy,0.0,0.0,0.8,2173687627,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_03_step50/answer_human_proxy_thres_0-8
1,wastesorting,03,human-proxy,0.0,0.0,0.8,3175498259,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_03_step50/answer_human_proxy_thres_0-8
1,wastesorting,03,human-proxy,0.0,0.0,0.8,3858729344,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_03_step50/answer_human_proxy_thres_0-8
1,wastesorting,03,human-proxy,0.0,0.0,0.8,3720451448,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_03_step50/answer_human_proxy_thres_0-8
1,wastesorting,03,human-proxy,0.0,0.0,0.8,1056164146,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_03_step50/answer_human_proxy_thres_0-8
1,wastesorting,03,human-proxy,0.0,0.0,0.8,1540446632,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_03_step50/answer_human_proxy_thres_0-8
1,wastesorting,03,human-proxy,0.0,0.0,0.8,2946921019,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_03_step50/answer_human_proxy_thres_0-8
1,wastesorting,03,human-proxy,0.0,0.0,0.8,2894750172,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_03_step50/answer_human_proxy_thres_0-8
1,wastesorting,03,human-proxy,0.0,0.0,0.8,983504554,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_03_step50/answer_human_proxy_thres_0-8
1,wastesorting,03,human-proxy,0.0,0.0,0.8,2569356901,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_03_step50/answer_human_proxy_thres_0-8
1,wastesorting,03,human-proxy,0.0,0.0,0.8,473743734,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_03_step50/answer_human_proxy_thres_0-8
1,wastesorting,03,human-proxy,0.0,0.0,0.8,671908685,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_03_step50/answer_human_proxy_thres_0-8
1,wastesorting,03,human-proxy,0.0,0.0,0.8,3509195409,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_03_step50/answer_human_proxy_thres_0-8
1,wastesorting,03,human-proxy,0.0,0.0,0.8,2995589478,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_03_step50/answer_human_proxy_thres_0-8
1,wastesorting,03,human-proxy,0.0,0.0,0.8,1561677216,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_03_step50/answer_human_proxy_thres_0-8
1,wastesorting,03,human-proxy,0.0,0.0,0.8,4016841507,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_03_step50/answer_human_proxy_thres_0-8
1,wastesorting,03,human-proxy,0.0,0.0,0.8,1376360052,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_03_step50/answer_human_proxy_thres_0-8
