global_index,domain,scene,model,qhat_target,qhat,temperature,prompt_version,seed_mode,max_steps,auto_answer,answer_type,noisy_oracle_error_rate
1,wastesorting,01,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
2,wastesorting,01,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
3,wastesorting,01,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
4,wastesorting,01,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
5,wastesorting,01,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
6,wastesorting,01,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
7,wastesorting,01,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
8,wastesorting,01,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
9,wastesorting,01,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
10,wastesorting,01,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
11,wastesorting,02,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
12,wastesorting,02,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
13,wastesorting,02,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
14,wastesorting,02,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
15,wastesorting,02,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
16,wastesorting,02,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
17,wastesorting,02,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
18,wastesorting,02,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
19,wastesorting,02,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
20,wastesorting,02,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
21,wastesorting,03,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
22,wastesorting,03,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
23,wastesorting,03,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
24,wastesorting,03,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
25,wastesorting,03,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
26,wastesorting,03,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
27,wastesorting,03,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
28,wastesorting,03,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
29,wastesorting,03,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
30,wastesorting,03,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
31,wastesorting,04,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
32,wastesorting,04,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
33,wastesorting,04,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
34,wastesorting,04,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
35,wastesorting,04,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
36,wastesorting,04,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
37,wastesorting,04,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
38,wastesorting,04,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
39,wastesorting,04,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
40,wastesorting,04,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
41,wastesorting,05,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
42,wastesorting,05,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
43,wastesorting,05,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
44,wastesorting,05,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
45,wastesorting,05,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
46,wastesorting,05,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
47,wastesorting,05,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
48,wastesorting,05,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
49,wastesorting,05,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
50,wastesorting,05,gpt-4o,95,0.8704,5.0,v2,random,50,true,human-proxy,0.1
51,tomato,01,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
52,tomato,01,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
53,tomato,01,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
54,tomato,01,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
55,tomato,01,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
56,tomato,01,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
