global_index,baseline,domain,scene,iteration,seed,max_steps,n_simulations,max_depth,query_cost,answer_accuracy,prompt_version,qhat,temperature,expert,status,log_path
1,knowno,tomato,01,1,2030859206,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_01_step50/when_knowno_gpt4/knowno_tomato_scene01_iter01_seed2030859206.txt
2,knowno,tomato,02,1,233361013,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_02_step50/when_knowno_gpt4/knowno_tomato_scene02_iter01_seed233361013.txt
3,knowno,tomato,03,1,2973460405,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_03_step50/when_knowno_gpt4/knowno_tomato_scene03_iter01_seed2973460405.txt
4,knowno,tomato,04,1,1589093347,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_04_step50/when_knowno_gpt4/knowno_tomato_scene04_iter01_seed1589093347.txt
5,knowno,tomato,05,1,3945754139,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_05_step50/when_knowno_gpt4/knowno_tomato_scene05_iter01_seed3945754139.txt
6,knowno,wastesorting,01,1,4064545001,50,100,20,1.0,1.0,v2,0.8704,5.0,exact_oracle,complete,experiments_logs/system_log/wastesorting/scene_01_step50/when_knowno_gpt4/knowno_wastesorting_scene01_iter01_seed4064545001.txt
7,knowno,wastesorting,02,1,2156641990,50,100,20,1.0,1.0,v2,0.8704,5.0,exact_oracle,complete,experiments_logs/system_log/wastesorting/scene_02_step50/when_knowno_gpt4/knowno_wastesorting_scene02_iter01_seed2156641990.txt
8,knowno,wastesorting,03,1,935228514,50,100,20,1.0,1.0,v2,0.8704,5.0,exact_oracle,complete,experiments_logs/system_log/wastesorting/scene_03_step50/when_knowno_gpt4/knowno_wastesorting_scene03_iter01_seed935228514.txt
9,knowno,wastesorting,04,1,3291161639,50,100,20,1.0,1.0,v2,0.8704,5.0,exact_oracle,complete,experiments_logs/system_log/wastesorting/scene_04_step50/when_knowno_gpt4/knowno_wastesorting_scene04_iter01_seed3291161639.txt
10,knowno,wastesorting,05,1,630828154,50,100,20,1.0,1.0,v2,0.8704,5.0,exact_oracle,complete,experiments_logs/system_log/wastesorting/scene_05_step50/when_knowno_gpt4/knowno_wastesorting_scene05_iter01_seed630828154.txt
