global_index,domain,scene,threshold,seed_mode,max_step,max_belief_particles
1,tomato,2,0.8,random,50,800
2,tomato,2,0.8,random,50,800
3,tomato,2,0.8,random,50,800
4,tomato,2,0.8,random,50,800
5,tomato,2,0.8,random,50,800
6,tomato,2,0.8,random,50,800
7,tomato,2,0.8,random,50,800
8,tomato,2,0.8,random,50,800
9,tomato,2,0.8,random,50,800
10,tomato,2,0.8,random,50,800
11,tomato,2,0.8,random,50,800
12,tomato,2,0.8,random,50,800
13,tomato,2,0.8,random,50,800
14,tomato,2,0.8,random,50,800
15,tomato,2,0.8,random,50,800
16,tomato,2,0.8,random,50,800
17,tomato,2,0.8,random,50,800
18,tomato,2,0.8,random,50,800
19,tomato,2,0.8,random,50,800
20,tomato,2,0.8,random,50,800
21,tomato,2,0.8,random,50,800
22,tomato,2,0.8,random,50,800
23,tomato,2,0.8,random,50,800
24,tomato,2,0.8,random,50,800
25,tomato,2,0.8,random,50,800
26,tomato,2,0.8,random,50,800
27,tomato,2,0.8,random,50,800
28,tomato,2,0.8,random,50,800
29,tomato,2,0.8,random,50,800
30,tomato,2,0.8,random,50,800
31,tomato,2,0.8,random,50,800
32,tomato,2,0.8,random,50,800
33,tomato,2,0.8,random,50,800
34,tomato,2,0.8,random,50,800
35,tomato,2,0.8,random,50,800
36,tomato,2,0.8,random,50,800
37,tomato,2,0.8,random,50,800
38,tomato,2,0.8,random,50,800
39,tomato,2,0.8,random,50,800
40,tomato,2,0.8,random,50,800
41,tomato,3,0.8,random,50,800
42,tomato,3,0.8,random,50,800
43,tomato,3,0.8,random,50,800
44,tomato,3,0.8,random,50,800
45,tomato,3,0.8,random,50,800
46,tomato,3,0.8,random,50,800
47,tomato,3,0.8,random,50,800
48,tomato,3,0.8,random,50,800
49,tomato,3,0.8,random,50,800
50,tomato,3,0.8,random,50,800
51,tomato,3,0.8,random,50,800
52,tomato,3,0.8,random,50,800
53,tomato,3,0.8,random,50,800
54,tomato,3,0.8,random,50,800
55,tomato,3,0.8,random,50,800
56,tomato,3,0.8,random,50,800
57,tomato,3,0.8,random,50,800
58,tomato,3,0.8,random,50,800
59,tomato,3,0.8,random,50,800
60,tomato,3,0.8,random,50,800
61,tomato,3,0.8,random,50,800
62,tomato,3,0.8,random,50,800
63,tomato,3,0.8,random,50,800
64,tomato,3,0.8,random,50,800
65,tomato,3,0.8,random,50,800
66,tomato,3,0.8,random,50,800
67,tomato,3,0.8,random,50,800
68,tomato,3,0.8,random,50,800
69,tomato,3,0.8,random,50,800
70,tomato,3,0.8,random,50,800
71,tomato,3,0.8,random,50,800
72,tomato,3,0.8,random,50,800
73,tomato,3,0.8,random,50,800
74,tomato,3,0.8,random,50,800
75,tomato,3,0.8,random,50,800
76,tomato,3,0.8,random,50,800
77,tomato,3,0.8,random,50,800
78,tomato,3,0.8,random,50,800
79,tomato,3,0.8,random,50,800
80,tomato,3,0.8,random,50,800
81,tomato,4,0.8,random,50,800
82,tomato,4,0.8,random,50,800
83,tomato,4,0.8,random,50,800
84,tomato,4,0.8,random,50,800
85,tomato,4,0.8,random,50,800
86,tomato,4,0.8,random,50,800
87,tomato,4,0.8,random,50,800
88,tomato,4,0.8,random,50,800
89,tomato,4,0.8,random,50,800
90,tomato,4,0.8,random,50,800
91,tomato,4,0.8,random,50,800
92,tomato,4,0.8,random,50,800
93,tomato,4,0.8,random,50,800
94,tomato,4,0.8,random,50,800
95,tomato,4,0.8,random,50,800
96,tomato,4,0.8,random,50,800
97,tomato,4,0.8,random,50,800
98,tomato,4,0.8,random,50,800
99,tomato,4,0.8,random,50,800
100,tomato,4,0.8,random,50,800
101,tomato,4,0.8,random,50,800
102,tomato,4,0.8,random,50,800
103,tomato,4,0.8,random,50,800
104,tomato,4,0.8,random,50,800
105,tomato,4,0.8,random,50,800
106,tomato,4,0.8,random,50,800
107,tomato,4,0.8,random,50,800
108,tomato,4,0.8,random,50,800
109,tomato,4,0.8,random,50,800
110,tomato,4,0.8,random,50,800
111,tomato,4,0.8,random,50,800
112,tomato,4,0.8,random,50,800
113,tomato,4,0.8,random,50,800
114,tomato,4,0.8,random,50,800
115,tomato,4,0.8,random,50,800
116,tomato,4,0.8,random,50,800
117,tomato,4,0.8,random,50,800
118,tomato,4,0.8,random,50,800
119,tomato,4,0.8,random,50,800
120,tomato,4,0.8,random,50,800
121,tomato,5,0.8,random,50,800
122,tomato,5,0.8,random,50,800
123,tomato,5,0.8,random,50,800
124,tomato,5,0.8,random,50,800
125,tomato,5,0.8,random,50,800
126,tomato,5,0.8,random,50,800
127,tomato,5,0.8,random,50,800
128,tomato,5,0.8,random,50,800
129,tomato,5,0.8,random,50,800
130,tomato,5,0.8,random,50,800
131,tomato,5,0.8,random,50,800
132,tomato,5,0.8,random,50,800
133,tomato,5,0.8,random,50,800
134,tomato,5,0.8,random,50,800
135,tomato,5,0.8,random,50,800
136,tomato,5,0.8,random,50,800
137,tomato,5,0.8,random,50,800
138,tomato,5,0.8,random,50,800
139,tomato,5,0.8,random,50,800
140,tomato,5,0.8,random,50,800
141,tomato,5,0.8,random,50,800
142,tomato,5,0.8,random,50,800
143,tomato,5,0.8,random,50,800
144,tomato,5,0.8,random,50,800
145,tomato,5,0.8,random,50,800
146,tomato,5,0.8,random,50,800
147,tomato,5,0.8,random,50,800
148,tomato,5,0.8,random,50,800
149,tomato,5,0.8,random,50,800
150,tomato,5,0.8,random,50,800
151,tomato,5,0.8,random,50,800
152,tomato,5,0.8,random,50,800
153,tomato,5,0.8,random,50,800
154,tomato,5,0.8,random,50,800
155,tomato,5,0.8,random,50,800
156,tomato,5,0.8,random,50,800
157,tomato,5,0.8,random,50,800
158,tomato,5,0.8,random,50,800
159,tomato,5,0.8,random,50,800
160,tomato,5,0.8,random,50,800
161,wastesorting,2,0.8,random,50,800
162,wastesorting,2,0.8,random,50,800
163,wastesorting,2,0.8,random,50,800
164,wastesorting,2,0.8,random,50,800
165,wastesorting,2,0.8,random,50,800
166,wastesorting,2,0.8,random,50,800
167,wastesorting,2,0.8,random,50,800
168,wastesorting,2,0.8,random,50,800
169,wastesorting,2,0.8,random,50,800
170,wastesorting,2,0.8,random,50,800
171,wastesorting,2,0.8,random,50,800
172,wastesorting,2,0.8,random,50,800
173,wastesorting,2,0.8,random,50,800
174,wastesorting,2,0.8,random,50,800
175,wastesorting,2,0.8,random,50,800
176,wastesorting,2,0.8,random,50,800
177,wastesorting,2,0.8,random,50,800
178,wastesorting,2,0.8,random,50,800
179,wastesorting,2,0.8,random,50,800
180,wastesorting,2,0.8,random,50,800
181,wastesorting,2,0.8,random,50,800
182,wastesorting,2,0.8,random,50,800
183,wastesorting,2,0.8,random,50,800
184,wastesorting,2,0.8,random,50,800
185,wastesorting,2,0.8,random,50,800
186,wastesorting,2,0.8,random,50,800
187,wastesorting,2,0.8,random,50,800
188,wastesorting,2,0.8,random,50,800
189,wastesorting,2,0.8,random,50,800
190,wastesorting,2,0.8,random,50,800
191,wastesorting,2,0.8,random,50,800
192,wastesorting,2,0.8,random,50,800
193,wastesorting,2,0.8,random,50,800
194,wastesorting,2,0.8,random,50,800
195,wastesorting,2,0.8,random,50,800
196,wastesorting,2,0.8,random,50,800
197,wastesorting,2,0.8,random,50,800
198,wastesorting,2,0.8,random,50,800
199,wastesorting,2,0.8,random,50,800
200,wastesorting,2,0.8,random,50,800
201,wastesorting,3,0.8,random,50,800
202,wastesorting,3,0.8,random,50,800
203,wastesorting,3,0.8,random,50,800
204,wastesorting,3,0.8,random,50,800
205,wastesorting,3,0.8,random,50,800
206,wastesorting,3,0.8,random,50,800
207,wastesorting,3,0.8,random,50,800
208,wastesorting,3,0.8,random,50,800
209,wastesorting,3,0.8,random,50,800
210,wastesorting,3,0.8,random,50,800
211,wastesorting,3,0.8,random,50,800
212,wastesorting,3,0.8,random,50,800
213,wastesorting,3,0.8,random,50,800
214,wastesorting,3,0.8,random,50,800
215,wastesorting,3,0.8,random,50,800
216,wastesorting,3,0.8,random,50,800
217,wastesorting,3,0.8,random,50,800
218,wastesorting,3,0.8,random,50,800
219,wastesorting,3,0.8,random,50,800
220,wastesorting,3,0.8,random,50,800
221,wastesorting,3,0.8,random,50,800
222,wastesorting,3,0.8,random,50,800
223,wastesorting,3,0.8,random,50,800
224,wastesorting,3,0.8,random,50,800
225,wastesorting,3,0.8,random,50,800
226,wastesorting,3,0.8,random,50,800
227,wastesorting,3,0.8,random,50,800
228,wastesorting,3,0.8,random,50,800
229,wastesorting,3,0.8,random,50,800
230,wastesorting,3,0.8,random,50,800
231,wastesorting,3,0.8,random,50,800
232,wastesorting,3,0.8,random,50,800
233,wastesorting,3,0.8,random,50,800
234,wastesorting,3,0.8,random,50,800
235,wastesorting,3,0.8,random,50,800
236,wastesorting,3,0.8,random,50,800
237,wastesorting,3,0.8,random,50,800
238,wastesorting,3,0.8,random,50,800
239,wastesorting,3,0.8,random,50,800
240,wastesorting,3,0.8,random,50,800
241,wastesorting,4,0.8,random,50,800
242,wastesorting,4,0.8,random,50,800
243,wastesorting,4,0.8,random,50,800
244,wastesorting,4,0.8,random,50,800
245,wastesorting,4,0.8,random,50,800
246,wastesorting,4,0.8,random,50,800
247,wastesorting,4,0.8,random,50,800
248,wastesorting,4,0.8,random,50,800
249,wastesorting,4,0.8,random,50,800
250,wastesorting,4,0.8,random,50,800
251,wastesorting,4,0.8,random,50,800
252,wastesorting,4,0.8,random,50,800
253,wastesorting,4,0.8,random,50,800
254,wastesorting,4,0.8,random,50,800
255,wastesorting,4,0.8,random,50,800
256,wastesorting,4,0.8,random,50,800
257,wastesorting,4,0.8,random,50,800
258,wastesorting,4,0.8,random,50,800
259,wastesorting,4,0.8,random,50,800
260,wastesorting,4,0.8,random,50,800
261,wastesorting,4,0.8,random,50,800
262,wastesorting,4,0.8,random,50,800
263,wastesorting,4,0.8,random,50,800
264,wastesorting,4,0.8,random,50,800
265,wastesorting,4,0.8,random,50,800
266,wastesorting,4,0.8,random,50,800
267,wastesorting,4,0.8,random,50,800
268,wastesorting,4,0.8,random,50,800
269,wastesorting,4,0.8,random,50,800
270,wastesorting,4,0.8,random,50,800
271,wastesorting,4,0.8,random,50,800
272,wastesorting,4,0.8,random,50,800
273,wastesorting,4,0.8,random,50,800
274,wastesorting,4,0.8,random,50,800
275,wastesorting,4,0.8,random,50,800
276,wastesorting,4,0.8,random,50,800
277,wastesorting,4,0.8,random,50,800
278,wastesorting,4,0.8,random,50,800
279,wastesorting,4,0.8,random,50,800
280,wastesorting,4,0.8,random,50,800
281,wastesorting,5,0.8,random,50,800
282,wastesorting,5,0.8,random,50,800
283,wastesorting,5,0.8,random,50,800
284,wastesorting,5,0.8,random,50,800
285,wastesorting,5,0.8,random,50,800
286,wastesorting,5,0.8,random,50,800
287,wastesorting,5,0.8,random,50,800
288,wastesorting,5,0.8,random,50,800
289,wastesorting,5,0.8,random,50,800
290,wastesorting,5,0.8,random,50,800
291,wastesorting,5,0.8,random,50,800
292,wastesorting,5,0.8,random,50,800
293,wastesorting,5,0.8,random,50,800
294,wastesorting,5,0.8,random,50,800
295,wastesorting,5,0.8,random,50,800
296,wastesorting,5,0.8,random,50,800
297,wastesorting,5,0.8,random,50,800
298,wastesorting,5,0.8,random,50,800
299,wastesorting,5,0.8,random,50,800
300,wastesorting,5,0.8,random,50,800
301,wastesorting,5,0.8,random,50,800
302,wastesorting,5,0.8,random,50,800
303,wastesorting,5,0.8,random,50,800
304,wastesorting,5,0.8,random,50,800
305,wastesorting,5,0.8,random,50,800
306,wastesorting,5,0.8,random,50,800
307,wastesorting,5,0.8,random,50,800
308,wastesorting,5,0.8,random,50,800
309,wastesorting,5,0.8,random,50,800
310,wastesorting,5,0.8,random,50,800
311,wastesorting,5,0.8,random,50,800
312,wastesorting,5,0.8,random,50,800
313,wastesorting,5,0.8,random,50,800
314,wastesorting,5,0.8,random,50,800
315,wastesorting,5,0.8,random,50,800
316,wastesorting,5,0.8,random,50,800
317,wastesorting,5,0.8,random,50,800
318,wastesorting,5,0.8,random,50,800
319,wastesorting,5,0.8,random,50,800
320,wastesorting,5,0.8,random,50,800
