domain,condition,scene,iteration,seed,threshold,random_query_prob
tomato,random,1,1,2030859206,0.8,0.4
tomato,ours-when-only,1,1,2030859206,0.8,0.4
tomato,ours-what-only,1,1,2030859206,0.8,0.4
tomato,ours,1,1,2030859206,0.8,0.4
tomato,random,1,2,2222960263,0.8,0.4
tomato,ours-when-only,1,2,2222960263,0.8,0.4
tomato,ours-what-only,1,2,2222960263,0.8,0.4
tomato,ours,1,2,2222960263,0.8,0.4
tomato,random,1,3,1273020582,0.8,0.4
tomato,ours-when-only,1,3,1273020582,0.8,0.4
tomato,ours-what-only,1,3,1273020582,0.8,0.4
tomato,ours,1,3,1273020582,0.8,0.4
tomato,random,1,4,866496583,0.8,0.4
tomato,ours-when-only,1,4,866496583,0.8,0.4
tomato,ours-what-only,1,4,866496583,0.8,0.4
tomato,ours,1,4,866496583,0.8,0.4
tomato,random,1,5,2698243041,0.8,0.4
tomato,ours-when-only,1,5,2698243041,0.8,0.4
tomato,ours-what-only,1,5,2698243041,0.8,0.4
tomato,ours,1,5,2698243041,0.8,0.4
tomato,random,1,6,1911303750,0.8,0.4
tomato,ours-when-only,1,6,1911303750,0.8,0.4
tomato,ours-what-only,1,6,1911303750,0.8,0.4
tomato,ours,1,6,1911303750,0.8,0.4
tomato,random,1,7,796400590,0.8,0.4
tomato,ours-when-only,1,7,796400590,0.8,0.4
tomato,ours-what-only,1,7,796400590,0.8,0.4
tomato,ours,1,7,796400590,0.8,0.4
tomato,random,1,8,1201029111,0.8,0.4
tomato,ours-when-only,1,8,1201029111,0.8,0.4
tomato,ours-what-only,1,8,1201029111,0.8,0.4
tomato,ours,1,8,1201029111,0.8,0.4
tomato,random,1,9,3389846695,0.8,0.4
tomato,ours-when-only,1,9,3389846695,0.8,0.4
tomato,ours-what-only,1,9,3389846695,0.8,0.4
tomato,ours,1,9,3389846695,0.8,0.4
tomato,random,1,10,2508123787,0.8,0.4
tomato,ours-when-only,1,10,2508123787,0.8,0.4
tomato,ours-what-only,1,10,2508123787,0.8,0.4
tomato,ours,1,10,2508123787,0.8,0.4
tomato,random,1,11,2741500852,0.8,0.4
tomato,ours-when-only,1,11,2741500852,0.8,0.4
tomato,ours-what-only,1,11,2741500852,0.8,0.4
tomato,ours,1,11,2741500852,0.8,0.4
tomato,random,1,12,4065849833,0.8,0.4
tomato,ours-when-only,1,12,4065849833,0.8,0.4
tomato,ours-what-only,1,12,4065849833,0.8,0.4
tomato,ours,1,12,4065849833,0.8,0.4
tomato,random,1,13,821007751,0.8,0.4
tomato,ours-when-only,1,13,821007751,0.8,0.4
tomato,ours-what-only,1,13,821007751,0.8,0.4
tomato,ours,1,13,821007751,0.8,0.4
tomato,random,1,14,965164034,0.8,0.4
tomato,ours-when-only,1,14,965164034,0.8,0.4
tomato,ours-what-only,1,14,965164034,0.8,0.4
tomato,ours,1,14,965164034,0.8,0.4
tomato,random,1,15,3049697230,0.8,0.4
tomato,ours-when-only,1,15,3049697230,0.8,0.4
tomato,ours-what-only,1,15,3049697230,0.8,0.4
tomato,ours,1,15,3049697230,0.8,0.4
tomato,random,1,16,597016452,0.8,0.4
tomato,ours-when-only,1,16,597016452,0.8,0.4
tomato,ours-what-only,1,16,597016452,0.8,0.4
tomato,ours,1,16,597016452,0.8,0.4
tomato,random,1,17,2027029533,0.8,0.4
tomato,ours-when-only,1,17,2027029533,0.8,0.4
tomato,ours-what-only,1,17,2027029533,0.8,0.4
tomato,ours,1,17,2027029533,0.8,0.4
tomato,random,1,18,3736902642,0.8,0.4
tomato,ours-when-only,1,18,3736902642,0.8,0.4
tomato,ours-what-only,1,18,3736902642,0.8,0.4
tomato,ours,1,18,3736902642,0.8,0.4
tomato,random,1,19,323427982,0.8,0.4
tomato,ours-when-only,1,19,323427982,0.8,0.4
tomato,ours-what-only,1,19,323427982,0.8,0.4
tomato,ours,1,19,323427982,0.8,0.4
tomato,random,1,20,311025495,0.8,0.4
tomato,ours-when-only,1,20,311025495,0.8,0.4
tomato,ours-what-only,1,20,311025495,0.8,0.4
tomato,ours,1,20,311025495,0.8,0.4
tomato,random,1,21,871806833,0.8,0.4
tomato,ours-when-only,1,21,871806833,0.8,0.4
tomato,ours-what-only,1,21,871806833,0.8,0.4
tomato,ours,1,21,871806833,0.8,0.4
tomato,random,1,22,217537032,0.8,0.4
tomato,ours-when-only,1,22,217537032,0.8,0.4
tomato,ours-what-only,1,22,217537032,0.8,0.4
tomato,ours,1,22,217537032,0.8,0.4
tomato,random,1,23,532817344,0.8,0.4
tomato,ours-when-only,1,23,532817344,0.8,0.4
tomato,ours-what-only,1,23,532817344,0.8,0.4
tomato,ours,1,23,532817344,0.8,0.4
tomato,random,1,24,3466707993,0.8,0.4
tomato,ours-when-only,1,24,3466707993,0.8,0.4
tomato,ours-what-only,1,24,3466707993,0.8,0.4
tomato,ours,1,24,3466707993,0.8,0.4
tomato,random,1,25,1649478604,0.8,0.4
tomato,ours-when-only,1,25,1649478604,0.8,0.4
tomato,ours-what-only,1,25,1649478604,0.8,0.4
tomato,ours,1,25,1649478604,0.8,0.4
tomato,random,1,26,2204152357,0.8,0.4
tomato,ours-when-only,1,26,2204152357,0.8,0.4
tomato,ours-what-only,1,26,2204152357,0.8,0.4
tomato,ours,1,26,2204152357,0.8,0.4
tomato,random,1,27,1233339309,0.8,0.4
tomato,ours-when-only,1,27,1233339309,0.8,0.4
tomato,ours-what-only,1,27,1233339309,0.8,0.4
tomato,ours,1,27,1233339309,0.8,0.4
tomato,random,1,28,3357973338,0.8,0.4
tomato,ours-when-only,1,28,3357973338,0.8,0.4
tomato,ours-what-only,1,28,3357973338,0.8,0.4
tomato,ours,1,28,3357973338,0.8,0.4
tomato,random,1,29,3649707942,0.8,0.4
tomato,ours-when-only,1,29,3649707942,0.8,0.4
tomato,ours-what-only,1,29,3649707942,0.8,0.4
tomato,ours,1,29,3649707942,0.8,0.4
tomato,random,1,30,3325784884,0.8,0.4
tomato,ours-when-only,1,30,3325784884,0.8,0.4
tomato,ours-what-only,1,30,3325784884,0.8,0.4
tomato,ours,1,30,3325784884,0.8,0.4
tomato,random,1,31,3877458541,0.8,0.4
tomato,ours-when-only,1,31,3877458541,0.8,0.4
tomato,ours-what-only,1,31,3877458541,0.8,0.4
tomato,ours,1,31,3877458541,0.8,0.4
tomato,random,1,32,3638621671,0.8,0.4
tomato,ours-when-only,1,32,3638621671,0.8,0.4
tomato,ours-what-only,1,32,3638621671,0.8,0.4
tomato,ours,1,32,3638621671,0.8,0.4
tomato,random,1,33,1084618528,0.8,0.4
tomato,ours-when-only,1,33,1084618528,0.8,0.4
tomato,ours-what-only,1,33,1084618528,0.8,0.4
tomato,ours,1,33,1084618528,0.8,0.4
tomato,random,1,34,405999239,0.8,0.4
tomato,ours-when-only,1,34,405999239,0.8,0.4
tomato,ours-what-only,1,34,405999239,0.8,0.4
tomato,ours,1,34,405999239,0.8,0.4
tomato,random,1,35,4028845444,0.8,0.4
tomato,ours-when-only,1,35,4028845444,0.8,0.4
tomato,ours-what-only,1,35,4028845444,0.8,0.4
tomato,ours,1,35,4028845444,0.8,0.4
tomato,random,1,36,2607182153,0.8,0.4
tomato,ours-when-only,1,36,2607182153,0.8,0.4
tomato,ours-what-only,1,36,2607182153,0.8,0.4
tomato,ours,1,36,2607182153,0.8,0.4
tomato,random,1,37,338448945,0.8,0.4
tomato,ours-when-only,1,37,338448945,0.8,0.4
tomato,ours-what-only,1,37,338448945,0.8,0.4
tomato,ours,1,37,338448945,0.8,0.4
tomato,random,1,38,3008854274,0.8,0.4
tomato,ours-when-only,1,38,3008854274,0.8,0.4
tomato,ours-what-only,1,38,3008854274,0.8,0.4
tomato,ours,1,38,3008854274,0.8,0.4
tomato,random,1,39,3373062200,0.8,0.4
tomato,ours-when-only,1,39,3373062200,0.8,0.4
tomato,ours-what-only,1,39,3373062200,0.8,0.4
tomato,ours,1,39,3373062200,0.8,0.4
tomato,random,1,40,1025671343,0.8,0.4
tomato,ours-when-only,1,40,1025671343,0.8,0.4
tomato,ours-what-only,1,40,1025671343,0.8,0.4
tomato,ours,1,40,1025671343,0.8,0.4
tomato,random,2,1,233361013,0.8,0.4
tomato,ours-when-only,2,1,233361013,0.8,0.4
tomato,ours-what-only,2,1,233361013,0.8,0.4
tomato,ours,2,1,233361013,0.8,0.4
tomato,random,2,2,3206958523,0.8,0.4
tomato,ours-when-only,2,2,3206958523,0.8,0.4
tomato,ours-what-only,2,2,3206958523,0.8,0.4
tomato,ours,2,2,3206958523,0.8,0.4
tomato,random,2,3,2306136433,0.8,0.4
tomato,ours-when-only,2,3,2306136433,0.8,0.4
tomato,ours-what-only,2,3,2306136433,0.8,0.4
tomato,ours,2,3,2306136433,0.8,0.4
tomato,random,2,4,1150817657,0.8,0.4
tomato,ours-when-only,2,4,1150817657,0.8,0.4
tomato,ours-what-only,2,4,1150817657,0.8,0.4
tomato,ours,2,4,1150817657,0.8,0.4
tomato,random,2,5,418694264,0.8,0.4
tomato,ours-when-only,2,5,418694264,0.8,0.4
tomato,ours-what-only,2,5,418694264,0.8,0.4
tomato,ours,2,5,418694264,0.8,0.4
tomato,random,2,6,2833878170,0.8,0.4
tomato,ours-when-only,2,6,2833878170,0.8,0.4
tomato,ours-what-only,2,6,2833878170,0.8,0.4
tomato,ours,2,6,2833878170,0.8,0.4
tomato,random,2,7,2876796507,0.8,0.4
tomato,ours-when-only,2,7,2876796507,0.8,0.4
tomato,ours-what-only,2,7,2876796507,0.8,0.4
tomato,ours,2,7,2876796507,0.8,0.4
tomato,random,2,8,2661673954,0.8,0.4
tomato,ours-when-only,2,8,2661673954,0.8,0.4
tomato,ours-what-only,2,8,2661673954,0.8,0.4
tomato,ours,2,8,2661673954,0.8,0.4
tomato,random,2,9,3533124505,0.8,0.4
tomato,ours-when-only,2,9,3533124505,0.8,0.4
tomato,ours-what-only,2,9,3533124505,0.8,0.4
tomato,ours,2,9,3533124505,0.8,0.4
tomato,random,2,10,3751400244,0.8,0.4
tomato,ours-when-only,2,10,3751400244,0.8,0.4
tomato,ours-what-only,2,10,3751400244,0.8,0.4
tomato,ours,2,10,3751400244,0.8,0.4
tomato,random,2,11,4031054018,0.8,0.4
tomato,ours-when-only,2,11,4031054018,0.8,0.4
tomato,ours-what-only,2,11,4031054018,0.8,0.4
tomato,ours,2,11,4031054018,0.8,0.4
tomato,random,2,12,1337352578,0.8,0.4
tomato,ours-when-only,2,12,1337352578,0.8,0.4
tomato,ours-what-only,2,12,1337352578,0.8,0.4
tomato,ours,2,12,1337352578,0.8,0.4
tomato,random,2,13,2571575672,0.8,0.4
tomato,ours-when-only,2,13,2571575672,0.8,0.4
tomato,ours-what-only,2,13,2571575672,0.8,0.4
tomato,ours,2,13,2571575672,0.8,0.4
tomato,random,2,14,1903174235,0.8,0.4
tomato,ours-when-only,2,14,1903174235,0.8,0.4
tomato,ours-what-only,2,14,1903174235,0.8,0.4
tomato,ours,2,14,1903174235,0.8,0.4
tomato,random,2,15,1422635806,0.8,0.4
tomato,ours-when-only,2,15,1422635806,0.8,0.4
tomato,ours-what-only,2,15,1422635806,0.8,0.4
tomato,ours,2,15,1422635806,0.8,0.4
tomato,random,2,16,559761095,0.8,0.4
tomato,ours-when-only,2,16,559761095,0.8,0.4
tomato,ours-what-only,2,16,559761095,0.8,0.4
tomato,ours,2,16,559761095,0.8,0.4
tomato,random,2,17,2324409209,0.8,0.4
tomato,ours-when-only,2,17,2324409209,0.8,0.4
tomato,ours-what-only,2,17,2324409209,0.8,0.4
tomato,ours,2,17,2324409209,0.8,0.4
tomato,random,2,18,474952343,0.8,0.4
tomato,ours-when-only,2,18,474952343,0.8,0.4
tomato,ours-what-only,2,18,474952343,0.8,0.4
tomato,ours,2,18,474952343,0.8,0.4
tomato,random,2,19,1408900490,0.8,0.4
tomato,ours-when-only,2,19,1408900490,0.8,0.4
tomato,ours-what-only,2,19,1408900490,0.8,0.4
tomato,ours,2,19,1408900490,0.8,0.4
tomato,random,2,20,1969507524,0.8,0.4
tomato,ours-when-only,2,20,1969507524,0.8,0.4
tomato,ours-what-only,2,20,1969507524,0.8,0.4
tomato,ours,2,20,1969507524,0.8,0.4
tomato,random,2,21,850676597,0.8,0.4
tomato,ours-when-only,2,21,850676597,0.8,0.4
tomato,ours-what-only,2,21,850676597,0.8,0.4
tomato,ours,2,21,850676597,0.8,0.4
tomato,random,2,22,464102713,0.8,0.4
tomato,ours-when-only,2,22,464102713,0.8,0.4
tomato,ours-what-only,2,22,464102713,0.8,0.4
tomato,ours,2,22,464102713,0.8,0.4
tomato,random,2,23,2639844527,0.8,0.4
tomato,ours-when-only,2,23,2639844527,0.8,0.4
tomato,ours-what-only,2,23,2639844527,0.8,0.4
tomato,ours,2,23,2639844527,0.8,0.4
tomato,random,2,24,2567273034,0.8,0.4
tomato,ours-when-only,2,24,2567273034,0.8,0.4
tomato,ours-what-only,2,24,2567273034,0.8,0.4
tomato,ours,2,24,2567273034,0.8,0.4
tomato,random,2,25,3815863427,0.8,0.4
tomato,ours-when-only,2,25,3815863427,0.8,0.4
tomato,ours-what-only,2,25,3815863427,0.8,0.4
tomato,ours,2,25,3815863427,0.8,0.4
tomato,random,2,26,2421989875,0.8,0.4
tomato,ours-when-only,2,26,2421989875,0.8,0.4
tomato,ours-what-only,2,26,2421989875,0.8,0.4
tomato,ours,2,26,2421989875,0.8,0.4
tomato,random,2,27,790979284,0.8,0.4
tomato,ours-when-only,2,27,790979284,0.8,0.4
tomato,ours-what-only,2,27,790979284,0.8,0.4
tomato,ours,2,27,790979284,0.8,0.4
tomato,random,2,28,484948157,0.8,0.4
tomato,ours-when-only,2,28,484948157,0.8,0.4
tomato,ours-what-only,2,28,484948157,0.8,0.4
tomato,ours,2,28,484948157,0.8,0.4
tomato,random,2,29,2138595888,0.8,0.4
tomato,ours-when-only,2,29,2138595888,0.8,0.4
tomato,ours-what-only,2,29,2138595888,0.8,0.4
tomato,ours,2,29,2138595888,0.8,0.4
tomato,random,2,30,63773712,0.8,0.4
tomato,ours-when-only,2,30,63773712,0.8,0.4
tomato,ours-what-only,2,30,63773712,0.8,0.4
tomato,ours,2,30,63773712,0.8,0.4
tomato,random,2,31,3662297998,0.8,0.4
tomato,ours-when-only,2,31,3662297998,0.8,0.4
tomato,ours-what-only,2,31,3662297998,0.8,0.4
tomato,ours,2,31,3662297998,0.8,0.4
tomato,random,2,32,3249674493,0.8,0.4
tomato,ours-when-only,2,32,3249674493,0.8,0.4
tomato,ours-what-only,2,32,3249674493,0.8,0.4
tomato,ours,2,32,3249674493,0.8,0.4
tomato,random,2,33,4007070013,0.8,0.4
tomato,ours-when-only,2,33,4007070013,0.8,0.4
tomato,ours-what-only,2,33,4007070013,0.8,0.4
tomato,ours,2,33,4007070013,0.8,0.4
tomato,random,2,34,2886041855,0.8,0.4
tomato,ours-when-only,2,34,2886041855,0.8,0.4
tomato,ours-what-only,2,34,2886041855,0.8,0.4
tomato,ours,2,34,2886041855,0.8,0.4
tomato,random,2,35,2293168667,0.8,0.4
tomato,ours-when-only,2,35,2293168667,0.8,0.4
tomato,ours-what-only,2,35,2293168667,0.8,0.4
tomato,ours,2,35,2293168667,0.8,0.4
tomato,random,2,36,3887351210,0.8,0.4
tomato,ours-when-only,2,36,3887351210,0.8,0.4
tomato,ours-what-only,2,36,3887351210,0.8,0.4
tomato,ours,2,36,3887351210,0.8,0.4
tomato,random,2,37,2318091321,0.8,0.4
tomato,ours-when-only,2,37,2318091321,0.8,0.4
tomato,ours-what-only,2,37,2318091321,0.8,0.4
tomato,ours,2,37,2318091321,0.8,0.4
tomato,random,2,38,1919828458,0.8,0.4
tomato,ours-when-only,2,38,1919828458,0.8,0.4
