global_index,domain,scene,threshold,seed_mode,max_step
1,tomato,6,0.8,random,90
2,tomato,6,0.8,random,90
3,tomato,6,0.8,random,90
4,tomato,6,0.8,random,90
5,tomato,6,0.8,random,90
6,tomato,6,0.8,random,90
7,tomato,6,0.8,random,90
8,tomato,6,0.8,random,90
9,tomato,6,0.8,random,90
10,tomato,6,0.8,random,90
11,tomato,6,0.8,random,90
12,tomato,6,0.8,random,90
13,tomato,6,0.8,random,90
14,tomato,6,0.8,random,90
15,tomato,6,0.8,random,90
16,tomato,6,0.8,random,90
17,tomato,6,0.8,random,90
18,tomato,6,0.8,random,90
19,tomato,6,0.8,random,90
20,tomato,6,0.8,random,90
21,tomato,6,0.8,random,90
22,tomato,6,0.8,random,90
23,tomato,6,0.8,random,90
24,tomato,6,0.8,random,90
25,tomato,6,0.8,random,90
26,tomato,6,0.8,random,90
27,tomato,6,0.8,random,90
28,tomato,6,0.8,random,90
29,tomato,6,0.8,random,90
30,tomato,6,0.8,random,90
31,tomato,6,0.8,random,90
32,tomato,6,0.8,random,90
33,tomato,6,0.8,random,90
34,tomato,6,0.8,random,90
35,tomato,6,0.8,random,90
36,tomato,6,0.8,random,90
37,tomato,6,0.8,random,90
38,tomato,6,0.8,random,90
39,tomato,6,0.8,random,90
40,tomato,6,0.8,random,90
41,tomato,7,0.8,random,90
42,tomato,7,0.8,random,90
43,tomato,7,0.8,random,90
44,tomato,7,0.8,random,90
45,tomato,7,0.8,random,90
46,tomato,7,0.8,random,90
47,tomato,7,0.8,random,90
48,tomato,7,0.8,random,90
49,tomato,7,0.8,random,90
50,tomato,7,0.8,random,90
51,tomato,7,0.8,random,90
52,tomato,7,0.8,random,90
53,tomato,7,0.8,random,90
54,tomato,7,0.8,random,90
55,tomato,7,0.8,random,90
56,tomato,7,0.8,random,90
57,tomato,7,0.8,random,90
58,tomato,7,0.8,random,90
59,tomato,7,0.8,random,90
60,tomato,7,0.8,random,90
61,tomato,7,0.8,random,90
62,tomato,7,0.8,random,90
63,tomato,7,0.8,random,90
64,tomato,7,0.8,random,90
65,tomato,7,0.8,random,90
66,tomato,7,0.8,random,90
