global_index,domain,scene,threshold,seed_mode,max_step,max_belief_particles
1,wastesorting,6,0.8,random,90,800
2,wastesorting,6,0.8,random,90,800
3,wastesorting,6,0.8,random,90,800
4,wastesorting,6,0.8,random,90,800
5,wastesorting,6,0.8,random,90,800
6,wastesorting,6,0.8,random,90,800
7,wastesorting,6,0.8,random,90,800
8,wastesorting,6,0.8,random,90,800
9,wastesorting,6,0.8,random,90,800
10,wastesorting,6,0.8,random,90,800
11,wastesorting,6,0.8,random,90,800
12,wastesorting,6,0.8,random,90,800
13,wastesorting,6,0.8,random,90,800
14,wastesorting,6,0.8,random,90,800
15,wastesorting,6,0.8,random,90,800
16,wastesorting,6,0.8,random,90,800
17,wastesorting,6,0.8,random,90,800
18,wastesorting,6,0.8,random,90,800
19,wastesorting,6,0.8,random,90,800
20,wastesorting,6,0.8,random,90,800
21,wastesorting,6,0.8,random,90,800
22,wastesorting,6,0.8,random,90,800
23,wastesorting,6,0.8,random,90,800
24,wastesorting,6,0.8,random,90,800
25,wastesorting,6,0.8,random,90,800
26,wastesorting,6,0.8,random,90,800
27,wastesorting,6,0.8,random,90,800
28,wastesorting,6,0.8,random,90,800
29,wastesorting,6,0.8,random,90,800
30,wastesorting,6,0.8,random,90,800
31,wastesorting,6,0.8,random,90,800
32,wastesorting,6,0.8,random,90,800
33,wastesorting,6,0.8,random,90,800
34,wastesorting,6,0.8,random,90,800
35,wastesorting,6,0.8,random,90,800
36,wastesorting,6,0.8,random,90,800
37,wastesorting,6,0.8,random,90,800
38,wastesorting,6,0.8,random,90,800
39,wastesorting,6,0.8,random,90,800
40,wastesorting,6,0.8,random,90,800
41,wastesorting,7,0.8,random,90,800
42,wastesorting,7,0.8,random,90,800
43,wastesorting,7,0.8,random,90,800
44,wastesorting,7,0.8,random,90,800
45,wastesorting,7,0.8,random,90,800
46,wastesorting,7,0.8,random,90,800
47,wastesorting,7,0.8,random,90,800
48,wastesorting,7,0.8,random,90,800
49,wastesorting,7,0.8,random,90,800
50,wastesorting,7,0.8,random,90,800
51,wastesorting,7,0.8,random,90,800
52,wastesorting,7,0.8,random,90,800
53,wastesorting,7,0.8,random,90,800
54,wastesorting,7,0.8,random,90,800
55,wastesorting,7,0.8,random,90,800
56,wastesorting,7,0.8,random,90,800
57,wastesorting,7,0.8,random,90,800
58,wastesorting,7,0.8,random,90,800
59,wastesorting,7,0.8,random,90,800
60,wastesorting,7,0.8,random,90,800
61,wastesorting,7,0.8,random,90,800
62,wastesorting,7,0.8,random,90,800
63,wastesorting,7,0.8,random,90,800
64,wastesorting,7,0.8,random,90,800
65,wastesorting,7,0.8,random,90,800
66,wastesorting,7,0.8,random,90,800
67,wastesorting,7,0.8,random,90,800
68,wastesorting,7,0.8,random,90,800
69,wastesorting,7,0.8,random,90,800
70,wastesorting,7,0.8,random,90,800
71,wastesorting,7,0.8,random,90,800
72,wastesorting,7,0.8,random,90,800
73,wastesorting,7,0.8,random,90,800
74,wastesorting,7,0.8,random,90,800
75,wastesorting,7,0.8,random,90,800
76,wastesorting,7,0.8,random,90,800
77,wastesorting,7,0.8,random,90,800
78,wastesorting,7,0.8,random,90,800
79,wastesorting,7,0.8,random,90,800
80,wastesorting,7,0.8,random,90,800
81,wastesorting,8,0.8,random,90,800
82,wastesorting,8,0.8,random,90,800
83,wastesorting,8,0.8,random,90,800
84,wastesorting,8,0.8,random,90,800
85,wastesorting,8,0.8,random,90,800
86,wastesorting,8,0.8,random,90,800
87,wastesorting,8,0.8,random,90,800
88,wastesorting,8,0.8,random,90,800
89,wastesorting,8,0.8,random,90,800
90,wastesorting,8,0.8,random,90,800
91,wastesorting,8,0.8,random,90,800
92,wastesorting,8,0.8,random,90,800
93,wastesorting,8,0.8,random,90,800
94,wastesorting,8,0.8,random,90,800
95,wastesorting,8,0.8,random,90,800
96,wastesorting,8,0.8,random,90,800
97,wastesorting,8,0.8,random,90,800
98,wastesorting,8,0.8,random,90,800
99,wastesorting,8,0.8,random,90,800
100,wastesorting,8,0.8,random,90,800
101,wastesorting,8,0.8,random,90,800
102,wastesorting,8,0.8,random,90,800
103,wastesorting,8,0.8,random,90,800
104,wastesorting,8,0.8,random,90,800
105,wastesorting,8,0.8,random,90,800
106,wastesorting,8,0.8,random,90,800
107,wastesorting,8,0.8,random,90,800
108,wastesorting,8,0.8,random,90,800
109,wastesorting,8,0.8,random,90,800
110,wastesorting,8,0.8,random,90,800
111,wastesorting,8,0.8,random,90,800
112,wastesorting,8,0.8,random,90,800
113,wastesorting,8,0.8,random,90,800
114,wastesorting,8,0.8,random,90,800
115,wastesorting,8,0.8,random,90,800
116,wastesorting,8,0.8,random,90,800
117,wastesorting,8,0.8,random,90,800
118,wastesorting,8,0.8,random,90,800
119,wastesorting,8,0.8,random,90,800
120,wastesorting,8,0.8,random,90,800
