index,true_options,selected_true_option,p_true,nonconformity_score,top_tokens,top_logprobs
1,"A,C",A,0.48249475654371504,0.517505243456285,"A,B,E,C,D","-2.6729846,-3.563911,-3.8636508,-4.111938,-4.7841945"
2,"A,B",A,0.7262134715332795,0.27378652846672047,"A,B,E,D,C","-2.931052,-4.284232,-5.7811327,-5.7928896,-8.562016"
3,B,B,0.20510504311256675,0.7948949568874333,"C,A,B,E,D","-2.9485717,-3.277286,-3.6769366,-4.9443793,-7.150516"
4,"B,D",B,0.1825345519868801,0.8174654480131199,"A,B,E,C,D","-2.0926952,-3.3857956,-4.0342045,-4.759632,-6.2273197"
5,"A,C",C,0.6989019763143538,0.3010980236856462,"C,A,B,E,D","-2.5424867,-4.321982,-4.5312066,-4.75256,-6.7075067"
6,B,B,0.047572063780115574,0.9524279362198844,"C,D,A,E,B","-2.145018,-3.6729722,-3.6948323,-3.986033,-4.67936"
7,"B,D",B,0.15010614155740587,0.8498938584425941,"A,E,B,D,C","-2.5694935,-3.7108433,-3.8124535,-4.0336523,-5.0586863"
8,"A,B",B,0.5912341493492103,0.40876585065078974,"B,A,E,D,C","-2.89073,-3.6184444,-5.0636024,-5.367651,-7.44578"
9,C,C,0.20784318692889667,0.7921568130711033,"D,C,B,E,A","-2.2297852,-2.913894,-3.163808,-3.498443,-3.6209576"
10,"A,C",A,0.5183601602707576,0.4816398397292424,"A,B,E,C,D","-2.647304,-3.5545287,-3.8230414,-4.2573905,-6.718555"
11,"A,D",D,0.6873821568889813,0.3126178431110187,"D,A,C,E,B","-2.4680233,-3.8897285,-4.6518764,-5.238598,-5.7313786"
12,B,B,0.2309924254228725,0.7690075745771275,"C,A,B,E,D","-2.6918726,-2.735652,-3.1662092,-5.0219316,-6.7509375"
13,"A,D",D,0.5111440644805143,0.4888559355194857,"D,E,A,C,B","-2.3313215,-3.3778722,-3.5391443,-4.1948447,-4.2199683"
14,"B,C",B,0.6879345350593786,0.3120654649406214,"B,C,E,A,D","-2.837331,-4.1469626,-4.9864287,-5.683618,-7.541393"
15,C,C,0.05596179553592176,0.9440382044640783,"B,A,D,E,C","-2.5365741,-2.9334724,-3.0797527,-3.856631,-4.4376454"
