domain,policy,scene,run_index,success,planning_length,question_count,query_probability,elapsed_seconds,reward,source_file
tomato,all,scene_01,1,True,19.0,29.0,1.5263157894736843,16.3469,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_01,2,True,19.0,29.0,1.5263157894736843,15.8121,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_01,3,True,19.0,29.0,1.5263157894736843,15.6604,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_01,4,True,19.0,29.0,1.5263157894736843,15.5416,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_01,5,True,19.0,29.0,1.5263157894736843,15.3683,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_01,6,True,19.0,29.0,1.5263157894736843,15.4453,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_01,7,True,19.0,29.0,1.5263157894736843,15.7526,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_01,8,True,19.0,29.0,1.5263157894736843,15.6224,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_01,9,True,19.0,29.0,1.5263157894736843,16.032,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_01,10,True,19.0,29.0,1.5263157894736843,16.093,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_01,11,True,19.0,29.0,1.5263157894736843,16.2265,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_01,12,True,19.0,29.0,1.5263157894736843,16.2344,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_01,13,True,19.0,29.0,1.5263157894736843,16.0036,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_01,14,True,19.0,29.0,1.5263157894736843,16.4614,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_01,15,True,19.0,29.0,1.5263157894736843,15.9777,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_01,16,True,19.0,29.0,1.5263157894736843,16.1911,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_01,17,True,19.0,29.0,1.5263157894736843,16.2395,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_01,18,True,19.0,29.0,1.5263157894736843,16.27,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_01,19,True,19.0,29.0,1.5263157894736843,15.7434,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_01,20,True,19.0,29.0,1.5263157894736843,15.8143,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_01,21,True,19.0,29.0,1.5263157894736843,16.2708,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_01,22,True,19.0,29.0,1.5263157894736843,16.3746,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_01,23,True,19.0,29.0,1.5263157894736843,15.8202,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_01,24,True,19.0,29.0,1.5263157894736843,15.7062,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_01,25,True,19.0,29.0,1.5263157894736843,15.7574,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_01,26,True,19.0,29.0,1.5263157894736843,15.4637,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_01,27,True,19.0,29.0,1.5263157894736843,15.6068,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_01,28,True,19.0,29.0,1.5263157894736843,16.1368,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_01,29,True,19.0,29.0,1.5263157894736843,15.7877,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_01,30,True,19.0,29.0,1.5263157894736843,15.3887,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_01,31,True,19.0,29.0,1.5263157894736843,15.9828,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_01,32,True,19.0,29.0,1.5263157894736843,15.8002,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_01,33,True,19.0,29.0,1.5263157894736843,16.2477,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_01,34,True,19.0,29.0,1.5263157894736843,15.7238,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_01,35,True,19.0,29.0,1.5263157894736843,16.3405,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_01,36,True,19.0,29.0,1.5263157894736843,16.4036,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_01,37,True,19.0,29.0,1.5263157894736843,16.3264,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_01,38,True,19.0,29.0,1.5263157894736843,16.3762,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_01,39,True,19.0,29.0,1.5263157894736843,16.1701,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_01,40,True,19.0,29.0,1.5263157894736843,16.2648,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,1,True,30.0,52.0,1.7333333333333334,27.7544,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,2,True,30.0,52.0,1.7333333333333334,27.0829,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,3,True,30.0,52.0,1.7333333333333334,27.6793,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,4,True,30.0,52.0,1.7333333333333334,27.0888,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,5,True,30.0,52.0,1.7333333333333334,27.6442,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,6,True,30.0,52.0,1.7333333333333334,28.5467,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,7,True,30.0,52.0,1.7333333333333334,27.6051,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,8,True,30.0,52.0,1.7333333333333334,28.3969,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,9,True,30.0,52.0,1.7333333333333334,28.3684,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,10,True,30.0,52.0,1.7333333333333334,28.454,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,11,True,30.0,52.0,1.7333333333333334,28.0414,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,12,True,30.0,52.0,1.7333333333333334,27.391,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,13,True,30.0,52.0,1.7333333333333334,27.8296,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,14,True,30.0,52.0,1.7333333333333334,27.7239,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,15,True,30.0,52.0,1.7333333333333334,27.6175,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,16,True,30.0,52.0,1.7333333333333334,26.9017,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,17,True,30.0,52.0,1.7333333333333334,27.1828,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,18,True,30.0,52.0,1.7333333333333334,26.7471,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,19,True,30.0,52.0,1.7333333333333334,26.5004,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,20,True,30.0,52.0,1.7333333333333334,26.5557,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,21,True,30.0,52.0,1.7333333333333334,26.5714,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,22,True,30.0,52.0,1.7333333333333334,26.4849,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,23,True,30.0,52.0,1.7333333333333334,27.049,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,24,True,30.0,52.0,1.7333333333333334,27.6401,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,25,True,30.0,52.0,1.7333333333333334,26.8212,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,26,True,30.0,52.0,1.7333333333333334,27.4626,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,27,True,30.0,52.0,1.7333333333333334,27.5137,10.0,logs/tomato/scene_metrics/step_50_thres_all
