domain,policy,scene,run_count,success_count,failure_count,success_probability,success_planning_length_mean,success_planning_length_std,failure_planning_length_mean,failure_planning_length_std,overall_planning_length_mean,overall_planning_length_std,question_count_mean,question_count_std,query_probability_per_step,elapsed_seconds_mean,reward_mean
tomato,all,scene_01,40,40,0,1.000000,19.000000,0.000000,,,19.000000,0.000000,29.000000,0.000000,1.526316,15.969637,5.000000
tomato,all,scene_02,40,40,0,1.000000,30.000000,0.000000,,,30.000000,0.000000,52.000000,0.000000,1.733333,27.340810,10.000000
tomato,all,scene_03,40,40,0,1.000000,21.000000,0.000000,,,21.000000,0.000000,34.000000,0.000000,1.619048,18.284897,5.000000
tomato,all,scene_04,40,40,0,1.000000,20.000000,0.000000,,,20.000000,0.000000,30.000000,0.000000,1.500000,16.798210,5.000000
tomato,all,scene_05,40,33,7,0.825000,22.878788,7.274775,17.571429,15.862504,21.950000,9.290055,41.500000,24.425712,1.890661,20.209980,5.250000
tomato,all,total,200,193,7,0.965000,22.564767,4.988236,17.571429,15.862504,22.390000,5.695621,37.300000,13.807725,1.665922,19.720707,6.050000
tomato,no,scene_01,41,0,41,0.000000,,,50.000000,0.000000,50.000000,0.000000,0.000000,0.000000,0.000000,46.467210,5.000000
tomato,no,scene_02,40,0,40,0.000000,,,50.000000,0.000000,50.000000,0.000000,0.000000,0.000000,0.000000,46.441915,10.000000
tomato,no,scene_03,40,0,40,0.000000,,,50.000000,0.000000,50.000000,0.000000,0.000000,0.000000,0.000000,46.631890,10.000000
tomato,no,scene_04,40,40,0,1.000000,21.000000,0.000000,,,21.000000,0.000000,0.000000,0.000000,0.000000,18.549053,15.000000
tomato,no,scene_05,40,0,40,0.000000,,,13.400000,17.373425,13.400000,17.373425,0.000000,0.000000,0.000000,12.549468,1.000000
tomato,no,total,201,40,161,0.199005,21.000000,0.000000,40.906832,18.034966,36.945274,17.991442,0.000000,0.000000,0.000000,34.189297,8.184080
tomato,ours,scene_01,40,40,0,1.000000,19.000000,0.000000,,,19.000000,0.000000,18.000000,0.000000,0.947368,15.992772,5.000000
tomato,ours,scene_02,40,40,0,1.000000,25.000000,0.000000,,,25.000000,0.000000,28.000000,0.000000,1.120000,22.573103,10.000000
tomato,ours,scene_03,40,40,0,1.000000,17.000000,0.000000,,,17.000000,0.000000,15.000000,0.000000,0.882353,18.855335,0.000000
tomato,ours,scene_04,40,40,0,1.000000,21.000000,0.000000,,,21.000000,0.000000,19.000000,0.000000,0.904762,29.868880,0.000000
tomato,ours,scene_05,40,36,4,0.900000,20.027778,7.236756,12.000000,4.830459,19.225000,7.398848,22.650000,12.503435,1.178153,17.804340,7.500000
tomato,ours,total,200,196,4,0.980000,20.413265,4.075899,12.000000,4.830459,20.245000,4.245598,20.530000,7.117753,1.014078,21.018886,4.500000
tomato,random,scene_01,40,2,38,0.050000,15.000000,0.000000,9.026316,7.899664,9.325000,7.806596,5.950000,5.281560,0.638070,7.631235,2.125000
tomato,random,scene_02,40,2,38,0.050000,15.500000,0.707107,8.631579,8.105457,8.975000,8.039924,4.400000,4.678374,0.490251,7.309703,2.000000
tomato,random,scene_03,40,1,39,0.025000,18.000000,0.000000,8.641026,5.806019,8.875000,5.919059,4.775000,5.191154,0.538028,6.983187,3.125000
tomato,random,scene_04,40,1,39,0.025000,15.000000,0.000000,7.435897,3.754260,7.625000,3.894029,3.875000,4.309724,0.508197,5.982592,2.750000
tomato,random,scene_05,40,1,39,0.025000,15.000000,0.000000,7.589744,3.753721,7.775000,3.886119,4.050000,4.437313,0.520900,6.086283,1.500000
tomato,random,total,200,7,193,0.035000,15.571429,1.133893,8.259067,6.110547,8.515000,6.154606,4.610000,4.804510,0.541398,6.798600,2.300000
tomato,knowno,scene_01,24,6,18,0.250000,13.500000,0.547723,8.777778,3.540614,9.958333,3.700519,1.666667,1.167184,0.167364,30.813755,
tomato,knowno,scene_02,20,10,10,0.500000,14.500000,0.849837,8.500000,4.696334,11.500000,4.501462,2.500000,1.317893,0.217391,32.810253,
tomato,knowno,scene_03,21,10,11,0.476190,13.800000,0.632456,7.181818,2.600699,10.333333,3.877284,2.047619,1.203170,0.198157,38.566525,
tomato,knowno,scene_04,20,8,12,0.400000,13.500000,0.755929,7.833333,3.325749,10.100000,3.837488,1.950000,1.356272,0.193069,33.366654,
tomato,knowno,scene_05,20,10,10,0.500000,14.000000,1.154701,7.300000,3.917199,10.650000,4.439950,2.300000,1.688974,0.215962,29.251348,
tomato,knowno,total,105,44,61,0.419048,13.909091,0.884444,8.016393,3.570676,10.485714,4.026628,2.076190,1.356574,0.198002,32.933259,
