domain,scene,file,timestamp,model,prompt_version,seed,qhat,success,stop_reason,planning_length,planning_iterations,question_count,autonomous_action_count,fallback_in_prediction_count,action_failure_count,average_candidate_count,average_candidate_count_when_asked,average_prediction_set_size,average_prediction_set_size_when_asked,total_elapsed_seconds,token_generation,token_scoring,token_overall
tomato,scene_01,scripts/baseline/logs/tomato/scene_01/knowno_tomato_20260616_150038.txt,2026-06-16 15:00:38,gpt-4o,v2,253561792,0.92,True,success,14,14,3,11,0,0,5.0,5.0,1.2857142857142858,2.3333333333333335,62.973717492001015,29073,6297,35370
tomato,scene_01,scripts/baseline/logs/tomato/scene_01/knowno_tomato_20260616_150240.txt,2026-06-16 15:02:40,gpt-4o,v2,2545812484,0.92,False,Dead-end: true ripe tomato tomato3 was discarded.,14,14,2,12,0,0,5.0,5.0,1.1428571428571428,2.0,40.27893403400958,29075,6299,35374
tomato,scene_01,scripts/baseline/logs/tomato/scene_01/knowno_tomato_20260616_150335.txt,2026-06-16 15:03:35,gpt-4o,v2,73805950,0.92,True,success,13,13,2,11,0,0,5.0,5.0,1.2307692307692308,2.5,28.505902367003728,26945,5795,32740
tomato,scene_01,scripts/baseline/logs/tomato/scene_01/knowno_tomato_20260616_150408.txt,2026-06-16 15:04:08,gpt-4o,v2,3330631079,0.92,False,Dead-end: true ripe tomato tomato1 was discarded.,5,5,0,5,0,0,5.0,0.0,1.0,0.0,8.58833828898787,10238,2103,12341
tomato,scene_01,scripts/baseline/logs/tomato/scene_01/knowno_tomato_20260616_150422.txt,2026-06-16 15:04:22,gpt-4o,v2,4109171916,0.92,False,Dead-end: true ripe tomato tomato3 was discarded.,15,15,4,11,0,1,5.0,5.0,1.4,2.5,44.225037722993875,31263,6860,38123
tomato,scene_01,scripts/baseline/logs/tomato/scene_01/knowno_tomato_20260616_150513.txt,2026-06-16 15:05:13,gpt-4o,v2,4045020127,0.92,False,Dead-end: true ripe tomato tomato3 was discarded.,15,15,4,11,0,0,5.0,5.0,1.3333333333333333,2.25,38.880724670991185,31216,6812,38028
tomato,scene_01,scripts/baseline/logs/tomato/scene_01/knowno_tomato_20260616_150559.txt,2026-06-16 15:05:59,gpt-4o,v2,2631416915,0.92,False,Dead-end: true rotten tomato tomato2 was loaded.,9,9,1,8,1,0,5.0,5.0,1.3333333333333333,4.0,19.236213629003032,18550,3907,22457
tomato,scene_01,scripts/baseline/logs/tomato/scene_01/knowno_tomato_20260616_150629.txt,2026-06-16 15:06:29,gpt-4o,v2,4263079958,0.92,True,success,14,14,2,12,0,0,5.0,5.0,1.1428571428571428,2.0,35.60096466699906,29077,6301,35378
tomato,scene_01,scripts/baseline/logs/tomato/scene_01/knowno_tomato_20260616_150710.txt,2026-06-16 15:07:10,gpt-4o,v2,300656370,0.92,True,success,14,14,3,11,0,1,5.0,5.0,1.3571428571428572,2.6666666666666665,38.30723809800111,29123,6345,35468
tomato,scene_01,scripts/baseline/logs/tomato/scene_01/knowno_tomato_20260616_150810.txt,2026-06-16 15:08:10,gpt-4o,v2,2756290322,0.92,True,success,13,13,2,11,0,0,5.0,5.0,1.2307692307692308,2.5,43.248830755997915,26942,5792,32734
tomato,scene_01,scripts/baseline/logs/tomato/scene_01/knowno_tomato_20260616_170545.txt,2026-06-16 17:05:45,gpt-4o,v2,602327749,0.92,True,success,13,13,2,11,0,0,5.0,5.0,1.2307692307692308,2.5,28.329797576996498,26945,5795,32740
tomato,scene_01,scripts/baseline/logs/tomato/scene_01/knowno_tomato_20260616_170620.txt,2026-06-16 17:06:20,gpt-4o,v2,3927907580,0.92,False,Dead-end: true ripe tomato tomato1 was discarded.,5,5,1,4,0,0,5.0,5.0,1.2,2.0,13.434228388010524,10238,2103,12341
tomato,scene_01,scripts/baseline/logs/tomato/scene_01/knowno_tomato_20260616_170638.txt,2026-06-16 17:06:38,gpt-4o,v2,3903892798,0.92,False,Dead-end: true ripe tomato tomato3 was discarded.,13,13,2,11,0,0,5.0,5.0,1.2307692307692308,2.5,57.036483814998064,26944,5794,32738
tomato,scene_01,scripts/baseline/logs/tomato/scene_01/knowno_tomato_20260616_170738.txt,2026-06-16 17:07:38,gpt-4o,v2,871966850,0.92,False,Dead-end: true rotten tomato tomato2 was loaded.,8,8,1,7,0,0,5.0,5.0,1.125,2.0,67.27498581599502,16447,3432,19879
tomato,scene_01,scripts/baseline/logs/tomato/scene_01/knowno_tomato_20260616_170849.txt,2026-06-16 17:08:49,gpt-4o,v2,3545827492,0.92,False,Dead-end: true ripe tomato tomato1 was discarded.,9,9,2,7,1,0,5.0,5.0,1.3333333333333333,2.5,27.516470493006636,18553,3910,22463
tomato,scene_01,scripts/baseline/logs/tomato/scene_01/knowno_tomato_20260616_170920.txt,2026-06-16 17:09:20,gpt-4o,v2,2839894022,0.92,False,invalid scan without held tomato,5,6,0,6,0,0,5.0,0.0,1.0,0.0,11.305016735990648,12303,2541,14844
tomato,scene_01,scripts/baseline/logs/tomato/scene_01/knowno_tomato_20260616_170935.txt,2026-06-16 17:09:35,gpt-4o,v2,3896077168,0.92,False,Dead-end: true ripe tomato tomato1 was discarded.,5,5,0,5,0,0,5.0,0.0,1.0,0.0,8.674127792008221,10238,2103,12341
tomato,scene_01,scripts/baseline/logs/tomato/scene_01/knowno_tomato_20260616_170948.txt,2026-06-16 17:09:48,gpt-4o,v2,3036934610,0.92,False,invalid scan without held tomato,5,6,0,6,0,0,5.0,0.0,1.0,0.0,9.55200520400831,12302,2540,14842
tomato,scene_01,scripts/baseline/logs/tomato/scene_01/knowno_tomato_20260616_171001.txt,2026-06-16 17:10:01,gpt-4o,v2,1085501856,0.92,False,invalid pick tomato not observed here: tomato3,11,12,3,9,0,1,5.0,5.0,1.3333333333333333,2.3333333333333335,35.89675030000217,24882,5358,30240
tomato,scene_01,scripts/baseline/logs/tomato/scene_01/knowno_tomato_20260616_171039.txt,2026-06-16 17:10:39,gpt-4o,v2,3663060359,0.92,False,Dead-end: true rotten tomato tomato2 was loaded.,8,8,1,7,0,0,5.0,5.0,1.125,2.0,17.091654372008634,16450,3434,19884
tomato,scene_01,scripts/baseline/logs/tomato/scene_01/knowno_tomato_20260616_171059.txt,2026-06-16 17:10:59,gpt-4o,v2,2741391094,0.92,False,Dead-end: true ripe tomato tomato1 was discarded.,6,6,1,5,0,1,5.0,5.0,1.1666666666666667,2.0,12.464942004997283,12323,2561,14884
tomato,scene_01,scripts/baseline/logs/tomato/scene_01/knowno_tomato_20260616_171115.txt,2026-06-16 17:11:15,gpt-4o,v2,59323644,0.92,False,Dead-end: true ripe tomato tomato1 was discarded.,7,7,1,6,0,1,5.0,5.0,1.1428571428571428,2.0,17.91554917700705,14391,3005,17396
tomato,scene_01,scripts/baseline/logs/tomato/scene_01/knowno_tomato_20260616_171137.txt,2026-06-16 17:11:37,gpt-4o,v2,808740228,0.92,False,invalid pick tomato not observed here: tomato3,10,11,2,9,0,0,5.0,5.0,1.2727272727272727,2.5,41.51373995700851,22727,4831,27558
tomato,scene_01,scripts/baseline/logs/tomato/scene_01/knowno_tomato_20260616_171223.txt,2026-06-16 17:12:23,gpt-4o,v2,2979603400,0.92,False,Dead-end: true rotten tomato tomato2 was loaded.,8,8,1,7,0,0,5.0,5.0,1.125,2.0,31.67845871899044,16451,3435,19886
tomato,scene_02,scripts/baseline/logs/tomato/scene_02/knowno_tomato_20260616_150902.txt,2026-06-16 15:09:02,gpt-4o,v2,2039121993,0.92,False,invalid pick tomato not observed here: tomato1,3,4,1,3,0,1,5.0,5.0,1.25,2.0,8.037728260998847,8192,1684,9876
