folder,action_schema,action_count,question_count,expected_questions_per_action
logs/tomato/scene_01_step50/thres_0-0,ALL,0,0,0.0000
logs/tomato/scene_02_step50/thres_0-0,detect,41,0,0.0000
logs/tomato/scene_02_step50/thres_0-0,discard,8,0,0.0000
logs/tomato/scene_02_step50/thres_0-0,navigate,76,0,0.0000
logs/tomato/scene_02_step50/thres_0-0,pick,62,0,0.0000
logs/tomato/scene_02_step50/thres_0-0,place,14,0,0.0000
logs/tomato/scene_02_step50/thres_0-0,scan,22,0,0.0000
logs/tomato/scene_02_step50/thres_0-0,ALL,223,0,0.0000
logs/tomato/scene_03_step50/thres_0-0,detect,39,0,0.0000
logs/tomato/scene_03_step50/thres_0-0,discard,12,0,0.0000
logs/tomato/scene_03_step50/thres_0-0,navigate,76,0,0.0000
logs/tomato/scene_03_step50/thres_0-0,pick,60,0,0.0000
logs/tomato/scene_03_step50/thres_0-0,place,7,0,0.0000
logs/tomato/scene_03_step50/thres_0-0,scan,18,0,0.0000
logs/tomato/scene_03_step50/thres_0-0,ALL,212,0,0.0000
logs/tomato/scene_04_step50/thres_0-0,detect,36,0,0.0000
logs/tomato/scene_04_step50/thres_0-0,discard,10,0,0.0000
logs/tomato/scene_04_step50/thres_0-0,navigate,61,0,0.0000
logs/tomato/scene_04_step50/thres_0-0,pick,66,0,0.0000
logs/tomato/scene_04_step50/thres_0-0,place,14,0,0.0000
logs/tomato/scene_04_step50/thres_0-0,scan,22,0,0.0000
logs/tomato/scene_04_step50/thres_0-0,ALL,209,0,0.0000
logs/tomato/scene_05_step50/thres_0-0,detect,38,0,0.0000
logs/tomato/scene_05_step50/thres_0-0,discard,8,0,0.0000
logs/tomato/scene_05_step50/thres_0-0,navigate,78,0,0.0000
logs/tomato/scene_05_step50/thres_0-0,pick,59,0,0.0000
logs/tomato/scene_05_step50/thres_0-0,place,12,0,0.0000
logs/tomato/scene_05_step50/thres_0-0,scan,20,0,0.0000
logs/tomato/scene_05_step50/thres_0-0,ALL,215,0,0.0000
TOTAL,detect,154,0,0.0000
TOTAL,discard,38,0,0.0000
TOTAL,navigate,291,0,0.0000
TOTAL,pick,247,0,0.0000
TOTAL,place,47,0,0.0000
TOTAL,scan,82,0,0.0000
TOTAL,ALL,859,0,0.0000
