run,logs/tomato/scene_01_step50/thres_0-4,logs/tomato/scene_02_step50/thres_0-4,logs/tomato/scene_03_step50/thres_0-4,logs/tomato/scene_04_step50/thres_0-4,logs/tomato/scene_05_step50/thres_0-4
1,50,50,50,50,18
2,50,50,50,50,50
3,50,50,12,50,50
4,50,50,50,50,50
5,50,50,50,50,50
6,50,50,50,50,50
7,50,50,50,50,50
8,50,50,13,50,50
9,50,50,50,50,50
10,50,50,50,50,50
11,50,50,50,50,50
12,50,11,50,50,13
13,50,50,50,11,50
14,50,50,50,50,50
15,50,50,50,13,50
16,50,6,50,50,50
17,50,50,50,50,50
18,12,50,11,50,50
19,50,50,50,50,50
20,50,50,50,50,50
21,50,50,50,50,50
22,13,50,50,50,50
23,50,11,50,50,50
24,50,4,50,50,50
25,50,50,11,50,50
26,50,50,50,50,50
27,50,50,50,50,16
28,50,50,50,50,50
29,50,50,50,50,50
30,50,50,50,50,50
31,50,50,50,50,50
32,50,15,50,50,50
33,50,50,50,50,50
34,50,50,50,50,50
35,50,20,50,50,4
36,50,50,50,50,13
37,50,17,50,50,50
38,50,50,50,50,50
39,50,50,50,50,50
40,50,50,50,50,50
95% confidence interval,45.5597~50.6903,38.7644~47.9356,42.5726~49.7774,45.4998~50.7002,41.4523~49.2477
average step,48.1250,43.3500,46.1750,48.1000,45.3500
