run,logs/tomato/scene_01_step50/thres_0-5,logs/tomato/scene_02_step50/thres_0-5,logs/tomato/scene_03_step50/thres_0-5,logs/tomato/scene_04_step50/thres_0-5,logs/tomato/scene_05_step50/thres_0-5
1,10,20,9,13,7
2,8,9,11,11,7
3,13,12,11,10,10
4,7,8,9,11,9
5,11,7,15,15,12
6,5,6,14,1,12
7,10,4,13,16,9
8,12,10,6,17,10
9,12,12,9,14,12
10,20,11,7,5,11
11,13,13,9,10,4
12,6,8,9,10,18
13,10,9,5,13,7
14,11,4,9,16,8
15,9,12,1,13,14
16,11,5,11,7,16
17,12,11,11,9,6
18,15,9,6,11,11
19,3,11,14,13,8
20,8,10,8,16,6
21,11,5,10,10,4
22,15,15,8,7,12
23,14,4,22,12,14
24,18,11,10,11,7
25,11,9,4,11,7
26,12,7,10,4,11
27,10,11,17,11,12
28,19,11,5,9,14
29,19,11,12,9,8
30,7,6,8,10,7
31,8,7,10,4,10
32,9,7,13,11,12
33,15,10,8,17,11
34,10,10,10,12,9
35,10,11,14,17,10
36,9,9,10,4,10
37,7,18,20,7,6
38,8,9,15,10,13
39,12,8,9,9,20
40,9,10,8,6,9
95% confidence interval,9.8018~12.1482,8.4450~10.5550,8.9853~11.5147,9.3386~11.7614,8.9937~11.1563
average question,10.9750,9.5000,10.2500,10.5500,10.0750
