run,logs/tomato/scene_01_step50/thres_0-6,logs/tomato/scene_02_step50/thres_0-6,logs/tomato/scene_03_step50/thres_0-6,logs/tomato/scene_04_step50/thres_0-6,logs/tomato/scene_05_step50/thres_0-6
1,46.7733,47.7319,21.0372,19.2942,44.5816
2,46.054,47.4338,21.5367,46.2541,48.0889
3,48.6971,13.5517,46.7052,48.433,12.9902
4,48.3803,13.4277,47.836,47.0701,49.4722
5,14.7417,48.5473,16.9167,48.5733,48.3224
6,12.9146,47.8099,48.8255,16.4842,46.8449
7,47.8726,13.2076,13.6214,18.8646,27.9687
8,47.2462,48.3644,48.2193,48.3035,48.0915
9,46.5747,22.5791,47.7056,46.5721,46.1561
10,46.5195,15.2175,47.9932,49.1847,48.3288
11,49.4562,46.6096,49.1258,18.5665,46.1571
12,48.6076,49.1465,48.8322,49.85,48.4626
13,45.7484,48.2751,49.3919,47.2709,48.806
14,47.0571,48.0336,46.6057,47.4276,47.9592
15,47.2149,21.0831,48.4559,47.1559,11.8012
16,49.0479,22.4879,24.5445,47.1363,47.154
17,15.4384,47.5697,49.3014,16.2399,47.3373
18,49.1919,48.1729,48.5644,48.0169,46.3318
19,11.1396,47.1296,48.6422,48.4145,15.4651
20,47.2437,13.2003,18.5121,47.477,13.6387
21,11.3553,46.7942,5.8095,47.3016,16.2771
22,48.1204,14.465,47.6474,49.4606,49.3116
23,46.6629,16.1793,49.1633,48.5453,16.1855
24,46.5103,48.8582,46.7956,47.4435,46.4963
25,11.1293,48.5946,48.2732,13.6251,47.2604
26,48.7156,48.1651,45.8816,45.5178,15.3058
27,18.356,46.105,45.8624,46.8932,12.6946
28,47.1693,12.4161,46.9041,48.3865,47.6995
29,23.3285,47.2871,12.8468,47.7305,12.4436
30,48.8018,11.6432,4.5711,48.0075,48.7131
31,47.6172,48.6327,44.8263,48.9519,47.772
32,48.5679,18.7898,47.383,47.6421,47.5114
33,47.0832,16.0977,12.2599,14.4127,47.8004
34,48.5486,19.5121,48.5711,48.565,48.2242
35,47.6014,46.8084,49.0044,46.8182,47.901
36,46.013,11.6046,48.0896,7.8456,49.6224
37,9.2087,9.6608,47.1452,17.7882,11.5679
38,47.8991,46.9637,47.0006,17.6913,46.7186
39,48.5857,46.6014,47.4345,47.6306,12.6888
40,48.2842,47.4589,3.9377,46.6789,18.9756
95% confidence interval,35.6950~44.5789,29.0091~39.1017,33.6880~43.4010,35.4951~44.1812,32.2914~41.9650
average elapsed time,40.1370,34.0554,38.5445,39.8381,37.1282
