run,logs/tomato/scene_01_step50/thres_0-8,logs/tomato/scene_02_step50/thres_0-8,logs/tomato/scene_03_step50/thres_0-8,logs/tomato/scene_04_step50/thres_0-8,logs/tomato/scene_05_step50/thres_0-8
1,15.0,10.0,5.0,10.0,0.0
2,5.0,10.0,5.0,0.0,5.0
3,5.0,15.0,5.0,0.0,10.0
4,5.0,0.0,10.0,10.0,5.0
5,10.0,5.0,5.0,10.0,5.0
6,15.0,5.0,10.0,0.0,5.0
7,5.0,10.0,5.0,0.0,10.0
8,5.0,5.0,10.0,10.0,10.0
9,0.0,5.0,10.0,10.0,0.0
10,10.0,0.0,5.0,10.0,5.0
11,5.0,10.0,10.0,15.0,10.0
12,5.0,10.0,0.0,5.0,10.0
13,15.0,10.0,10.0,10.0,5.0
14,5.0,10.0,15.0,10.0,10.0
15,10.0,15.0,10.0,5.0,10.0
16,10.0,10.0,5.0,5.0,10.0
17,5.0,5.0,15.0,5.0,0.0
18,10.0,15.0,15.0,10.0,10.0
19,0.0,5.0,5.0,5.0,5.0
20,0.0,5.0,5.0,10.0,10.0
21,10.0,10.0,10.0,5.0,0.0
22,10.0,10.0,5.0,5.0,5.0
23,10.0,5.0,0.0,5.0,15.0
24,0.0,10.0,15.0,10.0,5.0
25,5.0,10.0,15.0,10.0,10.0
26,5.0,0.0,10.0,10.0,5.0
27,0.0,5.0,0.0,5.0,5.0
28,10.0,10.0,10.0,5.0,5.0
29,10.0,0.0,5.0,10.0,0.0
30,10.0,5.0,15.0,0.0,10.0
31,15.0,5.0,5.0,10.0,10.0
32,10.0,5.0,5.0,10.0,5.0
33,10.0,0.0,5.0,5.0,0.0
34,5.0,10.0,5.0,5.0,5.0
35,0.0,0.0,5.0,10.0,10.0
36,15.0,5.0,5.0,10.0,5.0
37,5.0,10.0,5.0,0.0,5.0
38,15.0,10.0,10.0,10.0,10.0
39,5.0,5.0,0.0,15.0,0.0
40,0.0,0.0,5.0,10.0,10.0
95% confidence interval,5.7633~8.7367,5.5302~8.2198,6.0166~8.7334,5.9873~8.5127,5.1601~7.5899
average reward,7.2500,6.8750,7.3750,7.2500,6.3750
