run,logs/tomato/scene_01_step50/thres_1-0,logs/tomato/scene_02_step50/thres_1-0,logs/tomato/scene_03_step50/thres_1-0,logs/tomato/scene_04_step50/thres_1-0,logs/tomato/scene_05_step50/thres_1-0
1,1,1,1,1,1
2,1,1,1,1,1
3,1,1,1,1,1
4,1,1,1,1,1
5,1,1,1,1,1
6,1,1,1,1,1
7,1,1,1,1,1
8,1,1,1,1,1
9,1,1,1,1,1
10,1,1,1,1,1
11,1,1,1,1,1
12,1,1,1,1,1
13,1,1,1,1,1
14,1,1,1,1,1
15,1,1,1,1,1
16,1,1,1,1,1
17,1,1,1,1,1
18,1,1,1,0,1
19,1,0,1,1,1
20,1,1,1,1,1
21,1,1,1,1,1
22,1,1,1,1,1
23,1,1,1,1,1
24,1,1,1,1,1
25,1,1,1,1,1
26,1,1,1,1,1
27,1,0,1,1,1
28,1,1,1,1,1
29,1,1,0,1,1
30,1,1,1,1,1
31,1,1,1,1,1
32,1,1,1,1,1
33,1,1,0,1,1
34,1,1,1,1,1
35,1,1,1,1,1
36,1,1,1,1,1
37,1,1,1,1,1
38,1,1,1,1,1
39,1,1,1,1,1
40,1,1,1,1,1
95% confidence interval,1.0000~1.0000,0.8816~1.0000,0.8816~1.0000,0.9260~1.0000,1.0000~1.0000
success rate,1.0000,0.9500,0.9500,0.9750,1.0000
