index,true_options,selected_true_option,p_true,nonconformity_score,top_tokens,top_logprobs
1,A,A,0.22432669398902352,0.7756733060109765,"B,E,A,D,C","-3.1089878,-3.2890072,-3.6938744,-5.8673134,-6.687454"
2,"A,B,C,D",A,0.5636396038486969,0.43636039615130306,"A,C,E,B,D","-3.1784914,-4.1642056,-4.726839,-5.1700134,-6.1364613"
3,B,B,0.8670143300470885,0.1329856699529115,"B,A,C,E,D","-1.5595468,-4.20775,-4.8114676,-5.010549,-5.966558"
4,B,B,0.21210659035986212,0.7878934096401379,"E,B,A,D,C","-2.6427112,-3.4642882,-3.7778888,-3.9342113,-5.9333262"
5,"A,B,D",B,0.3145675923888678,0.6854324076111322,"C,B,E,A,D","-2.8842676,-3.0255315,-3.991844,-4.032066,-4.293966"
6,B,B,0.8085799964163137,0.19142000358368627,"B,E,C,A,D","-1.8849274,-3.744745,-4.881664,-5.6686244,-6.670816"
7,C,C,0.23290960390888532,0.7670903960911146,"E,C,B,A,D","-2.1805553,-3.095419,-3.5793247,-5.037966,-6.3823986"
8,"A,C,D",C,0.22684128827435956,0.7731587117256404,"B,C,A,E,D","-3.206033,-3.8178322,-4.216134,-4.2173414,-5.3205957"
9,C,C,0.6581542254410911,0.34184577455890885,"C,E,A,D,B","-2.0603116,-2.8883965,-4.7363825,-6.838992,-7.3050146"
10,C,C,0.11558124594333363,0.8844187540566664,"E,D,A,C,B","-2.9234893,-3.1435115,-3.669875,-4.020575,-4.2037683"
11,"A,B,D",B,0.33565024191550585,0.6643497580844941,"B,A,C,E,D","-3.3340764,-3.5562596,-3.9044213,-4.5142465,-4.518357"
12,A,A,0.7065164409952426,0.2934835590047574,"A,C,B,E,D","-2.2700655,-3.6555712,-4.554238,-5.5150533,-5.984442"
13,A,A,0.06365747661235542,0.9363425233876446,"B,E,D,A,C","-2.7621355,-2.9865866,-3.768693,-4.6631784,-6.164542"
14,"A,B,D",B,0.5039182200392011,0.49608177996079894,"B,C,A,E,D","-3.0623794,-4.0721316,-4.1065116,-4.900909,-5.277948"
15,D,D,0.8743483643530119,0.1256516356469881,"D,E,A,C,B","-1.9932344,-4.365383,-5.401951,-6.668751,-6.818495"
