domain,policy,scene,run_count,success_count,failure_count,success_probability,success_planning_length_mean,success_planning_length_std,failure_planning_length_mean,failure_planning_length_std,overall_planning_length_mean,overall_planning_length_std,question_count_mean,question_count_std,query_probability_per_step,elapsed_seconds_mean,reward_mean
wastesorting,all,scene_01,40,40,0,1.000000,15.000000,0.000000,,,15.000000,0.000000,22.000000,0.000000,1.466667,11.994075,20.000000
wastesorting,all,scene_02,40,40,0,1.000000,11.000000,0.000000,,,11.000000,0.000000,15.000000,0.000000,1.363636,9.059280,20.000000
wastesorting,all,scene_03,40,40,0,1.000000,11.000000,0.000000,,,11.000000,0.000000,14.000000,0.000000,1.272727,9.163168,10.000000
wastesorting,all,scene_04,40,40,0,1.000000,9.000000,0.000000,,,9.000000,0.000000,12.000000,0.000000,1.333333,7.455267,15.000000
wastesorting,all,scene_05,40,40,0,1.000000,10.000000,0.000000,,,10.000000,0.000000,16.000000,0.000000,1.600000,8.661140,10.000000
wastesorting,all,total,200,200,0,1.000000,11.200000,2.044726,,,11.200000,2.044726,15.800000,3.378918,1.410714,9.266586,15.000000
wastesorting,no,scene_01,40,0,40,0.000000,,,9.000000,0.000000,9.000000,0.000000,0.000000,0.000000,0.000000,7.072097,5.000000
wastesorting,no,scene_02,40,40,0,1.000000,14.000000,0.000000,,,14.000000,0.000000,0.000000,0.000000,0.000000,11.428173,25.000000
wastesorting,no,scene_03,40,40,0,1.000000,11.000000,0.000000,,,11.000000,0.000000,0.000000,0.000000,0.000000,9.139945,10.000000
wastesorting,no,scene_04,40,40,0,1.000000,9.000000,0.000000,,,9.000000,0.000000,0.000000,0.000000,0.000000,7.461685,15.000000
wastesorting,no,scene_05,40,40,0,1.000000,11.000000,0.000000,,,11.000000,0.000000,0.000000,0.000000,0.000000,9.490998,25.000000
wastesorting,no,total,200,160,40,0.800000,11.250000,1.790963,9.000000,0.000000,10.800000,1.837630,0.000000,0.000000,0.000000,8.918579,16.000000
wastesorting,ours,scene_01,40,40,0,1.000000,15.000000,0.000000,,,15.000000,0.000000,15.000000,0.000000,1.000000,12.116570,20.000000
wastesorting,ours,scene_02,40,40,0,1.000000,11.000000,0.000000,,,11.000000,0.000000,8.000000,0.000000,0.727273,9.079245,20.000000
wastesorting,ours,scene_03,40,40,0,1.000000,11.000000,0.000000,,,11.000000,0.000000,8.000000,0.000000,0.727273,9.217792,10.000000
wastesorting,ours,scene_04,40,40,0,1.000000,9.000000,0.000000,,,9.000000,0.000000,5.000000,0.000000,0.555556,7.504595,15.000000
wastesorting,ours,scene_05,40,40,0,1.000000,10.000000,0.000000,,,10.000000,0.000000,10.000000,0.000000,1.000000,8.622533,10.000000
wastesorting,ours,total,200,200,0,1.000000,11.200000,2.044726,,,11.200000,2.044726,9.200000,3.318897,0.821429,9.308147,15.000000
wastesorting,random,scene_01,40,29,11,0.725000,12.827586,2.928541,7.181818,3.060006,11.275000,3.882819,4.900000,3.586299,0.434590,9.965188,14.750000
wastesorting,random,scene_02,40,26,14,0.650000,11.576923,1.527693,6.214286,2.293086,9.700000,3.155784,4.650000,3.254583,0.479381,8.614115,10.250000
wastesorting,random,scene_03,40,24,16,0.600000,11.916667,2.668930,6.125000,2.156386,9.600000,3.774408,4.600000,3.901348,0.479167,8.550415,11.750000
wastesorting,random,scene_04,40,26,14,0.650000,11.307692,1.975231,5.642857,2.097880,9.325000,3.384637,4.050000,3.373730,0.434316,8.227538,11.375000
wastesorting,random,scene_05,40,23,17,0.575000,12.173913,2.405527,6.294118,2.114377,9.675000,3.709914,4.025000,3.109023,0.416021,8.794372,12.375000
wastesorting,random,total,200,128,72,0.640000,11.976562,2.389165,6.250000,2.299724,9.915000,3.622622,4.445000,3.438911,0.448311,8.830326,12.100000
wastesorting,knowno,scene_01,20,5,15,0.250000,9.000000,0.000000,5.933333,2.404361,6.700000,2.473012,1.450000,1.145931,0.216418,16.767665,
wastesorting,knowno,scene_02,16,9,7,0.562500,10.222222,0.666667,5.428571,1.988060,8.125000,2.801785,2.687500,1.851801,0.330769,20.146375,
wastesorting,knowno,scene_03,14,5,9,0.357143,9.800000,0.447214,4.666667,2.236068,6.500000,3.107064,2.000000,1.037749,0.307692,16.227714,
wastesorting,knowno,scene_04,20,9,11,0.450000,10.444444,0.726483,5.272727,3.068906,7.600000,3.485308,1.950000,1.503505,0.256579,20.460212,
wastesorting,knowno,scene_05,17,6,11,0.352941,10.000000,0.000000,5.090909,2.913916,6.823529,3.339822,2.176471,1.131111,0.318966,19.027629,
wastesorting,knowno,total,87,34,53,0.390805,10.000000,0.696311,5.339623,2.533949,7.160920,3.049489,2.022989,1.397481,0.282504,18.592612,
