domain,scene,file,timestamp,model,prompt_version,seed,qhat,success,stop_reason,planning_length,planning_iterations,question_count,autonomous_action_count,fallback_in_prediction_count,action_failure_count,average_candidate_count,average_candidate_count_when_asked,average_prediction_set_size,average_prediction_set_size_when_asked,total_elapsed_seconds,token_generation,token_scoring,token_overall
wastesorting,scene_01,scripts/baseline/logs/waste/scene_01/knowno_wastesorting_20260616_155949.txt,2026-06-16 15:59:49,gpt-4o,v2,3126506873,0.92,False,Dead-end: true paper waste waste1 was placed into can bin.,3,3,1,2,0,0,5.0,5.0,1.3333333333333333,2.0,7.899302270001499,2284,658,2942
wastesorting,scene_01,scripts/baseline/logs/waste/scene_01/knowno_wastesorting_20260616_160003.txt,2026-06-16 16:00:03,gpt-4o,v2,298126952,0.92,False,Dead-end: true general waste waste2 was placed into plastic bin.,5,5,0,5,0,0,5.0,0.0,1.0,0.0,7.467093165992992,3843,1133,4976
wastesorting,scene_01,scripts/baseline/logs/waste/scene_01/knowno_wastesorting_20260616_160013.txt,2026-06-16 16:00:13,gpt-4o,v2,1775349999,0.92,False,Dead-end: true plastic waste waste3 was placed into general bin.,7,7,0,7,0,0,5.0,0.0,1.0,0.0,10.760766549006803,5394,1600,6994
wastesorting,scene_01,scripts/baseline/logs/waste/scene_01/knowno_wastesorting_20260616_160028.txt,2026-06-16 16:00:28,gpt-4o,v2,2126613374,0.92,False,Dead-end: true can waste waste4 was placed into plastic bin.,7,7,0,7,0,0,5.0,0.0,1.0,0.0,12.224860973001341,5394,1600,6994
wastesorting,scene_01,scripts/baseline/logs/waste/scene_01/knowno_wastesorting_20260616_160043.txt,2026-06-16 16:00:43,gpt-4o,v2,2520589845,0.92,False,Dead-end: true paper waste waste1 was placed into can bin.,3,3,1,2,0,0,5.0,5.0,1.3333333333333333,2.0,7.56675629298843,2284,658,2942
wastesorting,scene_01,scripts/baseline/logs/waste/scene_01/knowno_wastesorting_20260616_160054.txt,2026-06-16 16:00:54,gpt-4o,v2,134331608,0.92,False,Dead-end: true paper waste waste1 was placed into general bin.,7,7,2,5,0,0,5.0,5.0,1.2857142857142858,2.0,15.59482098899025,5423,1629,7052
wastesorting,scene_01,scripts/baseline/logs/waste/scene_01/knowno_wastesorting_20260616_160113.txt,2026-06-16 16:01:13,gpt-4o,v2,199942737,0.92,True,success,9,9,2,7,0,0,5.0,5.0,1.4444444444444444,3.0,20.81061305300682,7026,2149,9175
wastesorting,scene_01,scripts/baseline/logs/waste/scene_01/knowno_wastesorting_20260616_160138.txt,2026-06-16 16:01:38,gpt-4o,v2,4116438532,0.92,True,success,9,9,2,7,0,0,5.0,5.0,1.4444444444444444,3.0,18.913045483001042,7020,2143,9163
wastesorting,scene_01,scripts/baseline/logs/waste/scene_01/knowno_wastesorting_20260616_160158.txt,2026-06-16 16:01:58,gpt-4o,v2,1266033748,0.92,True,success,9,9,2,7,0,0,5.0,5.0,1.2222222222222223,2.0,19.292204592988128,7031,2154,9185
wastesorting,scene_01,scripts/baseline/logs/waste/scene_01/knowno_wastesorting_20260616_160222.txt,2026-06-16 16:02:22,gpt-4o,v2,1931377990,0.92,False,Dead-end: true plastic waste waste3 was placed into general bin.,9,9,3,6,0,0,5.0,5.0,1.5555555555555556,2.6666666666666665,26.100790766999125,7031,2154,9185
