folder,action_schema,action_count,question_count,expected_questions_per_action
logs/wastesorting/scene_01_step50/thres_0-1,detect_waste,71,0,0.0000
logs/wastesorting/scene_01_step50/thres_0-1,pick,116,9,0.0776
logs/wastesorting/scene_01_step50/thres_0-1,place_can_bin,29,1,0.0345
logs/wastesorting/scene_01_step50/thres_0-1,place_gw_bin,31,3,0.0968
logs/wastesorting/scene_01_step50/thres_0-1,place_paper_bin,30,3,0.1000
logs/wastesorting/scene_01_step50/thres_0-1,place_plastic_bin,26,2,0.0769
logs/wastesorting/scene_01_step50/thres_0-1,ALL,303,18,0.0594
logs/wastesorting/scene_02_step50/thres_0-1,detect_waste,99,6,0.0606
logs/wastesorting/scene_02_step50/thres_0-1,pick,122,13,0.1066
logs/wastesorting/scene_02_step50/thres_0-1,place_can_bin,54,6,0.1111
logs/wastesorting/scene_02_step50/thres_0-1,place_gw_bin,30,0,0.0000
logs/wastesorting/scene_02_step50/thres_0-1,place_paper_bin,36,4,0.1111
logs/wastesorting/scene_02_step50/thres_0-1,place_plastic_bin,2,0,0.0000
logs/wastesorting/scene_02_step50/thres_0-1,ALL,343,29,0.0845
logs/wastesorting/scene_03_step50/thres_0-1,detect_waste,120,0,0.0000
logs/wastesorting/scene_03_step50/thres_0-1,pick,126,9,0.0714
logs/wastesorting/scene_03_step50/thres_0-1,place_can_bin,4,1,0.2500
logs/wastesorting/scene_03_step50/thres_0-1,place_gw_bin,33,2,0.0606
logs/wastesorting/scene_03_step50/thres_0-1,place_paper_bin,31,3,0.0968
logs/wastesorting/scene_03_step50/thres_0-1,place_plastic_bin,58,8,0.1379
logs/wastesorting/scene_03_step50/thres_0-1,ALL,372,23,0.0618
logs/wastesorting/scene_04_step50/thres_0-1,detect_waste,78,4,0.0513
logs/wastesorting/scene_04_step50/thres_0-1,pick,113,10,0.0885
logs/wastesorting/scene_04_step50/thres_0-1,place_can_bin,25,1,0.0400
logs/wastesorting/scene_04_step50/thres_0-1,place_gw_bin,33,2,0.0606
logs/wastesorting/scene_04_step50/thres_0-1,place_paper_bin,49,2,0.0408
logs/wastesorting/scene_04_step50/thres_0-1,place_plastic_bin,6,0,0.0000
logs/wastesorting/scene_04_step50/thres_0-1,ALL,304,19,0.0625
logs/wastesorting/scene_05_step50/thres_0-1,detect_waste,115,5,0.0435
logs/wastesorting/scene_05_step50/thres_0-1,pick,125,7,0.0560
logs/wastesorting/scene_05_step50/thres_0-1,place_can_bin,58,7,0.1207
logs/wastesorting/scene_05_step50/thres_0-1,place_gw_bin,8,0,0.0000
logs/wastesorting/scene_05_step50/thres_0-1,place_paper_bin,56,2,0.0357
logs/wastesorting/scene_05_step50/thres_0-1,place_plastic_bin,3,0,0.0000
logs/wastesorting/scene_05_step50/thres_0-1,ALL,365,21,0.0575
TOTAL,detect_waste,483,15,0.0311
TOTAL,pick,602,48,0.0797
TOTAL,place_can_bin,170,16,0.0941
TOTAL,place_gw_bin,135,7,0.0519
TOTAL,place_paper_bin,202,14,0.0693
TOTAL,place_plastic_bin,95,10,0.1053
TOTAL,ALL,1687,110,0.0652
