run,logs/wastesorting/scene_01_step50/thres_0-4,logs/wastesorting/scene_02_step50/thres_0-4,logs/wastesorting/scene_03_step50/thres_0-4,logs/wastesorting/scene_04_step50/thres_0-4,logs/wastesorting/scene_05_step50/thres_0-4
1,12,13,9,50,14
2,14,9,16,12,13
3,12,5,10,50,50
4,50,50,9,11,50
5,50,11,13,12,5
6,9,9,50,17,50
7,50,50,7,50,50
8,50,50,5,9,5
9,50,50,13,12,11
10,11,9,10,50,11
11,12,50,50,9,50
12,50,50,50,10,9
13,10,50,11,13,9
14,10,50,50,50,50
15,50,9,10,50,10
16,10,12,50,50,10
17,9,50,50,10,11
18,14,50,10,13,9
19,50,50,50,13,14
20,10,11,50,50,12
21,12,11,50,9,7
22,50,11,16,50,9
23,50,9,50,9,10
24,50,50,50,10,9
25,7,50,50,50,12
26,11,11,50,11,50
27,10,12,9,50,12
28,50,50,50,3,3
29,50,9,13,5,50
30,50,20,9,3,50
31,50,10,50,9,3
32,9,50,50,50,50
33,50,10,9,10,9
34,50,50,11,9,9
35,12,6,10,10,9
36,50,12,50,10,11
37,50,3,14,12,50
38,17,50,50,50,50
39,50,50,10,50,50
40,10,10,50,7,9
95% confidence interval,24.3941~36.6559,21.7750~34.3250,23.1561~35.5439,17.9032~29.9968,16.6192~28.6308
average step,30.5250,28.0500,29.3500,23.9500,22.6250
