run,logs/wastesorting/scene_01_step50/thres_0-5,logs/wastesorting/scene_02_step50/thres_0-5,logs/wastesorting/scene_03_step50/thres_0-5,logs/wastesorting/scene_04_step50/thres_0-5,logs/wastesorting/scene_05_step50/thres_0-5
1,15.0,15.0,15.0,20.0,0.0
2,5.0,25.0,15.0,15.0,15.0
3,15.0,15.0,5.0,5.0,15.0
4,25.0,10.0,5.0,10.0,30.0
5,20.0,10.0,0.0,5.0,10.0
6,0.0,20.0,10.0,0.0,5.0
7,5.0,15.0,15.0,20.0,10.0
8,10.0,5.0,20.0,10.0,10.0
9,0.0,15.0,30.0,10.0,5.0
10,5.0,20.0,0.0,20.0,10.0
11,20.0,5.0,5.0,5.0,15.0
12,15.0,15.0,15.0,15.0,5.0
13,15.0,20.0,20.0,10.0,5.0
14,15.0,0.0,10.0,5.0,0.0
15,5.0,10.0,15.0,10.0,20.0
16,20.0,5.0,10.0,10.0,5.0
17,5.0,20.0,10.0,5.0,15.0
18,15.0,5.0,25.0,25.0,10.0
19,30.0,25.0,30.0,5.0,25.0
20,20.0,5.0,15.0,20.0,15.0
21,10.0,15.0,10.0,0.0,0.0
22,25.0,20.0,20.0,25.0,0.0
23,20.0,20.0,30.0,5.0,5.0
24,0.0,5.0,10.0,25.0,0.0
25,0.0,15.0,10.0,0.0,10.0
26,20.0,25.0,15.0,10.0,15.0
27,15.0,15.0,5.0,20.0,15.0
28,10.0,5.0,15.0,15.0,20.0
29,5.0,5.0,20.0,10.0,15.0
30,15.0,10.0,15.0,20.0,20.0
31,20.0,5.0,10.0,0.0,15.0
32,20.0,5.0,15.0,15.0,5.0
33,25.0,25.0,25.0,5.0,25.0
34,10.0,0.0,5.0,20.0,15.0
35,15.0,25.0,20.0,30.0,10.0
36,15.0,0.0,25.0,10.0,10.0
37,5.0,25.0,5.0,30.0,0.0
38,10.0,0.0,0.0,10.0,0.0
39,5.0,5.0,10.0,15.0,25.0
40,15.0,15.0,20.0,5.0,10.0
95% confidence interval,10.5740~15.4260,9.9697~15.0303,11.3572~16.3928,9.7967~14.9533,8.5387~13.4613
average reward,13.0000,12.5000,13.8750,12.3750,11.0000
