run,logs/wastesorting/scene_01_step50/thres_0-6,logs/wastesorting/scene_02_step50/thres_0-6,logs/wastesorting/scene_03_step50/thres_0-6,logs/wastesorting/scene_04_step50/thres_0-6,logs/wastesorting/scene_05_step50/thres_0-6
1,1,3,2,1,0
2,4,8,0,2,0
3,2,4,1,8,0
4,0,3,0,0,6
5,2,5,1,1,2
6,5,6,0,2,4
7,0,3,1,2,1
8,4,0,0,0,0
9,0,0,4,0,0
10,0,1,0,0,4
11,0,0,3,0,0
12,2,5,5,4,0
13,4,4,2,2,0
14,4,1,0,0,2
15,2,0,0,0,3
16,5,3,0,0,2
17,0,4,1,0,1
18,0,0,0,1,0
19,6,4,0,3,0
20,2,2,2,4,2
21,0,0,0,0,5
22,1,3,7,5,0
23,0,0,0,0,0
24,0,3,4,0,0
25,0,2,2,0,4
26,0,1,0,0,1
27,6,9,3,3,6
28,0,2,0,1,4
29,3,0,1,3,0
30,0,0,2,4,0
31,0,2,0,0,0
32,2,4,2,0,0
33,1,2,1,0,0
34,0,5,7,6,0
35,0,1,1,4,4
36,3,1,1,5,2
37,0,0,9,2,4
38,5,4,0,0,5
39,1,0,0,0,0
40,1,0,0,4,2
95% confidence interval,1.0441~2.2559,1.6638~3.0862,0.8662~2.2338,1.0303~2.3197,0.9890~2.2110
average question,1.6500,2.3750,1.5500,1.6750,1.6000
