run,logs/wastesorting/scene_01_step50/thres_0-6,logs/wastesorting/scene_02_step50/thres_0-6,logs/wastesorting/scene_03_step50/thres_0-6,logs/wastesorting/scene_04_step50/thres_0-6,logs/wastesorting/scene_05_step50/thres_0-6
1,1,0,0,1,1
2,1,1,1,1,1
3,0,1,0,1,0
4,1,0,0,1,0
5,1,1,1,0,0
6,1,0,1,0,0
7,0,1,1,0,0
8,0,0,0,0,1
9,0,1,1,1,0
10,1,0,0,1,1
11,0,0,1,1,1
12,0,0,1,1,1
13,1,1,1,1,0
14,1,1,1,1,1
15,1,1,0,1,1
16,1,0,0,0,0
17,1,1,1,0,1
18,0,1,0,0,0
19,1,1,0,0,0
20,1,0,1,1,0
21,0,0,1,0,1
22,1,1,1,1,1
23,0,0,0,0,1
24,0,1,1,1,0
25,1,0,0,0,1
26,1,1,1,1,1
27,1,1,1,1,1
28,0,0,1,0,1
29,1,0,1,1,1
30,0,0,0,0,0
31,1,1,0,0,1
32,1,0,1,1,0
33,0,1,0,0,1
34,1,1,0,1,0
35,1,1,1,0,1
36,1,0,0,0,0
37,1,0,1,0,1
38,1,1,1,0,1
39,1,0,1,1,1
40,0,1,1,1,1
95% confidence interval,0.5003~0.7997,0.3683~0.6817,0.4462~0.7538,0.3683~0.6817,0.4462~0.7538
success rate,0.6500,0.5250,0.6000,0.5250,0.6000
