run,logs/wastesorting/scene_01_step50/thres_1-0,logs/wastesorting/scene_02_step50/thres_1-0,logs/wastesorting/scene_03_step50/thres_1-0,logs/wastesorting/scene_04_step50/thres_1-0,logs/wastesorting/scene_05_step50/thres_1-0
1,10.2041,14.1395,9.4233,9.2092,7.7558
2,11.322,9.6414,2.7137,9.1274,10.8733
3,10.8263,8.9936,9.2799,10.4222,4.5048
4,8.229,10.8307,8.2919,9.0572,8.2465
5,10.6035,12.9395,7.8479,14.5489,2.714
6,8.4238,8.2111,10.0563,10.1465,7.8127
7,12.4206,10.1326,11.9873,10.2986,8.4707
8,9.6677,8.7771,8.3839,14.0709,9.0338
9,8.3536,12.6617,12.3193,8.283,4.4689
10,9.3056,10.0085,8.8194,9.4855,8.1648
11,8.3434,8.8054,9.517,9.8908,8.309
12,9.4802,7.9716,11.5658,8.1639,8.3004
13,10.6446,10.3624,8.8656,9.8354,8.9691
14,8.6169,9.862,11.6187,10.9811,12.8311
15,13.4016,7.9787,2.6616,9.143,8.2406
16,8.1351,8.5508,8.9195,10.1194,7.9359
17,8.3794,11.883,10.2232,8.1542,10.1653
18,9.6692,10.3522,12.3619,9.9435,9.1678
19,8.9656,8.7265,9.4566,8.2221,9.8447
20,9.8629,9.6627,10.2925,9.1239,15.3943
21,14.6153,7.9999,9.2608,12.022,8.2841
22,13.6326,11.4739,9.1654,8.8865,7.9418
23,8.8851,8.3796,10.5826,12.2965,2.7468
24,8.6065,9.8968,2.6453,10.8562,8.8136
25,8.4089,8.7709,15.4073,9.8649,8.3207
26,8.7555,10.4033,8.6428,11.1098,8.9174
27,8.2745,10.1619,11.8105,8.8772,10.0265
28,8.0342,2.8737,4.1082,10.5927,9.9615
29,10.9982,9.371,11.2278,7.8444,9.7995
30,8.3882,8.4095,8.1612,8.3114,9.0896
31,8.6174,11.8521,9.9444,9.674,8.3723
32,12.4401,8.622,9.1825,9.7363,7.8741
33,5.9914,4.4177,15.5724,8.017,10.6157
34,9.0088,12.676,8.8389,15.3248,8.5291
35,15.5372,9.1546,8.0701,8.3953,13.1452
36,10.3575,4.1982,8.7723,8.5601,7.9502
37,9.8565,12.2323,12.6181,8.2759,9.0357
38,10.0398,4.2629,10.2361,8.495,12.0899
39,12.6373,9.3261,8.1726,11.9872,8.3645
40,2.9448,8.0881,18.1923,8.1678,8.36
41,10.7229,,,,
42,10.9624,,,,
95% confidence interval,9.1442~10.5020,8.5858~10.0673,8.6602~10.6007,9.3302~10.4458,7.9953~9.4768
average elapsed time,9.8231,9.3265,9.6304,9.8880,8.7360
