run_index,domain,scene,threshold,seed,log_dir
1,wastesorting,01,0.4,2182211152,experiments_logs/system_log/wastesorting/scene_01_step50/thres_0-4
1,wastesorting,01,0.4,4285427897,experiments_logs/system_log/wastesorting/scene_01_step50/thres_0-4
1,wastesorting,01,0.4,1918926233,experiments_logs/system_log/wastesorting/scene_01_step50/thres_0-4
1,wastesorting,01,0.4,2916040135,experiments_logs/system_log/wastesorting/scene_01_step50/thres_0-4
1,wastesorting,01,0.4,1893955694,experiments_logs/system_log/wastesorting/scene_01_step50/thres_0-4
1,wastesorting,01,0.4,1472797206,experiments_logs/system_log/wastesorting/scene_01_step50/thres_0-4
1,wastesorting,01,0.4,297213545,experiments_logs/system_log/wastesorting/scene_01_step50/thres_0-4
1,wastesorting,01,0.4,1810584808,experiments_logs/system_log/wastesorting/scene_01_step50/thres_0-4
1,wastesorting,01,0.4,2410112991,experiments_logs/system_log/wastesorting/scene_01_step50/thres_0-4
1,wastesorting,01,0.4,2124617263,experiments_logs/system_log/wastesorting/scene_01_step50/thres_0-4
1,wastesorting,01,0.4,2296163091,experiments_logs/system_log/wastesorting/scene_01_step50/thres_0-4
1,wastesorting,01,0.4,2700942704,experiments_logs/system_log/wastesorting/scene_01_step50/thres_0-4
1,wastesorting,01,0.4,3532136673,experiments_logs/system_log/wastesorting/scene_01_step50/thres_0-4
1,wastesorting,01,0.4,1614867966,experiments_logs/system_log/wastesorting/scene_01_step50/thres_0-4
1,wastesorting,01,0.4,2298263179,experiments_logs/system_log/wastesorting/scene_01_step50/thres_0-4
1,wastesorting,01,0.4,2021525910,experiments_logs/system_log/wastesorting/scene_01_step50/thres_0-4
1,wastesorting,01,0.4,2698762505,experiments_logs/system_log/wastesorting/scene_01_step50/thres_0-4
1,wastesorting,01,0.4,1641470388,experiments_logs/system_log/wastesorting/scene_01_step50/thres_0-4
1,wastesorting,01,0.4,4190235389,experiments_logs/system_log/wastesorting/scene_01_step50/thres_0-4
1,wastesorting,01,0.4,157157232,experiments_logs/system_log/wastesorting/scene_01_step50/thres_0-4
1,wastesorting,01,0.4,1527828641,experiments_logs/system_log/wastesorting/scene_01_step50/thres_0-4
1,wastesorting,01,0.4,1991970179,experiments_logs/system_log/wastesorting/scene_01_step50/thres_0-4
1,wastesorting,01,0.4,1454912767,experiments_logs/system_log/wastesorting/scene_01_step50/thres_0-4
1,wastesorting,01,0.4,2310964037,experiments_logs/system_log/wastesorting/scene_01_step50/thres_0-4
1,wastesorting,01,0.4,2589880978,experiments_logs/system_log/wastesorting/scene_01_step50/thres_0-4
1,wastesorting,01,0.4,3395649665,experiments_logs/system_log/wastesorting/scene_01_step50/thres_0-4
1,wastesorting,01,0.4,3128622608,experiments_logs/system_log/wastesorting/scene_01_step50/thres_0-4
1,wastesorting,01,0.4,3786313334,experiments_logs/system_log/wastesorting/scene_01_step50/thres_0-4
1,wastesorting,01,0.4,1967903238,experiments_logs/system_log/wastesorting/scene_01_step50/thres_0-4
1,wastesorting,01,0.4,4205107835,experiments_logs/system_log/wastesorting/scene_01_step50/thres_0-4
1,wastesorting,01,0.4,1248529167,experiments_logs/system_log/wastesorting/scene_01_step50/thres_0-4
1,wastesorting,01,0.4,3059461023,experiments_logs/system_log/wastesorting/scene_01_step50/thres_0-4
1,wastesorting,01,0.4,908476006,experiments_logs/system_log/wastesorting/scene_01_step50/thres_0-4
1,wastesorting,01,0.4,3254990941,experiments_logs/system_log/wastesorting/scene_01_step50/thres_0-4
1,wastesorting,01,0.4,423818547,experiments_logs/system_log/wastesorting/scene_01_step50/thres_0-4
1,wastesorting,01,0.4,539161703,experiments_logs/system_log/wastesorting/scene_01_step50/thres_0-4
1,wastesorting,01,0.4,1408077612,experiments_logs/system_log/wastesorting/scene_01_step50/thres_0-4
1,wastesorting,01,0.4,1558487125,experiments_logs/system_log/wastesorting/scene_01_step50/thres_0-4
1,wastesorting,01,0.4,2024517407,experiments_logs/system_log/wastesorting/scene_01_step50/thres_0-4
1,wastesorting,01,0.4,1146605110,experiments_logs/system_log/wastesorting/scene_01_step50/thres_0-4
