global_index,pair_id,domain,scene,iteration,threshold,gamma,n_simulations,seed
1,1,tomato,1,1,0.0,0.2,100,737509113
2,1,tomato,1,1,0.1,0.2,100,737509113
3,1,tomato,1,1,0.2,0.2,100,737509113
4,1,tomato,1,1,0.3,0.2,100,737509113
5,1,tomato,1,1,0.4,0.2,100,737509113
6,1,tomato,1,1,0.5,0.2,100,737509113
7,1,tomato,1,1,0.6,0.2,100,737509113
8,1,tomato,1,1,0.7,0.2,100,737509113
9,1,tomato,1,1,0.8,0.2,100,737509113
10,1,tomato,1,1,0.9,0.2,100,737509113
11,1,tomato,1,1,1.0,0.2,100,737509113
12,2,tomato,1,2,0.0,0.2,100,3259719400
13,2,tomato,1,2,0.1,0.2,100,3259719400
14,2,tomato,1,2,0.2,0.2,100,3259719400
15,2,tomato,1,2,0.3,0.2,100,3259719400
16,2,tomato,1,2,0.4,0.2,100,3259719400
17,2,tomato,1,2,0.5,0.2,100,3259719400
18,2,tomato,1,2,0.6,0.2,100,3259719400
19,2,tomato,1,2,0.7,0.2,100,3259719400
20,2,tomato,1,2,0.8,0.2,100,3259719400
21,2,tomato,1,2,0.9,0.2,100,3259719400
22,2,tomato,1,2,1.0,0.2,100,3259719400
23,3,tomato,1,3,0.0,0.2,100,1024787559
24,3,tomato,1,3,0.1,0.2,100,1024787559
25,3,tomato,1,3,0.2,0.2,100,1024787559
26,3,tomato,1,3,0.3,0.2,100,1024787559
27,3,tomato,1,3,0.4,0.2,100,1024787559
28,3,tomato,1,3,0.5,0.2,100,1024787559
29,3,tomato,1,3,0.6,0.2,100,1024787559
30,3,tomato,1,3,0.7,0.2,100,1024787559
31,3,tomato,1,3,0.8,0.2,100,1024787559
32,3,tomato,1,3,0.9,0.2,100,1024787559
33,3,tomato,1,3,1.0,0.2,100,1024787559
34,4,tomato,1,4,0.0,0.2,100,2721798110
35,4,tomato,1,4,0.1,0.2,100,2721798110
36,4,tomato,1,4,0.2,0.2,100,2721798110
37,4,tomato,1,4,0.3,0.2,100,2721798110
38,4,tomato,1,4,0.4,0.2,100,2721798110
39,4,tomato,1,4,0.5,0.2,100,2721798110
40,4,tomato,1,4,0.6,0.2,100,2721798110
41,4,tomato,1,4,0.7,0.2,100,2721798110
42,4,tomato,1,4,0.8,0.2,100,2721798110
43,4,tomato,1,4,0.9,0.2,100,2721798110
44,4,tomato,1,4,1.0,0.2,100,2721798110
45,5,tomato,1,5,0.0,0.2,100,3915701433
46,5,tomato,1,5,0.1,0.2,100,3915701433
47,5,tomato,1,5,0.2,0.2,100,3915701433
48,5,tomato,1,5,0.3,0.2,100,3915701433
49,5,tomato,1,5,0.4,0.2,100,3915701433
50,5,tomato,1,5,0.5,0.2,100,3915701433
51,5,tomato,1,5,0.6,0.2,100,3915701433
52,5,tomato,1,5,0.7,0.2,100,3915701433
53,5,tomato,1,5,0.8,0.2,100,3915701433
54,5,tomato,1,5,0.9,0.2,100,3915701433
55,5,tomato,1,5,1.0,0.2,100,3915701433
56,6,tomato,1,6,0.0,0.2,100,3058780217
57,6,tomato,1,6,0.1,0.2,100,3058780217
58,6,tomato,1,6,0.2,0.2,100,3058780217
59,6,tomato,1,6,0.3,0.2,100,3058780217
60,6,tomato,1,6,0.4,0.2,100,3058780217
61,6,tomato,1,6,0.5,0.2,100,3058780217
62,6,tomato,1,6,0.6,0.2,100,3058780217
63,6,tomato,1,6,0.7,0.2,100,3058780217
64,6,tomato,1,6,0.8,0.2,100,3058780217
65,6,tomato,1,6,0.9,0.2,100,3058780217
66,6,tomato,1,6,1.0,0.2,100,3058780217
67,7,tomato,1,7,0.0,0.2,100,450047115
68,7,tomato,1,7,0.1,0.2,100,450047115
69,7,tomato,1,7,0.2,0.2,100,450047115
70,7,tomato,1,7,0.3,0.2,100,450047115
71,7,tomato,1,7,0.4,0.2,100,450047115
72,7,tomato,1,7,0.5,0.2,100,450047115
73,7,tomato,1,7,0.6,0.2,100,450047115
74,7,tomato,1,7,0.7,0.2,100,450047115
75,7,tomato,1,7,0.8,0.2,100,450047115
76,7,tomato,1,7,0.9,0.2,100,450047115
77,7,tomato,1,7,1.0,0.2,100,450047115
78,8,tomato,1,8,0.0,0.2,100,709625992
79,8,tomato,1,8,0.1,0.2,100,709625992
80,8,tomato,1,8,0.2,0.2,100,709625992
81,8,tomato,1,8,0.3,0.2,100,709625992
82,8,tomato,1,8,0.4,0.2,100,709625992
83,8,tomato,1,8,0.5,0.2,100,709625992
84,8,tomato,1,8,0.6,0.2,100,709625992
85,8,tomato,1,8,0.7,0.2,100,709625992
86,8,tomato,1,8,0.8,0.2,100,709625992
87,8,tomato,1,8,0.9,0.2,100,709625992
88,8,tomato,1,8,1.0,0.2,100,709625992
89,9,tomato,1,9,0.0,0.2,100,824602054
90,9,tomato,1,9,0.1,0.2,100,824602054
91,9,tomato,1,9,0.2,0.2,100,824602054
92,9,tomato,1,9,0.3,0.2,100,824602054
93,9,tomato,1,9,0.4,0.2,100,824602054
94,9,tomato,1,9,0.5,0.2,100,824602054
95,9,tomato,1,9,0.6,0.2,100,824602054
96,9,tomato,1,9,0.7,0.2,100,824602054
97,9,tomato,1,9,0.8,0.2,100,824602054
98,9,tomato,1,9,0.9,0.2,100,824602054
99,9,tomato,1,9,1.0,0.2,100,824602054
100,10,tomato,1,10,0.0,0.2,100,1922223314
101,10,tomato,1,10,0.1,0.2,100,1922223314
102,10,tomato,1,10,0.2,0.2,100,1922223314
103,10,tomato,1,10,0.3,0.2,100,1922223314
104,10,tomato,1,10,0.4,0.2,100,1922223314
105,10,tomato,1,10,0.5,0.2,100,1922223314
106,10,tomato,1,10,0.6,0.2,100,1922223314
107,10,tomato,1,10,0.7,0.2,100,1922223314
108,10,tomato,1,10,0.8,0.2,100,1922223314
109,10,tomato,1,10,0.9,0.2,100,1922223314
110,10,tomato,1,10,1.0,0.2,100,1922223314
111,11,tomato,1,11,0.0,0.2,100,452856225
112,11,tomato,1,11,0.1,0.2,100,452856225
113,11,tomato,1,11,0.2,0.2,100,452856225
114,11,tomato,1,11,0.3,0.2,100,452856225
115,11,tomato,1,11,0.4,0.2,100,452856225
116,11,tomato,1,11,0.5,0.2,100,452856225
117,11,tomato,1,11,0.6,0.2,100,452856225
118,11,tomato,1,11,0.7,0.2,100,452856225
119,11,tomato,1,11,0.8,0.2,100,452856225
120,11,tomato,1,11,0.9,0.2,100,452856225
121,11,tomato,1,11,1.0,0.2,100,452856225
122,12,tomato,1,12,0.0,0.2,100,2885781845
123,12,tomato,1,12,0.1,0.2,100,2885781845
124,12,tomato,1,12,0.2,0.2,100,2885781845
125,12,tomato,1,12,0.3,0.2,100,2885781845
126,12,tomato,1,12,0.4,0.2,100,2885781845
127,12,tomato,1,12,0.5,0.2,100,2885781845
128,12,tomato,1,12,0.6,0.2,100,2885781845
129,12,tomato,1,12,0.7,0.2,100,2885781845
