domain,reference,comparison,n_pairs,reference_unmatched,comparison_unmatched,reference_only_success,comparison_only_success,success_delta_pp,exact_mcnemar_p,p_holm,difference_direction,questions_paired_n,questions_delta_mean,questions_delta_ci95_normal_low,questions_delta_ci95_normal_high,steps_paired_n,steps_delta_mean,steps_delta_ci95_normal_low,steps_delta_ci95_normal_high,seconds_paired_n,seconds_delta_mean,seconds_delta_ci95_normal_low,seconds_delta_ci95_normal_high,reward_paired_n,reward_delta_mean,reward_delta_ci95_normal_low,reward_delta_ci95_normal_high
all,0.8,0.0,400,0,0,175,1,43.5,3.695932450674364e-51,2.9567459605394914e-50,reference minus comparison,400,8.5825,8.312833526545035,8.852166473454965,400,1.6825,0.9590506463284074,2.405949353671593,400,0.09843675,-0.02442289925716061,0.2212963992571606,400,6.9875,4.028397743773921,9.946602256226079
all,0.8,0.1,400,0,0,177,1,44.0,9.344235998173887e-52,9.344235998173887e-51,reference minus comparison,400,7.825,7.559630959372905,8.090369040627095,400,1.6225,0.8582583158776905,2.3867416841223097,400,0.06902300000000001,-0.0624111427705495,0.20045714277054955,400,9.0,5.8965621101397465,12.103437889860253
all,0.8,0.2,400,0,0,177,2,43.75,4.205167211356969e-50,2.9436170479498784e-49,reference minus comparison,400,7.8,7.54058192577479,8.05941807422521,400,1.6125,0.8526020775083533,2.372397922491647,400,0.069039,-0.061407468521819955,0.19948546852181998,400,8.975,5.8704774730504266,12.079522526949573
all,0.8,0.3,400,0,0,176,1,43.75,1.8584067124859798e-51,1.6725660412373818e-50,reference minus comparison,400,7.525,7.284466098239225,7.765533901760776,400,1.88,1.1894098859235747,2.570590114076425,400,0.11833825,0.000928301201634632,0.2357481987983654,400,8.1375,5.266153066517272,11.008846933482726
all,0.8,0.4,400,0,0,107,4,25.75,4.789431089465355e-27,2.873658653679213e-26,reference minus comparison,400,5.685,5.404869049064033,5.965130950935966,400,1.415,0.961698573062295,1.868301426937705,400,0.09629125,0.018643464106294125,0.17393903589370585,400,4.3375,2.4780538210108984,6.196946178989102
all,0.8,0.5,400,0,0,98,3,23.75,1.3552788123878027e-25,5.421115249551211e-25,reference minus comparison,400,5.2625,4.961369548250085,5.5636304517499156,400,1.485,1.0748266502433217,1.8951733497566785,400,0.1179625,0.05035622721033389,0.1855687727896661,400,3.5625,1.9476098935120727,5.177390106487927
all,0.8,0.6,400,0,0,99,3,24.0,6.979604631123946e-26,3.489802315561973e-25,reference minus comparison,400,4.61,4.294058232789083,4.925941767210918,400,1.405,1.036086517560053,1.773913482439947,400,0.09807675,0.043047654844389154,0.15310584515561085,400,4.075,2.748935056616772,5.401064943383228
all,0.8,0.7,400,0,0,6,3,0.75,0.5078125,0.5078125,reference minus comparison,400,1.15,0.9562888117705858,1.3437111882294142,400,0.4,0.09126971027827746,0.7087302897217226,400,0.06419775,0.009188739273482405,0.11920676072651759,400,-0.225,-1.2235913592962995,0.7735913592962994
all,0.8,0.9,400,0,0,1,12,-2.75,0.00341796875,0.0068359375,reference minus comparison,400,-0.785,-0.9841341190729467,-0.5858658809270534,400,1.24,0.6379947262237836,1.8420052737762163,400,0.23706975,0.12109351604795336,0.3530459839520466,400,-4.5625,-7.299345941274272,-1.8256540587257288
all,0.8,1.0,400,0,0,0,12,-3.0,0.00048828125,0.00146484375,reference minus comparison,400,-8.4,-8.616311584121139,-8.183688415878862,400,1.2325,0.629208334884258,1.835791665115742,400,0.23583925,0.11980813753985974,0.35187036246014025,400,-4.5875,-7.323503734842195,-1.8514962651578064
