domain,scene,seed,reference,comparison,reference_source,comparison_source,reference_success,comparison_success,questions_delta,steps_delta,seconds_delta,reward_delta
tomato,01,1024787559,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-8/exp_tomato_20260922_183511_416775.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-0/exp_tomato_20260922_183457_169561.txt,1,1,8.0,0.0,0.03170000000000006,0.0
tomato,01,1200686102,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-8/exp_tomato_20260922_184226_056013.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-0/exp_tomato_20260922_184218_196129.txt,1,0,7.0,3.0,0.2791,20.0
tomato,01,122531007,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-8/exp_tomato_20260922_184449_744870.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-0/exp_tomato_20260922_184443_151875.txt,1,0,9.0,9.0,0.659,30.0
tomato,01,1250197252,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-8/exp_tomato_20260922_183822_650420.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-0/exp_tomato_20260922_183812_558907.txt,1,1,9.0,0.0,0.011099999999999888,0.0
tomato,01,141279322,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-8/exp_tomato_20260922_184150_162767.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-0/exp_tomato_20260922_184141_864115.txt,1,1,7.0,0.0,-0.01739999999999997,0.0
tomato,01,1449165853,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-8/exp_tomato_20260922_184101_058629.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-0/exp_tomato_20260922_184049_418353.txt,1,0,13.0,0.0,-0.3155000000000001,10.0
tomato,01,1565265095,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-8/exp_tomato_20260922_184348_058390.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-0/exp_tomato_20260922_184339_454125.txt,1,1,7.0,0.0,0.0121,0.0
tomato,01,1741043996,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-8/exp_tomato_20260922_184403_805096.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-0/exp_tomato_20260922_184351_753939.txt,1,1,10.0,-1.0,-0.23270000000000013,0.0
tomato,01,1782103163,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-8/exp_tomato_20260922_184310_496007.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-0/exp_tomato_20260922_184230_090258.txt,0,1,9.0,32.0,5.1146,-185.0
tomato,01,1808885250,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-8/exp_tomato_20260922_184138_432969.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-0/exp_tomato_20260922_184118_025100.txt,0,0,28.0,42.0,6.4670000000000005,5.0
tomato,01,1852958751,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-8/exp_tomato_20260922_183757_666598.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-0/exp_tomato_20260922_183747_557622.txt,1,0,9.0,0.0,0.02980000000000005,10.0
tomato,01,1878604983,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-8/exp_tomato_20260922_184202_419068.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-0/exp_tomato_20260922_184153_378355.txt,1,1,13.0,0.0,0.07830000000000004,0.0
tomato,01,1922223314,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-8/exp_tomato_20260922_183634_205013.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-0/exp_tomato_20260922_183624_341066.txt,1,1,10.0,-3.0,-0.4472999999999999,0.0
tomato,01,2149801430,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-8/exp_tomato_20260922_184031_762599.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-0/exp_tomato_20260922_183921_444918.txt,0,0,8.0,0.0,0.041700000000000514,0.0
tomato,01,217260312,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-8/exp_tomato_20260922_184045_467309.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-0/exp_tomato_20260922_184035_574081.txt,1,1,12.0,-2.0,-0.15969999999999995,0.0
tomato,01,2365348538,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-8/exp_tomato_20260922_183730_830929.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-0/exp_tomato_20260922_183721_135673.txt,1,1,9.0,0.0,0.022399999999999975,0.0
tomato,01,2559742286,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-8/exp_tomato_20260922_184335_926720.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-0/exp_tomato_20260922_184326_815714.txt,1,0,10.0,4.0,0.2714,30.0
