domain,condition,scene,n_attempted,n_valid,n_errors,successes,success_percent,success_ci_low,success_ci_high,success_percent_errors_as_failure,end_reasons,questions_n,questions_mean,questions_sd,questions_success_only_n,questions_success_only_mean,questions_success_only_sd,steps_n,steps_mean,steps_sd,steps_success_only_n,steps_success_only_mean,steps_success_only_sd,seconds_n,seconds_mean,seconds_sd,seconds_success_only_n,seconds_success_only_mean,seconds_success_only_sd,reward_n,reward_mean,reward_sd,reward_success_only_n,reward_success_only_mean,reward_success_only_sd
all,0.0,all,400,400,0,214,53.5,48.6020056782804,58.331408261379536,53.5,"{'MAX STEP': 9, 'PLAN FAILURE': 177, 'GOAL DONE': 214}",400,0.0,0.0,214,0.0,0.0,400,11.5375,7.192212005623484,214,12.906542056074766,2.947212290785205,400,1.0800885,1.199744278315645,214,1.0694742990654205,0.391457830781328,400,15.7375,28.70895511874344,214,29.018691588785046,4.89031102712237
all,0.1,all,400,400,0,212,53.0,48.10361559058216,57.839310643412055,53.0,"{'MAX STEP': 11, 'PLAN FAILURE': 177, 'GOAL DONE': 212}",400,0.7575,1.1777782703613353,212,0.9433962264150944,1.1910423065155424,400,11.5975,7.74502791431275,212,12.75,3.116802043169139,400,1.10950225,1.296980579453152,212,1.0654547169811321,0.39908307753380523,400,13.725,30.3818534250934,212,27.193396226415093,6.851529996467763
all,0.2,all,400,400,0,213,53.25,48.3527498760236,58.08542021080348,53.25,"{'MAX STEP': 11, 'PLAN FAILURE': 176, 'GOAL DONE': 213}",400,0.7825,1.1953098611491504,213,0.971830985915493,1.1932020221400557,400,11.6075,7.748130585432999,213,12.765258215962442,3.1174061777942303,400,1.10948625,1.2860221502030864,213,1.0669122065727699,0.39809879313504554,400,13.75,30.391142688038432,213,27.206572769953052,6.838056244188767
all,0.3,all,400,400,0,213,53.25,48.3527498760236,58.08542021080348,53.25,"{'MAX STEP': 9, 'PLAN FAILURE': 178, 'GOAL DONE': 213}",400,1.0575,1.4814453925568163,213,1.2769953051643192,1.5336743353655582,400,11.34,7.273352331307644,213,12.666666666666666,3.2990374048716298,400,1.060187,1.1986320221788174,213,1.0513117370892018,0.43913290355453033,400,14.5875,28.28014781877261,213,27.206572769953052,6.838056244188767
all,0.4,all,400,400,0,285,71.25,66.62901779980862,75.46670969098378,71.25,"{'GOAL DONE': 285, 'PLAN FAILURE': 108, 'MAX STEP': 7}",400,2.8975,2.905701551047423,285,3.6280701754385967,2.9744069349664275,400,11.805,6.730171842722997,285,12.982456140350877,3.346699173003699,400,1.082234,1.077252041816582,285,1.0684070175438596,0.48932669127654493,400,18.3875,27.04238469838484,285,27.36842105263158,9.226476710974064
all,0.5,all,400,400,0,293,73.25,68.70591672528668,77.35176158816853,73.25,"{'GOAL DONE': 293, 'PLAN FAILURE': 101, 'MAX STEP': 6}",400,3.32,3.1981510949398815,293,4.21160409556314,3.200428345729295,400,11.735,6.339578111086448,293,12.873720136518772,3.152693806330817,400,1.0605627499999999,1.002016603566025,293,1.0511641638225255,0.4682313581692433,400,19.1625,25.76860777412201,293,27.423208191126278,9.109215976123231
all,0.6,all,400,400,0,292,73.0,68.4457128728908,77.11672158773156,73.0,"{'GOAL DONE': 292, 'PLAN FAILURE': 101, 'MAX STEP': 7}",400,3.9725,3.453485217917682,292,4.958904109589041,3.3997709895155346,400,11.815,6.6196922749125084,292,12.873287671232877,3.129678158214604,400,1.0804485,1.0756450507186788,292,1.051542808219178,0.46815239983044077,400,18.65,27.366490678018533,292,27.431506849315067,9.09545223338839
all,0.7,all,400,400,0,385,96.25,93.90561575554867,97.71449701852892,96.25,"{'GOAL DONE': 385, 'PLAN FAILURE': 8, 'MAX STEP': 7}",400,7.4325,2.2028561432762523,385,7.527272727272727,2.157812619999777,400,12.82,5.8273058727284806,385,12.267532467532467,2.9560337992842407,400,1.1143275,1.064266332178309,385,0.9960446753246753,0.4164754612481201,400,22.95,26.567123104980485,385,26.636363636363637,8.929569749382717
all,0.8,all,400,400,0,388,97.0,94.83014642909042,98.27569790348569,97.0,"{'GOAL DONE': 388, 'MAX STEP': 11, 'PLAN FAILURE': 1}",400,8.5825,2.7517492727627597,388,8.463917525773196,2.2160413790579865,400,13.22,6.732750167058784,388,12.20360824742268,2.641800218399751,400,1.17852525,1.2202801271672565,388,0.9865677835051546,0.3638194078351993,400,22.725,28.1234189196357,388,26.662371134020617,8.899782336065611
all,0.9,all,400,400,0,399,99.75,98.59767149241766,99.95585522131984,99.75,"{'GOAL DONE': 399, 'PLAN FAILURE': 1}",400,9.3675,2.521574825183162,399,9.37092731829574,2.52380762278242,400,11.98,1.8256320359883773,399,11.984962406015038,1.825220971296497,400,0.9414555,0.15006819041417627,399,0.9421152882205514,0.14967458081640808,400,27.2875,6.024581537896796,399,27.305764411027567,6.021046992764797
