domain,condition,order,metric,metric_label,n_attempted,n_valid,n_execution_errors,n_missing_metric,success_only,numerator,value,sd,lower,upper,error_minus,error_plus,error_type,source_csv
tomato,0.0,0,success,Task success (%),200,200,0,0,0,104.0,52.0,0.5008535428214359,45.10378507281424,58.820833621676705,6.89621492718576,6.820833621676705,95% Wilson CI,01_processed/episodes.csv
tomato,0.0,0,questions,Questions per episode,200,200,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.0,0,steps,Physical/planning steps,200,200,0,0,0,2894.0,14.47,8.80549736923463,13.84735730984939,15.092642690150612,0.6226426901506112,0.6226426901506112,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.0,0,seconds,Logged episode time (s),200,200,0,0,0,282.2785,1.4113925,1.6287960196605529,1.2962192289328367,1.5265657710671634,0.11517327106716335,0.11517327106716335,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.0,0,questions_success_only,Questions (successful episodes),200,104,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.0,0,steps_success_only,Steps (successful episodes),200,104,0,0,1,1592.0,15.307692307692308,2.348628697511636,15.077390316177004,15.537994299207613,0.2303019915153044,0.2303019915153044,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.0,0,reward,Cumulative reward,200,200,0,0,0,2605.0,13.025,38.563715794505555,10.298133505395436,15.751866494604565,2.7268664946045647,2.7268664946045647,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.1,1,success,Task success (%),200,200,0,0,0,104.0,52.0,0.5008535428214359,45.10378507281424,58.820833621676705,6.89621492718576,6.820833621676705,95% Wilson CI,01_processed/episodes.csv
tomato,0.1,1,questions,Questions per episode,200,200,0,0,0,191.0,0.955,1.4572552847130529,0.8519564906259467,1.0580435093740532,0.10304350937405327,0.10304350937405327,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.1,1,steps,Physical/planning steps,200,200,0,0,0,2976.0,14.88,9.508821611651523,14.207624775730801,15.5523752242692,0.6723752242691994,0.6723752242691994,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.1,1,seconds,Logged episode time (s),200,200,0,0,0,295.4494999999999,1.4772475,1.7575862307398122,1.3529673857723776,1.6015276142276225,0.12428011422762242,0.12428011422762242,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.1,1,questions_success_only,Questions (successful episodes),200,104,0,0,1,126.0,1.2115384615384615,1.425653159273034,1.0717416677163767,1.3513352553605462,0.13979679382208476,0.13979679382208476,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.1,1,steps_success_only,Steps (successful episodes),200,104,0,0,1,1595.0,15.336538461538462,2.4360184645587966,15.097667198341199,15.575409724735724,0.2388712631972627,0.2388712631972627,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.1,1,reward,Cumulative reward,200,200,0,0,0,2265.0,11.325,41.262968115350624,8.407267543375127,14.242732456624871,2.917732456624872,2.917732456624872,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.2,2,success,Task success (%),200,200,0,0,0,105.0,52.5,0.5006277466376765,45.59739601468475,59.30837735342891,6.9026039853152525,6.808377353428909,95% Wilson CI,01_processed/episodes.csv
tomato,0.2,2,questions,Questions per episode,200,200,0,0,0,201.0,1.005,1.4784804775894287,0.9004556428444589,1.109544357155541,0.104544357155541,0.10454435715554111,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.2,2,steps,Physical/planning steps,200,200,0,0,0,2980.0,14.9,9.506940072796226,14.227757820619166,15.572242179380835,0.6722421793808344,0.6722421793808344,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.2,2,seconds,Logged episode time (s),200,200,0,0,0,295.40110000000004,1.4770055,1.7414440509337106,1.3538668102527802,1.6001441897472197,0.12313868974721975,0.12313868974721975,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.2,2,questions_success_only,Questions (successful episodes),200,105,0,0,1,133.0,1.2666666666666666,1.4160254959315546,1.1284767281890078,1.4048566051443254,0.1381899384776588,0.1381899384776588,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.2,2,steps_success_only,Steps (successful episodes),200,105,0,0,1,1611.0,15.342857142857143,2.42514302285838,15.106187417565332,15.579526868148955,0.23666972529181152,0.23666972529181152,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.2,2,reward,Cumulative reward,200,200,0,0,0,2275.0,11.375,41.279588139720154,8.45609233018161,14.29390766981839,2.91890766981839,2.91890766981839,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.3,3,success,Task success (%),200,200,0,0,0,105.0,52.5,0.5006277466376765,45.59739601468475,59.30837735342891,6.9026039853152525,6.808377353428909,95% Wilson CI,01_processed/episodes.csv
tomato,0.3,3,questions,Questions per episode,200,200,0,0,0,311.0,1.555,1.8230723970331295,1.426089314546386,1.6839106854536139,0.12891068545361395,0.12891068545361395,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.3,3,steps,Physical/planning steps,200,200,0,0,0,2873.0,14.365,8.915109133054477,13.734606587699906,14.995393412300094,0.6303934123000943,0.6303934123000943,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.3,3,seconds,Logged episode time (s),200,200,0,0,0,275.74920000000003,1.378746,1.632403510006459,1.263317640844171,1.494174359155829,0.11542835915582894,0.11542835915582894,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.3,3,questions_success_only,Questions (successful episodes),200,105,0,0,1,198.0,1.8857142857142857,1.8256415401077597,1.7075499144973822,2.0638786569311893,0.17816437121690343,0.17816437121690365,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.3,3,steps_success_only,Steps (successful episodes),200,105,0,0,1,1590.0,15.142857142857142,3.0458943723432905,14.845608288840808,15.440105996873477,0.2972488540163347,0.2972488540163347,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.3,3,reward,Cumulative reward,200,200,0,0,0,2610.0,13.05,38.2394925956118,10.346059547651013,15.753940452348989,2.703940452348988,2.703940452348988,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.4,4,success,Task success (%),200,200,0,0,0,177.0,88.5,0.3198225010233083,83.33528310151243,92.21362676743804,5.164716898487569,3.7136267674380434,95% Wilson CI,01_processed/episodes.csv
tomato,0.4,4,questions,Questions per episode,200,200,0,0,0,1047.0,5.235,2.316594060296496,5.071192063070788,5.398807936929213,0.1638079369292127,0.1638079369292127,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.4,4,steps,Physical/planning steps,200,200,0,0,0,3059.0,15.295,7.624871693458752,14.755840151987796,15.834159848012204,0.5391598480122042,0.5391598480122042,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.4,4,seconds,Logged episode time (s),200,200,0,0,0,284.7283999999999,1.423642,1.442483718879406,1.3216429980629183,1.5256410019370819,0.10199900193708178,0.10199900193708178,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.4,4,questions_success_only,Questions (successful episodes),200,177,0,0,1,960.0,5.423728813559322,2.3002227399347195,5.2508334849599505,5.596624142158693,0.1728953285993713,0.1728953285993713,mean +/- 1 SE,01_processed/episodes.csv
