domain,condition,scene,n_attempted,n_valid,n_errors,successes,success_percent,success_ci_low,success_ci_high,success_percent_errors_as_failure,end_reasons,questions_n,questions_mean,questions_sd,questions_success_only_n,questions_success_only_mean,questions_success_only_sd,steps_n,steps_mean,steps_sd,steps_success_only_n,steps_success_only_mean,steps_success_only_sd,seconds_n,seconds_mean,seconds_sd,seconds_success_only_n,seconds_success_only_mean,seconds_success_only_sd,reward_n,reward_mean,reward_sd,reward_success_only_n,reward_success_only_mean,reward_success_only_sd
all,random,all,400,400,0,294,73.5,68.96629392432348,77.58662824196458,73.5,"{'PLAN FAILURE': 101, 'GOAL DONE': 294, 'MAX STEP': 5}",400,8.25,5.4457911825564915,294,9.646258503401361,5.163276364237537,400,11.905,5.80389420733397,294,12.639455782312925,2.9522839616453385,400,1.05123,0.9377223895159477,294,1.0384367346938776,0.42358718184746674,400,21.1125,22.9268170730862,294,28.775510204081634,8.315285417940071
all,ours_what_only,all,400,400,0,294,73.5,68.96629392432348,77.58662824196458,73.5,"{'PLAN FAILURE': 100, 'GOAL DONE': 294, 'MAX STEP': 6}",400,6.09,3.3794157968234018,294,7.037414965986395,3.0393261082686145,400,11.9675,6.13641448296698,294,12.612244897959183,2.997038309605016,400,1.07402025,0.9960937889103123,294,1.0460255102040816,0.4365720938187353,400,19.9625,24.659304470979738,294,27.959183673469386,8.941506963124821
all,ours_when_only,all,400,400,0,395,98.75,97.10762638040326,99.46492492200284,98.75,"{'PLAN FAILURE': 1, 'GOAL DONE': 395, 'MAX STEP': 4}",400,13.92,3.340133414711181,395,13.962025316455696,3.3259594164641557,400,12.7425,4.563250144326876,395,12.382278481012658,2.597966771067577,400,1.081735,0.8637256014275618,395,1.0048306329113925,0.36037770505803757,400,26.4625,20.916916293231303,395,28.455696202531644,7.830367587618032
all,ours,all,400,400,0,395,98.75,97.10762638040326,99.46492492200284,98.75,"{'GOAL DONE': 395, 'MAX STEP': 5}",400,8.46,2.1306687620166547,395,8.465822784810127,2.137582846433761,400,12.79,5.042764488275307,395,12.318987341772152,2.821152694417669,400,1.11492175,0.9290705892457478,395,1.020825569620253,0.3976800037212879,400,23.85,23.351460913978006,395,26.240506329113924,9.683068049413839
tomato,random,all,200,200,0,147,73.5,66.98242380737757,79.13184585289088,73.5,"{'PLAN FAILURE': 48, 'GOAL DONE': 147, 'MAX STEP': 5}",200,8.115,4.273533719565262,147,9.040816326530612,3.9359208962642307,200,14.165,7.128946936407267,147,14.5578231292517,2.9658541972233565,200,1.2869275,1.2806548008689513,147,1.2335925170068027,0.5255346682630566,200,19.25,30.55084730996481,147,28.775510204081634,11.035308164206596
tomato,ours_what_only,all,200,200,0,147,73.5,66.98242380737757,79.13184585289088,73.5,"{'PLAN FAILURE': 47, 'GOAL DONE': 147, 'MAX STEP': 6}",200,6.57,3.0891445531654482,147,7.428571428571429,2.722307643178777,200,14.375,7.588299310923417,147,14.625850340136054,2.9521547374565023,200,1.3358885,1.3564714111488196,147,1.2548285714285714,0.5358474789386729,200,18.2,33.10573892467503,147,28.775510204081634,11.035308164206596
tomato,ours_when_only,all,200,200,0,195,97.5,94.2821659593358,98.92752803482387,97.5,"{'PLAN FAILURE': 1, 'GOAL DONE': 195, 'MAX STEP': 4}",200,12.625,2.5548013719761573,195,12.676923076923076,2.528850186794033,200,14.865,5.628068119147888,195,14.189743589743589,2.484985310976818,200,1.316977,1.1746218809416649,195,1.1672282051282052,0.45437770141213607,200,25.0,29.068451530342294,195,29.0,9.760006760180184
tomato,ours,all,200,200,0,195,97.5,94.2821659593358,98.92752803482387,97.5,"{'GOAL DONE': 195, 'MAX STEP': 5}",200,9.17,1.878495067492317,195,9.2,1.8793506226584218,200,15.245,6.1778478469528935,195,14.353846153846154,2.6869142760283253,200,1.38706,1.254497795972756,195,1.2034328205128204,0.4967206164162421,200,23.875,32.08984521354296,195,28.71794871794872,10.631960953121338
wastesorting,random,all,200,200,0,147,73.5,66.98242380737757,79.13184585289088,73.5,"{'GOAL DONE': 147, 'PLAN FAILURE': 53}",200,8.385,6.415807660746891,147,10.251700680272108,6.105065870214429,200,9.645,2.5399273918320766,147,10.72108843537415,1.1334413165898862,200,0.8155325,0.10641241848482227,147,0.8432809523809524,0.08485975402911135,200,22.975,10.657970570583176,147,28.775510204081634,4.12110491628878
wastesorting,ours_what_only,all,200,200,0,147,73.5,66.98242380737757,79.13184585289088,73.5,"{'GOAL DONE': 147, 'PLAN FAILURE': 53}",200,5.61,3.5905935176576627,147,6.64625850340136,3.289257569327131,200,9.56,2.5035452249694505,147,10.598639455782314,1.0705258210342576,200,0.812152,0.10741401561131929,147,0.8372224489795919,0.0869978883351966,200,21.725,10.815927906675972,147,27.142857142857142,6.109727254410599
wastesorting,ours_when_only,all,200,200,0,200,100.0,98.11546736227335,100,100.0,{'GOAL DONE': 200},200,15.215,3.5314488037158815,200,15.215,3.5314488037158815,200,10.62,1.0102987269060275,200,10.62,1.0102987269060275,200,0.846493,0.0694431697152463,200,0.846493,0.0694431697152463,200,27.925,5.28764322305045,200,27.925,5.28764322305045
wastesorting,ours,all,200,200,0,200,100.0,98.11546736227335,100,100.0,{'GOAL DONE': 200},200,7.75,2.1354862461598034,200,7.75,2.1354862461598034,200,10.335,0.8404204499316498,200,10.335,0.8404204499316498,200,0.8427835,0.08974619756646067,200,0.8427835,0.08974619756646067,200,23.825,7.972589662691053,200,23.825,7.972589662691053
