domain,condition,order,metric,metric_label,n_attempted,n_valid,n_execution_errors,n_missing_metric,success_only,numerator,value,sd,lower,upper,error_minus,error_plus,error_type,source_csv
tomato,random,0,success,Task success (%),200,200,0,0,0,147.0,73.5,0.44244069528493996,66.98242380737757,79.13184585289088,6.517576192622428,5.631845852890876,95% Wilson CI,01_processed/episodes.csv
tomato,random,0,questions,Questions per episode,200,200,0,0,0,1623.0,8.115,4.273533719565262,7.812815532726604,8.417184467273398,0.30218446727339643,0.3021844672733973,mean +/- 1 SE,01_processed/episodes.csv
tomato,random,0,steps,Physical/planning steps,200,200,0,0,0,2833.0,14.165,7.128946936407267,13.660907327854735,14.669092672145263,0.5040926721452639,0.5040926721452639,mean +/- 1 SE,01_processed/episodes.csv
tomato,random,0,seconds,Logged episode time (s),200,200,0,0,0,257.3855,1.2869275,1.2806548008689513,1.1963715305946456,1.3774834694053544,0.09055596940535438,0.09055596940535438,mean +/- 1 SE,01_processed/episodes.csv
tomato,random,0,questions_success_only,Questions (successful episodes),200,147,0,0,1,1329.0,9.040816326530612,3.9359208962642307,8.716187042392436,9.365445610668788,0.32462928413817593,0.32462928413817593,mean +/- 1 SE,01_processed/episodes.csv
tomato,random,0,steps_success_only,Steps (successful episodes),200,147,0,0,1,2140.0,14.5578231292517,2.9658541972233565,14.313203597945401,14.802442660557999,0.24461953130629865,0.24461953130629865,mean +/- 1 SE,01_processed/episodes.csv
tomato,random,0,reward,Cumulative reward,200,200,0,0,0,3850.0,19.25,30.55084730996481,17.08972886961291,21.41027113038709,2.160271130387091,2.160271130387091,mean +/- 1 SE,01_processed/episodes.csv
tomato,ours_what_only,1,success,Task success (%),200,200,0,0,0,147.0,73.5,0.44244069528493996,66.98242380737757,79.13184585289088,6.517576192622428,5.631845852890876,95% Wilson CI,01_processed/episodes.csv
tomato,ours_what_only,1,questions,Questions per episode,200,200,0,0,0,1314.0,6.57,3.0891445531654482,6.351564493839123,6.788435506160877,0.21843550616087715,0.21843550616087715,mean +/- 1 SE,01_processed/episodes.csv
tomato,ours_what_only,1,steps,Physical/planning steps,200,200,0,0,0,2875.0,14.375,7.588299310923417,13.838426209957285,14.911573790042715,0.5365737900427145,0.5365737900427145,mean +/- 1 SE,01_processed/episodes.csv
tomato,ours_what_only,1,seconds,Logged episode time (s),200,200,0,0,0,267.1777000000001,1.3358885,1.3564714111488196,1.2399714866690985,1.4318055133309016,0.09591701333090152,0.09591701333090152,mean +/- 1 SE,01_processed/episodes.csv
tomato,ours_what_only,1,questions_success_only,Questions (successful episodes),200,147,0,0,1,1092.0,7.428571428571429,2.722307643178777,7.204039278484823,7.653103578658035,0.2245321500866062,0.2245321500866062,mean +/- 1 SE,01_processed/episodes.csv
tomato,ours_what_only,1,steps_success_only,Steps (successful episodes),200,147,0,0,1,2150.0,14.625850340136054,2.9521547374565023,14.38236072122749,14.869339959044618,0.2434896189085638,0.2434896189085638,mean +/- 1 SE,01_processed/episodes.csv
tomato,ours_what_only,1,reward,Cumulative reward,200,200,0,0,0,3640.0,18.2,33.10573892467503,15.859070751017084,20.540929248982916,2.340929248982915,2.340929248982917,mean +/- 1 SE,01_processed/episodes.csv
tomato,ours_when_only,2,success,Task success (%),200,200,0,0,0,195.0,97.5,0.1565167321316987,94.2821659593358,98.92752803482387,3.2178340406642008,1.4275280348238653,95% Wilson CI,01_processed/episodes.csv
tomato,ours_when_only,2,questions,Questions per episode,200,200,0,0,0,2525.0,12.625,2.5548013719761573,12.444348262529097,12.805651737470903,0.18065173747090313,0.18065173747090313,mean +/- 1 SE,01_processed/episodes.csv
tomato,ours_when_only,2,steps,Physical/planning steps,200,200,0,0,0,2973.0,14.865,5.628068119147888,14.467035486797071,15.26296451320293,0.397964513202929,0.397964513202929,mean +/- 1 SE,01_processed/episodes.csv
tomato,ours_when_only,2,seconds,Logged episode time (s),200,200,0,0,0,263.3954000000001,1.316977,1.1746218809416649,1.2339186902656052,1.400035309734395,0.08305830973439488,0.08305830973439488,mean +/- 1 SE,01_processed/episodes.csv
tomato,ours_when_only,2,questions_success_only,Questions (successful episodes),200,195,0,0,1,2472.0,12.676923076923076,2.528850186794033,12.495828353625015,12.858017800221138,0.1810947232980613,0.1810947232980613,mean +/- 1 SE,01_processed/episodes.csv
tomato,ours_when_only,2,steps_success_only,Steps (successful episodes),200,195,0,0,1,2767.0,14.189743589743589,2.484985310976818,14.011790095447589,14.36769708403959,0.17795349429600016,0.17795349429600016,mean +/- 1 SE,01_processed/episodes.csv
tomato,ours_when_only,2,reward,Cumulative reward,200,200,0,0,0,5000.0,25.0,29.068451530342294,22.94455008043025,27.05544991956975,2.0554499195697495,2.0554499195697495,mean +/- 1 SE,01_processed/episodes.csv
