index,domain,condition,scene,iteration,seed,raw_source,raw_sha256,status,success,questions,steps,seconds,reward,end_reason,gamma,n_simulations,query_cost,failure_penalty,answer_accuracy,threshold,timestamp
1,tomato,ours,01,1,2030859206,experiments_logs/analysis_recent/when_what_policy_ablation_20260921/00_raw/tomato/scene_01/ours/run_01_seed_2030859206/exp_tomato_20260921_013629_645526.txt,fd0e755d2ab6d7db93ec219ca5ba773a8ec779a82a68310bd4bd0f9cae5def8d,ok,1,6,15,1.3861,30.0,GOAL DONE,0.2,100,1.0,10.0,1.0,0.8,2026-09-21 01:36:29
2,tomato,ours,01,2,2222960263,experiments_logs/analysis_recent/when_what_policy_ablation_20260921/00_raw/tomato/scene_01/ours/run_02_seed_2222960263/exp_tomato_20260921_013631_172555.txt,61d50db2495c29636395f03448178d1cd315eb5d042a252a9823a8bbdb799f0d,ok,1,8,14,1.041,30.0,GOAL DONE,0.2,100,1.0,10.0,1.0,0.8,2026-09-21 01:36:31
3,tomato,ours,01,3,1273020582,experiments_logs/analysis_recent/when_what_policy_ablation_20260921/00_raw/tomato/scene_01/ours/run_03_seed_1273020582/exp_tomato_20260921_013632_758665.txt,b12cee5444356d15570eb10b48bc9b7541734c8ef686154fa88495835000ba30,ok,1,9,14,1.1003,30.0,GOAL DONE,0.2,100,1.0,10.0,1.0,0.8,2026-09-21 01:36:32
4,tomato,ours,01,4,866496583,experiments_logs/analysis_recent/when_what_policy_ablation_20260921/00_raw/tomato/scene_01/ours/run_04_seed_866496583/exp_tomato_20260921_013634_643551.txt,027aa27ec57392aaffa275db76e41b0e70fa9767e02a1bc4eb6f7c860f31e4bc,ok,1,7,15,1.4028,30.0,GOAL DONE,0.2,100,1.0,10.0,1.0,0.8,2026-09-21 01:36:34
5,tomato,ours,01,5,2698243041,experiments_logs/analysis_recent/when_what_policy_ablation_20260921/00_raw/tomato/scene_01/ours/run_05_seed_2698243041/exp_tomato_20260921_013636_396936.txt,2feec81e2486bd9d887086db2b8dc6845ecd8d53f30fa2079bd05ea4a5240c85,ok,1,11,15,1.2614,30.0,GOAL DONE,0.2,100,1.0,10.0,1.0,0.8,2026-09-21 01:36:36
6,tomato,ours,01,6,1911303750,experiments_logs/analysis_recent/when_what_policy_ablation_20260921/00_raw/tomato/scene_01/ours/run_06_seed_1911303750/exp_tomato_20260921_013638_056538.txt,4afc65ead07df1d9cf3f0c3f345f98e565088ff052717d51c7d209707ec04089,ok,1,10,15,1.1835,30.0,GOAL DONE,0.2,100,1.0,10.0,1.0,0.8,2026-09-21 01:36:38
7,tomato,ours,01,7,796400590,experiments_logs/analysis_recent/when_what_policy_ablation_20260921/00_raw/tomato/scene_01/ours/run_07_seed_796400590/exp_tomato_20260921_013639_945912.txt,81a12a4d9153bd3565e94ab647936d4fb9aaa161617fc86f5500d054ae39584e,ok,1,6,15,1.408,30.0,GOAL DONE,0.2,100,1.0,10.0,1.0,0.8,2026-09-21 01:36:39
8,tomato,ours,01,8,1201029111,experiments_logs/analysis_recent/when_what_policy_ablation_20260921/00_raw/tomato/scene_01/ours/run_08_seed_1201029111/exp_tomato_20260921_013641_435969.txt,0c24596c8b9c1fe1c4a4c95bbc692fab3fbbb45a365d7b962d9971a9378a6163,ok,1,9,13,1.0107,30.0,GOAL DONE,0.2,100,1.0,10.0,1.0,0.8,2026-09-21 01:36:41
9,tomato,ours,01,9,3389846695,experiments_logs/analysis_recent/when_what_policy_ablation_20260921/00_raw/tomato/scene_01/ours/run_09_seed_3389846695/exp_tomato_20260921_013643_028131.txt,95f3c037b10b0c84a9bd57f674445ff6b2c8f3e646ac4c9d43b11a4adcd81af0,ok,1,9,14,1.1105,30.0,GOAL DONE,0.2,100,1.0,10.0,1.0,0.8,2026-09-21 01:36:43
10,tomato,ours,01,10,2508123787,experiments_logs/analysis_recent/when_what_policy_ablation_20260921/00_raw/tomato/scene_01/ours/run_10_seed_2508123787/exp_tomato_20260921_013644_670038.txt,66f54e8455dd5bfabeefd6274babe07ae4e82f585401bdcf263ef496aa63e74b,ok,1,7,14,1.1643,30.0,GOAL DONE,0.2,100,1.0,10.0,1.0,0.8,2026-09-21 01:36:44
