domain,condition,scene,n_attempted,n_valid,n_errors,successes,success_percent,success_ci_low,success_ci_high,success_percent_errors_as_failure,end_reasons,questions_n,questions_mean,questions_sd,questions_success_only_n,questions_success_only_mean,questions_success_only_sd,steps_n,steps_mean,steps_sd,steps_success_only_n,steps_success_only_mean,steps_success_only_sd,seconds_n,seconds_mean,seconds_sd,seconds_success_only_n,seconds_success_only_mean,seconds_success_only_sd,reward_n,reward_mean,reward_sd,reward_success_only_n,reward_success_only_mean,reward_success_only_sd
tomato,ours,01,40,40,0,39,97.5,87.11863103652591,99.55731684973186,97.5,"{'GOAL DONE': 39, 'MAX STEP': 1}",40,8.7,1.8838041163342722,39,8.717948717948717,1.9049619135399496,40,15.125,5.743167624140389,39,14.23076923076923,1.0120728718702565,40,1.3635875,1.262182914572901,39,1.1657666666666666,0.168859534171754,40,25.125,30.8322071866417,39,30.0,0.0
tomato,ours,02,40,40,0,40,100.0,91.23783988027135,100,100.0,{'GOAL DONE': 40},40,9.125,1.727418408774886,40,9.125,1.727418408774886,40,13.8,1.3435505964154104,40,13.8,1.3435505964154104,40,1.10996,0.22279907333048554,40,1.10996,0.22279907333048554,40,29.5,3.1622776601683795,40,29.5,3.1622776601683795
tomato,ours,03,40,40,0,39,97.5,87.11863103652591,99.55731684973186,97.5,"{'GOAL DONE': 39, 'MAX STEP': 1}",40,9.05,2.123736426738594,39,9.076923076923077,2.1445722844895694,40,14.775,5.802243155972149,39,13.871794871794872,1.030571818266242,40,1.299675,1.2109793683795878,39,1.1098076923076923,0.15852965252199647,40,24.75,30.80022477440459,39,29.615384615384617,1.3497638119975426
tomato,ours,04,40,40,0,39,97.5,87.11863103652591,99.55731684973186,97.5,"{'GOAL DONE': 39, 'MAX STEP': 1}",40,9.85,2.142967030149482,39,9.897435897435898,2.1496005968658185,40,14.9,5.768170842805792,39,14.0,0.9459053029269173,40,1.3418225,1.2471605618029566,39,1.1460846153846154,0.1532276282948819,40,25.125,30.8322071866417,39,30.0,0.0
tomato,ours,05,40,40,0,39,97.5,87.11863103652591,99.55731684973186,97.5,"{'GOAL DONE': 39, 'MAX STEP': 1}",40,9.0,1.3397282541141673,39,9.0,1.3572417850765923,40,14.85,5.8509258526606995,39,13.948717948717949,1.336702894767529,40,1.3065925,1.2300539734640166,39,1.1154076923076923,0.22871117431175228,40,24.5,30.187448571915635,39,29.23076923076923,4.061770021616441
tomato,cp_when,01,40,40,0,26,65.0,49.50588083725769,77.86547112682372,65.0,"{'GOAL DONE': 26, 'PLAN FAILURE': 14}",40,3.925,2.379264053420182,26,5.076923076923077,1.9783442960835087,40,12.75,4.407162003271144,26,15.423076923076923,2.3524128366097123,40,34.68427,14.267867587429114,26,42.74987307692308,9.587584605793378,40,22.0,11.591331863033444,26,30.0,0.0
tomato,cp_when,02,40,39,1,20,50.0,35.199526933465386,64.80047306653461,50.0,"{'PLAN FAILURE': 17, 'GOAL DONE': 20, 'MAX STEP': 2}",39,3.1538461538461537,2.356831744195021,20,3.8,2.2147828692435603,39,14.153846153846153,10.337816275409887,20,15.6,4.913997193838498,39,34.4133358974359,24.52352760319092,20,38.643495,12.792176521504935,39,8.974358974358974,42.30496249321061,20,25.25,21.242645786248
tomato,cp_when,03,40,39,1,26,65.0,49.50588083725769,77.86547112682372,65.0,"{'GOAL DONE': 26, 'PLAN FAILURE': 13}",39,3.0256410256410255,1.8422980427370064,26,3.730769230769231,1.662713259890407,39,11.692307692307692,3.8399139666475683,26,14.076923076923077,1.4400854675491153,39,29.48195128205128,11.275141756627178,26,35.73731923076923,7.2438294746919185,39,21.794871794871796,12.327076503157992,26,30.0,0.0
tomato,cp_when,04,40,40,0,27,67.5,52.01774618987768,79.9154977682173,67.5,"{'GOAL DONE': 27, 'PLAN FAILURE': 13}",40,3.525,2.3423361119912873,27,4.111111111111111,2.391223268109592,40,13.525,4.494940175295683,27,15.407407407407407,3.23751161874077,40,35.37701,12.948741182175755,27,40.5135962962963,9.958351881228658,40,22.75,11.54422932764378,27,28.51851851851852,7.69800358919501
tomato,cp_when,05,40,40,0,27,67.5,52.01774618987768,79.9154977682173,67.5,"{'PLAN FAILURE': 12, 'GOAL DONE': 27, 'MAX STEP': 1}",40,3.275,1.8672274798584294,27,3.4814814814814814,1.6259995829872294,40,14.15,6.59273103987282,27,14.407407407407407,1.3660515605557744,40,34.26604,16.247958821937743,27,34.861777777777775,5.136181124616985,40,20.75,24.639711536773003,27,29.62962962962963,1.9245008972987525
