domain,condition,scene,n_attempted,n_valid,n_errors,successes,success_percent,success_ci_low,success_ci_high,success_percent_errors_as_failure,end_reasons,questions_n,questions_mean,questions_sd,questions_success_only_n,questions_success_only_mean,questions_success_only_sd,steps_n,steps_mean,steps_sd,steps_success_only_n,steps_success_only_mean,steps_success_only_sd,seconds_n,seconds_mean,seconds_sd,seconds_success_only_n,seconds_success_only_mean,seconds_success_only_sd,reward_n,reward_mean,reward_sd,reward_success_only_n,reward_success_only_mean,reward_success_only_sd
all,ours,all,400,400,0,396,99.0,97.45734353473804,99.6104516205009,99.0,"{'GOAL DONE': 396, 'MAX STEP': 4}",400,8.4875,2.131008386153052,396,8.48989898989899,2.1411930874800604,400,12.5175,4.302437818021879,396,12.13888888888889,2.0802635611445,400,1.1333155,0.7965840031943353,396,1.0550623737373737,0.16380071752496347,400,24.9875,20.035991268596824,396,26.893939393939394,6.409949831859101
all,cp_when,all,400,396,4,274,68.5,63.790136676119204,72.85790843351184,68.5,"{'GOAL DONE': 274, 'PLAN FAILURE': 119, 'MAX STEP': 3}",396,4.803030303030303,2.99900251925066,274,5.689781021897811,2.7884057354121796,396,11.401515151515152,5.144287501786391,274,12.514598540145986,3.0481133333891433,396,30.989535353535352,13.345766665732048,274,34.565055474452556,8.266528651672719,396,20.315656565656564,18.520296285549513,274,27.2992700729927,8.232309227438598
all,value_when,all,400,400,0,241,60.25,55.37852193447489,64.92647603167204,60.25,"{'PLAN FAILURE': 155, 'GOAL DONE': 241, 'MAX STEP': 4}",400,1.015,1.0234224365868052,241,1.2780082987551866,1.061393431578277,400,11.22,5.845255986170294,241,12.975103734439834,2.9789893577119395,400,2.0879755,1.2799146593377697,241,2.388109958506224,0.9060122528515172,400,17.85,21.74994598558672,241,27.717842323651453,5.643880638210549
all,value_what,all,400,400,0,393,98.25,96.4322927074442,99.14977088929619,98.25,"{'GOAL DONE': 393, 'MAX STEP': 5, 'PLAN FAILURE': 2}",400,12.8,2.808865306627739,393,12.844783715012722,2.797380246117209,400,12.7025,4.59311828597658,393,12.236641221374045,1.8687769972196469,400,2.2676945,0.8817679357978794,393,2.1812030534351146,0.36669475988815037,400,26.575,21.69264396068429,393,29.020356234096692,3.7789147663779143
tomato,ours,all,200,200,0,196,98.0,94.97129130941735,99.21955735836505,98.0,"{'GOAL DONE': 196, 'MAX STEP': 4}",200,9.145,1.8872689049518063,196,9.16326530612245,1.9011137224432306,200,14.69,5.182488876473723,196,13.96938775510204,1.1453726893866831,200,1.2843275,1.1040300843862452,196,1.1293061224489795,0.18884991588971958,200,25.8,27.250190170375106,196,29.668367346938776,2.3787993928752575
tomato,cp_when,all,200,198,2,126,63.0,56.12262992405018,69.38739159014088,63.0,"{'GOAL DONE': 126, 'PLAN FAILURE': 69, 'MAX STEP': 3}",198,3.3838383838383836,2.173710345032879,126,4.0476190476190474,2.0351202140694995,198,13.257575757575758,6.386002950760754,126,14.952380952380953,2.8533689361374717,198,33.66166161616162,16.45421466249401,126,38.48152380952381,9.43125688015275,198,19.292929292929294,23.966030327315316,126,28.849206349206348,9.190488527008744
tomato,value_when,all,200,200,0,127,63.5,56.6317026527406,69.8594735350732,63.5,"{'PLAN FAILURE': 69, 'GOAL DONE': 127, 'MAX STEP': 4}",200,1.225,1.08640525675714,127,1.5275590551181102,1.082521832717572,200,13.98,6.684535516801215,127,15.244094488188976,2.2911719307808287,200,2.745672,1.526128448270032,127,3.07971968503937,0.7256707010452161,200,18.875,28.410299197694357,127,29.68503937007874,2.7275804365994847
tomato,value_what,all,200,200,0,193,96.5,92.95293884777092,98.29444579914328,96.5,"{'GOAL DONE': 193, 'MAX STEP': 5, 'PLAN FAILURE': 2}",200,12.765,2.5142358500243644,193,12.854922279792746,2.476911954928914,200,14.72,5.745139960508285,193,13.844559585492227,0.9335661565023091,200,2.2511315,1.1775092525141926,193,2.0744108808290154,0.27181511512069056,200,24.925,30.22311297316914,193,29.844559585492227,1.522978146669597
wastesorting,ours,all,200,200,0,200,100.0,98.11546736227335,100,100.0,{'GOAL DONE': 200},200,7.83,2.16205281198426,200,7.83,2.16205281198426,200,10.345,0.8773962164284816,200,10.345,0.8773962164284816,200,0.9823035,0.0869479977302323,200,0.9823035,0.0869479977302323,200,24.175,7.810209463215214,200,24.175,7.810209463215214
wastesorting,cp_when,all,200,198,2,148,74.0,67.5092543974659,79.5861699364253,74.0,"{'GOAL DONE': 148, 'PLAN FAILURE': 50}",198,6.222222222222222,3.04302666441092,148,7.087837837837838,2.5765268349752684,198,9.545454545454545,2.314258286515384,148,10.43918918918919,0.9492306326156656,198,28.31740909090909,8.48698398991026,148,31.230764864864867,5.189567148870383,198,21.338383838383837,10.548492875443904,148,25.97972972972973,7.086894673757559
wastesorting,value_when,all,200,200,0,114,57.0,50.07048776415268,63.66567766656557,57.0,"{'GOAL DONE': 114, 'PLAN FAILURE': 86}",200,0.805,0.9116636733282355,114,1.0,0.9685314126785629,200,8.46,2.9173540707067676,114,10.447368421052632,0.8733224653880531,200,1.430279,0.2933433854168851,114,1.6176324561403508,0.14057463390789524,200,16.825,11.800024486815577,114,25.526315789473685,7.082585556481561
wastesorting,value_what,all,200,200,0,200,100.0,98.11546736227335,100,100.0,{'GOAL DONE': 200},200,12.835,3.0814365572377773,200,12.835,3.0814365572377773,200,10.685,1.0541971629118803,200,10.685,1.0541971629118803,200,2.2842575,0.41455642728192477,200,2.2842575,0.41455642728192477,200,28.225,4.959572744606659,200,28.225,4.959572744606659
