domain,condition,order,metric,metric_label,n_attempted,n_valid,n_execution_errors,n_missing_metric,success_only,numerator,value,sd,lower,upper,error_minus,error_plus,error_type,source_csv
tomato,ours,0,success,Task success (%),200,200,0,0,0,196.0,98.0,0.14035131799278394,94.97129130941735,99.21955735836505,3.028708690582647,1.2195573583650514,95% Wilson CI,01_processed/episodes.csv
tomato,ours,0,questions,Questions per episode,200,200,0,0,0,1829.0,9.145,1.8872689049518063,9.011549935938607,9.278450064061392,0.13345006406139248,0.13345006406139248,mean +/- 1 SE,01_processed/episodes.csv
tomato,ours,0,steps,Physical/planning steps,200,200,0,0,0,2938.0,14.69,5.182488876473723,14.323542697202157,15.056457302797842,0.3664573027978424,0.3664573027978424,mean +/- 1 SE,01_processed/episodes.csv
tomato,ours,0,seconds,Logged episode time (s),200,200,0,0,0,256.86550000000017,1.2843275,1.1040300843862452,1.206260784069653,1.362394215930347,0.07806671593034697,0.07806671593034697,mean +/- 1 SE,01_processed/episodes.csv
tomato,ours,0,questions_success_only,Questions (successful episodes),200,196,0,0,1,1796.0,9.16326530612245,1.9011137224432306,9.027471468805075,9.299059143439823,0.13579383731737416,0.13579383731737416,mean +/- 1 SE,01_processed/episodes.csv
tomato,ours,0,steps_success_only,Steps (successful episodes),200,196,0,0,1,2738.0,13.96938775510204,1.1453726893866831,13.887575420145849,14.051200090058233,0.08181233495619189,0.08181233495619189,mean +/- 1 SE,01_processed/episodes.csv
tomato,ours,0,reward,Cumulative reward,200,200,0,0,0,5160.0,25.8,27.250190170375106,23.873120574190477,27.726879425809525,1.926879425809524,1.926879425809524,mean +/- 1 SE,01_processed/episodes.csv
tomato,cp_when,1,success,Task success (%),200,200,2,0,0,126.0,63.0,0.4840158641862058,56.12262992405018,69.38739159014088,6.87737007594982,6.387391590140879,95% Wilson CI,01_processed/episodes.csv
tomato,cp_when,1,questions,Questions per episode,200,198,2,0,0,670.0,3.3838383838383836,2.173710345032879,3.22935951626818,3.5383172514085874,0.1544788675702038,0.1544788675702038,mean +/- 1 SE,01_processed/episodes.csv
tomato,cp_when,1,steps,Physical/planning steps,200,198,2,0,0,2625.0,13.257575757575758,6.386002950760754,12.803742289658679,13.711409225492837,0.4538334679170788,0.4538334679170788,mean +/- 1 SE,01_processed/episodes.csv
tomato,cp_when,1,seconds,Logged episode time (s),200,198,2,0,0,6665.009000000001,33.66166161616162,16.45421466249401,32.492311498457376,34.83101173386586,1.1693501177042407,1.1693501177042407,mean +/- 1 SE,01_processed/episodes.csv
tomato,cp_when,1,questions_success_only,Questions (successful episodes),200,126,2,0,1,510.0,4.0476190476190474,2.0351202140694995,3.866316129001283,4.228921966236812,0.1813029186177646,0.1813029186177646,mean +/- 1 SE,01_processed/episodes.csv
tomato,cp_when,1,steps_success_only,Steps (successful episodes),200,126,2,0,1,1884.0,14.952380952380953,2.8533689361374717,14.698182643878807,15.206579260883098,0.2541983085021453,0.2541983085021453,mean +/- 1 SE,01_processed/episodes.csv
tomato,cp_when,1,reward,Cumulative reward,200,198,2,0,0,3820.0,19.292929292929294,23.966030327315316,17.589737681601324,20.996120904257264,1.70319161132797,1.70319161132797,mean +/- 1 SE,01_processed/episodes.csv
tomato,value_when,2,success,Task success (%),200,200,0,0,0,127.0,63.5,0.482638268781561,56.6317026527406,69.8594735350732,6.8682973472594,6.359473535073207,95% Wilson CI,01_processed/episodes.csv
tomato,value_when,2,questions,Questions per episode,200,200,0,0,0,245.0,1.225,1.08640525675714,1.1481795475830314,1.3018204524169688,0.07682045241696867,0.07682045241696867,mean +/- 1 SE,01_processed/episodes.csv
tomato,value_when,2,steps,Physical/planning steps,200,200,0,0,0,2796.0,13.98,6.684535516801215,13.507331960698755,14.452668039301246,0.47266803930124546,0.47266803930124546,mean +/- 1 SE,01_processed/episodes.csv
tomato,value_when,2,seconds,Logged episode time (s),200,200,0,0,0,549.1344000000001,2.745672,1.526128448270032,2.6377584225266557,2.853585577473344,0.10791357747334418,0.10791357747334418,mean +/- 1 SE,01_processed/episodes.csv
tomato,value_when,2,questions_success_only,Questions (successful episodes),200,127,0,0,1,194.0,1.5275590551181102,1.082521832717572,1.4315007756334104,1.62361733460281,0.0960582794846998,0.0960582794846998,mean +/- 1 SE,01_processed/episodes.csv
tomato,value_when,2,steps_success_only,Steps (successful episodes),200,127,0,0,1,1936.0,15.244094488188976,2.2911719307808287,15.04078585549199,15.447403120885962,0.20330863269698618,0.20330863269698618,mean +/- 1 SE,01_processed/episodes.csv
tomato,value_when,2,reward,Cumulative reward,200,200,0,0,0,3775.0,18.875,28.410299197694357,16.866088478177158,20.883911521822842,2.008911521822842,2.008911521822842,mean +/- 1 SE,01_processed/episodes.csv
tomato,value_what,3,success,Task success (%),200,200,0,0,0,193.0,96.5,0.18424093903932007,92.95293884777092,98.29444579914328,3.5470611522290767,1.7944457991432756,95% Wilson CI,01_processed/episodes.csv
tomato,value_what,3,questions,Questions per episode,200,200,0,0,0,2553.0,12.765,2.5142358500243644,12.587216678094546,12.942783321905456,0.17778332190545498,0.17778332190545498,mean +/- 1 SE,01_processed/episodes.csv
