index,domain,condition,scene,iteration,seed,raw_source,raw_sha256,status,success,questions,steps,seconds,reward,end_reason,gamma,n_simulations,query_cost,failure_penalty,answer_accuracy,threshold,timestamp,model,prompt_version
1,tomato,ours,01,,2030859206,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260919_152133_865678.txt,d93d735250afc51a51fc77c8f6697ba1a03052086cb23e2f195c72a3cbf5e945,ok,1,6,15,1.3645,30.0,GOAL DONE,0.2,100,,,,0.8,2026-09-19 15:21:33,,
2,tomato,ours,01,,2222960263,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260919_152134_999457.txt,139bc2d625c76a529454afa506851b885885ee6646d70e44e4dc2f3567e324f6,ok,1,8,14,1.0345,30.0,GOAL DONE,0.2,100,,,,0.8,2026-09-19 15:21:34,,
3,tomato,ours,01,,1273020582,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260919_152136_161670.txt,4ed925a0bc70811700a70c3b00a317390fd35a05b485cdd235544482d103de92,ok,1,9,14,1.0608,30.0,GOAL DONE,0.2,100,,,,0.8,2026-09-19 15:21:36,,
4,tomato,ours,01,,866496583,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260919_152137_589567.txt,5388b9ed17b94f0767560a4c6999a37a8c4633e99f6851fd0f3909eb74ce25ff,ok,1,7,15,1.3216,30.0,GOAL DONE,0.2,100,,,,0.8,2026-09-19 15:21:37,,
5,tomato,ours,01,,2698243041,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260919_152138_926209.txt,362bc7f3112381b6fdf886457f979323edfa4c73d8040d9c6d855bb3a0dad7bf,ok,1,11,15,1.2293,30.0,GOAL DONE,0.2,100,,,,0.8,2026-09-19 15:21:38,,
6,tomato,ours,01,,1911303750,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260919_152140_200484.txt,8364f77620bffcedb735ac419f11dda13620d068c50c26dbb8cc7a6caabb9a8a,ok,1,10,15,1.1678,30.0,GOAL DONE,0.2,100,,,,0.8,2026-09-19 15:21:40,,
7,tomato,ours,01,,796400590,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260919_152141_693422.txt,6b87530723d317a2f9f4ee168115ae1c79bdef374ac78d6e9f95b914aa72e3bc,ok,1,6,15,1.383,30.0,GOAL DONE,0.2,100,,,,0.8,2026-09-19 15:21:41,,
8,tomato,ours,01,,1201029111,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260919_152142_777210.txt,2f93559d44652ed005d8eff2490f3ef53487a29951747514ab5d832a9973c4d1,ok,1,9,13,0.9764,30.0,GOAL DONE,0.2,100,,,,0.8,2026-09-19 15:21:42,,
9,tomato,ours,01,,3389846695,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260919_152143_978280.txt,879364bac1e893b528ad1affbc5a96c3d3dc8701c18a1ab923b17acabdccb2a7,ok,1,9,14,1.1011,30.0,GOAL DONE,0.2,100,,,,0.8,2026-09-19 15:21:43,,
10,tomato,ours,01,,2508123787,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260919_152145_219951.txt,f169451dd30afbccf6248a91be532a17dea134640c10f67a094fa9ebf3de33fa,ok,1,7,14,1.1333,30.0,GOAL DONE,0.2,100,,,,0.8,2026-09-19 15:21:45,,
