domain,reference,comparison,n_pairs,reference_unmatched,comparison_unmatched,reference_only_success,comparison_only_success,success_delta_pp,exact_mcnemar_p,p_holm,difference_direction,questions_paired_n,questions_delta_mean,questions_delta_ci95_normal_low,questions_delta_ci95_normal_high,steps_paired_n,steps_delta_mean,steps_delta_ci95_normal_low,steps_delta_ci95_normal_high,seconds_paired_n,seconds_delta_mean,seconds_delta_ci95_normal_low,seconds_delta_ci95_normal_high,reward_paired_n,reward_delta_mean,reward_delta_ci95_normal_low,reward_delta_ci95_normal_high
all,ours,query_action_pomcp,400,0,0,174,2,43.0,3.2526293663364165e-49,1.3010517465345666e-48,reference minus comparison,400,7.24,6.905058211161378,7.574941788838623,400,-0.935,-1.6696353524464695,-0.20036464755353056,400,-0.65233675,-0.7619887999864735,-0.5426847000135265,400,6.7,4.407642292976503,8.992357707023498
all,ours,knowno,400,0,0,170,4,41.5,3.1545431611947897e-45,6.309086322389579e-45,reference minus comparison,400,6.0225,5.750278633249148,6.294721366750852,400,2.2275,1.7078225961967082,2.747177403803292,400,-14.623247101179198,-15.194991792118872,-14.051502410239523,0,,,
all,ours,introplan,400,0,0,175,4,42.75,1.104418639315385e-46,3.313255917946155e-46,reference minus comparison,400,4.9025,4.639067809058622,5.165932190941378,400,2.385,1.8534980840221256,2.9165019159778742,400,-40.23544197632616,-42.16731985125748,-38.303564101394834,0,,,
all,ours,query_action_pomcp_selected,400,0,0,108,7,25.25,2.2527678876397474e-24,2.2527678876397474e-24,reference minus comparison,400,-8.4475,-9.435930128058148,-7.4590698719418524,400,-0.285,-0.8349481020514584,0.2649481020514585,400,-6.58314975,-6.9541941779726715,-6.212105322027328,400,1.05,-1.246999168340731,3.346999168340731
tomato,ours,query_action_pomcp,200,0,0,74,2,36.0,7.747704489416678e-20,2.3243113468250035e-19,reference minus comparison,200,7.805,7.436696575436145,8.173303424563855,200,-2.29,-3.511912764076344,-1.0680872359236557,200,-0.7542285,-0.9664415189571582,-0.5420154810428417,200,5.345,1.2679615179496588,9.42203848205034
tomato,ours,knowno,200,0,0,84,4,40.0,1.5803951224724757e-20,6.321580489889903e-20,reference minus comparison,200,7.29,6.979763183872548,7.6002368161274525,200,3.085,2.159023526218528,4.010976473781472,200,-16.984505768544395,-17.81398137600027,-16.15503016108852,0,,,
tomato,ours,introplan,200,0,0,66,4,31.0,1.6502251632246126e-15,1.6502251632246126e-15,reference minus comparison,200,5.465,5.114645030596503,5.815354969403496,200,2.47,1.5426556716832582,3.397344328316742,200,-53.12072868233116,-55.56498471068793,-50.67647265397439,0,,,
tomato,ours,query_action_pomcp_selected,200,0,0,82,7,37.5,2.428370408743998e-17,4.856740817487996e-17,reference minus comparison,200,-0.725,-1.5572311888122619,0.1072311888122619,200,0.575,-0.46596469074430713,1.615964690744307,200,-3.819755,-4.229175977728382,-3.4103340222716167,200,5.025,0.7621236169245114,9.287876383075488
wastesorting,ours,query_action_pomcp,200,0,0,100,0,50.0,1.5777218104420236e-30,4.733165431326071e-30,reference minus comparison,200,6.675,6.125546113777607,7.224453886222393,200,0.42,-0.35474192164970747,1.1947419216497075,200,-0.550445,-0.6031701471849585,-0.49771985281504144,200,8.055,5.962322007421516,10.147677992578483
wastesorting,ours,knowno,200,0,0,86,0,43.0,2.5849394142282115e-26,5.169878828456423e-26,reference minus comparison,200,4.755,4.382319905068827,5.127680094931173,200,1.37,0.925982236527013,1.8140177634729873,200,-12.261988433814,-12.900396664105878,-11.623580203522122,0,,,
wastesorting,ours,introplan,200,0,0,109,0,54.5,3.0814879110195774e-33,1.232595164407831e-32,reference minus comparison,200,4.34,3.9614247360242896,4.71857526397571,200,2.3,1.7779177823840777,2.8220822176159217,200,-27.350155270321153,-28.956916653471033,-25.743393887171273,0,,,
wastesorting,ours,query_action_pomcp_selected,200,0,0,26,0,13.0,2.9802322387695312e-08,2.9802322387695312e-08,reference minus comparison,200,-16.17,-17.130595390207475,-15.209404609792529,200,-1.145,-1.4622532100223584,-0.8277467899776416,200,-9.3465445,-9.64593157833355,-9.04715742166645,200,-2.925,-4.466333261129675,-1.3836667388703252
