domain,reference,comparison,n_pairs,reference_unmatched,comparison_unmatched,reference_only_success,comparison_only_success,success_delta_pp,exact_mcnemar_p,p_holm,difference_direction,questions_paired_n,questions_delta_mean,questions_delta_ci95_normal_low,questions_delta_ci95_normal_high,steps_paired_n,steps_delta_mean,steps_delta_ci95_normal_low,steps_delta_ci95_normal_high,seconds_paired_n,seconds_delta_mean,seconds_delta_ci95_normal_low,seconds_delta_ci95_normal_high,reward_paired_n,reward_delta_mean,reward_delta_ci95_normal_low,reward_delta_ci95_normal_high
all,0.4,0.5,100,0,0,4,0,4.0,0.125,0.5,reference minus comparison,100,-0.21,-0.7892093951348842,0.36920939513488427,100,-1.28,-2.7848530352413063,0.2248530352413063,100,-0.591622,-0.9826498437323712,-0.20059415626762878,100,3.9,-3.3984820993236924,11.198482099323693
all,0.4,0.6,100,0,0,2,0,2.0,0.5,1.0,reference minus comparison,100,-0.38,-0.8671357801697447,0.10713578016974468,100,-0.4,-1.6193917261934656,0.8193917261934655,100,-0.776911,-1.132094221609289,-0.42172777839071085,100,0.95,-5.186124169899036,7.086124169899036
all,0.4,0.7,100,0,0,4,0,4.0,0.125,0.5,reference minus comparison,100,-0.44,-0.9416864336642272,0.06168643366422727,100,-1.27,-2.797826152329249,0.2578261523292489,100,-1.667725,-2.245636134425415,-1.0898138655745848,100,3.5,-3.1180398116108066,10.118039811610807
all,0.4,0.8,100,0,0,2,0,2.0,0.5,1.0,reference minus comparison,100,-1.41,-2.119193631492163,-0.7008063685078367,100,-1.07,-2.311233935664781,0.17123393566478096,100,-2.320106,-2.9036465646618437,-1.7365654353381565,100,2.15,-3.7910373744877295,8.09103737448773
tomato,0.4,0.5,50,0,0,4,0,8.0,0.125,0.5,reference minus comparison,50,-0.66,-1.5794921902198964,0.25949219021989633,50,-2.56,-5.538576791657384,0.41857679165738393,50,-1.090934,-1.8515644505982598,-0.33030354940174034,50,9.6,-4.682043255491514,23.882043255491514
tomato,0.4,0.6,50,0,0,2,0,4.0,0.5,1.0,reference minus comparison,50,-0.24,-0.9156177798437587,0.4356177798437587,50,-0.68,-3.1218633667872706,1.7618633667872703,50,-1.337056,-2.0155285989815375,-0.6585834010184626,50,2.7,-9.343717580375525,14.743717580375527
tomato,0.4,0.7,50,0,0,4,0,8.0,0.125,0.5,reference minus comparison,50,-0.82,-1.6519004783192182,0.011900478319218255,50,-2.42,-5.453309758462531,0.6133097584625311,50,-2.9537459999999998,-3.997761580410639,-1.9097304195893607,50,7.3,-5.632034556608825,20.232034556608824
tomato,0.4,0.8,50,0,0,2,0,4.0,0.5,1.0,reference minus comparison,50,-2.36,-3.4907910356503233,-1.2292089643496762,50,-1.92,-4.385761300646722,0.5457613006467228,50,-4.048502,-5.000788633580769,-3.096215366419231,50,4.4,-7.170395668688357,15.970395668688358
wastesorting,0.4,0.5,50,0,0,0,0,0.0,1.0,1.0,reference minus comparison,50,0.24,-0.451672305143208,0.931672305143208,50,0.0,-0.14815935090674934,0.14815935090674934,50,-0.09230999999999999,-0.10654328198598582,-0.07807671801401415,50,-1.8,-4.284865605193747,0.6848656051937467
wastesorting,0.4,0.6,50,0,0,0,0,0.0,1.0,1.0,reference minus comparison,50,-0.52,-1.2266528764837235,0.1866528764837233,50,-0.12,-0.30266311548007196,0.062663115480072,50,-0.216766,-0.23252877593790763,-0.20100322406209234,50,-0.8,-3.3716883444727648,1.7716883444727645
wastesorting,0.4,0.7,50,0,0,0,0,0.0,1.0,1.0,reference minus comparison,50,-0.06,-0.609846022901418,0.48984602290141793,50,-0.12,-0.27478423531524454,0.03478423531524455,50,-0.381704,-0.39826667522949494,-0.36514132477050504,50,-0.3,-3.034934935921326,2.4349349359213264
wastesorting,0.4,0.8,50,0,0,0,0,0.0,1.0,1.0,reference minus comparison,50,-0.46,-1.2424040275697117,0.3224040275697116,50,-0.22,-0.3996336663708411,-0.040366333629158924,50,-0.59171,-0.6186839616041055,-0.5647360383958944,50,-0.1,-2.920731037508578,2.720731037508578
