domain,scene,seed,reference,comparison,reference_source,comparison_source,reference_success,comparison_success,questions_delta,steps_delta,seconds_delta,reward_delta
tomato,01,53,0.0,0.05,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-0/scene_01/run_1/exp_tomato_20260917_062342_675692.txt,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-05/scene_01/run_1/exp_tomato_20260917_062341_974960.txt,0,1,59.0,37.0,0.0129999999999999,-90.0
tomato,01,54,0.0,0.05,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-0/scene_01/run_2/exp_tomato_20260917_062349_886829.txt,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-05/scene_01/run_2/exp_tomato_20260917_062349_202018.txt,0,1,60.0,32.0,-0.4565,-90.0
tomato,01,55,0.0,0.05,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-0/scene_01/run_3/exp_tomato_20260917_062356_839975.txt,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-05/scene_01/run_3/exp_tomato_20260917_062356_152663.txt,0,1,64.0,36.0,-0.08020000000000005,-80.0
tomato,01,56,0.0,0.05,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-0/scene_01/run_4/exp_tomato_20260917_062403_656806.txt,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-05/scene_01/run_4/exp_tomato_20260917_062402_972901.txt,0,1,60.0,36.0,-0.08410000000000006,-80.0
tomato,01,57,0.0,0.05,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-0/scene_01/run_5/exp_tomato_20260917_062410_564940.txt,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-05/scene_01/run_5/exp_tomato_20260917_062409_883036.txt,0,1,57.0,35.0,-0.1985,-85.0
tomato,01,58,0.0,0.05,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-0/scene_01/run_6/exp_tomato_20260917_062417_368164.txt,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-05/scene_01/run_6/exp_tomato_20260917_062416_687812.txt,0,1,66.0,37.0,-0.0036000000000000476,-90.0
tomato,01,59,0.0,0.05,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-0/scene_01/run_7/exp_tomato_20260917_062424_190896.txt,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-05/scene_01/run_7/exp_tomato_20260917_062423_523022.txt,0,1,61.0,37.0,0.0025000000000000577,-100.0
tomato,01,60,0.0,0.05,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-0/scene_01/run_8/exp_tomato_20260917_062431_082501.txt,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-05/scene_01/run_8/exp_tomato_20260917_062430_398818.txt,0,1,60.0,37.0,0.0018000000000000238,-80.0
tomato,01,61,0.0,0.05,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-0/scene_01/run_9/exp_tomato_20260917_062438_762979.txt,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-05/scene_01/run_9/exp_tomato_20260917_062438_107506.txt,0,1,61.0,32.0,-0.49340000000000006,-90.0
tomato,01,62,0.0,0.05,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-0/scene_01/run_10/exp_tomato_20260917_062453_011512.txt,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-05/scene_01/run_10/exp_tomato_20260917_062452_321588.txt,0,1,61.0,36.0,-0.07479999999999998,-100.0
tomato,02,63,0.0,0.05,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-0/scene_02/run_1/exp_tomato_20260917_062459_897589.txt,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-05/scene_02/run_1/exp_tomato_20260917_062459_142731.txt,0,1,57.0,36.0,-0.013299999999999979,-90.0
tomato,02,64,0.0,0.05,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-0/scene_02/run_2/exp_tomato_20260917_062507_486562.txt,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-05/scene_02/run_2/exp_tomato_20260917_062506_725048.txt,0,1,61.0,36.0,-0.005299999999999971,-90.0
tomato,02,65,0.0,0.05,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-0/scene_02/run_3/exp_tomato_20260917_062522_060510.txt,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-05/scene_02/run_3/exp_tomato_20260917_062521_288493.txt,0,1,60.0,33.0,-0.3147,-110.0
