domain,condition,scene,n_attempted,n_valid,n_errors,successes,success_percent,success_ci_low,success_ci_high,success_percent_errors_as_failure,end_reasons,questions_n,questions_mean,questions_sd,questions_success_only_n,questions_success_only_mean,questions_success_only_sd,steps_n,steps_mean,steps_sd,steps_success_only_n,steps_success_only_mean,steps_success_only_sd,seconds_n,seconds_mean,seconds_sd,seconds_success_only_n,seconds_success_only_mean,seconds_success_only_sd,reward_n,reward_mean,reward_sd,reward_success_only_n,reward_success_only_mean,reward_success_only_sd
tomato,0.0,01,10,10,0,0,0.0,0,27.75327998628892,0.0,{'MAX STEP': 10},10,69.9,2.378141197564929,0,,,10,50.0,0.0,0,,,10,0.56792,0.0047909173327129,0,,,10,-80.5,1.5811388300841898,0,,
tomato,0.0,02,10,10,0,0,0.0,0,27.75327998628892,0.0,{'MAX STEP': 10},10,69.3,2.359378449224852,0,,,10,50.0,0.0,0,,,10,0.6390899999999999,0.01493656587037326,0,,,10,-80.5,1.5811388300841898,0,,
tomato,0.0,03,10,10,0,0,0.0,0,27.75327998628892,0.0,{'MAX STEP': 10},10,68.5,1.90029237516523,0,,,10,50.0,0.0,0,,,10,0.63613,0.00856012071565971,0,,,10,-80.0,0.0,0,,
tomato,0.0,04,10,10,0,0,0.0,0,27.75327998628892,0.0,{'MAX STEP': 10},10,69.6,1.3498971154211057,0,,,10,50.0,0.0,0,,,10,0.56902,0.007359166619484397,0,,,10,-80.0,0.0,0,,
tomato,0.0,05,10,10,0,0,0.0,0,27.75327998628892,0.0,{'MAX STEP': 10},10,69.3,2.7507574714370344,0,,,10,50.0,0.0,0,,,10,0.63931,0.012193117366412543,0,,,10,-80.0,0.0,0,,
tomato,0.05,01,10,10,0,10,100.0,72.24672001371107,99.99999999999999,100.0,{'GOAL DONE': 10},10,9.0,1.699673171197595,10,9.0,1.699673171197595,10,14.5,1.9578900207451218,10,14.5,1.9578900207451218,10,0.7053,0.187136242703901,10,0.7053,0.187136242703901,10,8.0,7.888106377466155,10,8.0,7.888106377466155
tomato,0.05,02,10,10,0,10,100.0,72.24672001371107,99.99999999999999,100.0,{'GOAL DONE': 10},10,9.2,1.5491933384829668,10,9.2,1.5491933384829668,10,14.3,1.4944341180973264,10,14.3,1.4944341180973264,10,0.69284,0.15627340855763727,10,0.69284,0.15627340855763727,10,16.0,8.432740427115679,10,16.0,8.432740427115679
tomato,0.05,03,10,10,0,9,90.0,59.58499732047615,98.21237869049271,90.0,"{'GOAL DONE': 9, 'MAX STEP': 1}",10,9.2,1.4757295747452437,9,9.222222222222221,1.563471919941143,10,17.3,11.52822622956368,9,13.666666666666666,1.0,10,1.0094400000000001,1.2130290123854783,9,0.6268111111111111,0.09118420154342041,10,-3.5,60.82990857939684,9,15.555555555555555,8.819171036881968
tomato,0.05,04,10,10,0,9,90.0,59.58499732047615,98.21237869049271,90.0,"{'GOAL DONE': 9, 'MAX STEP': 1}",10,8.3,1.2516655570345725,9,8.11111111111111,1.1666666666666667,10,17.4,11.520030864156185,9,13.777777777777779,1.3017082793177757,10,0.99524,1.1255280362765046,9,0.6416333333333334,0.13598231502662397,10,-5.0,44.78342947514801,9,8.88888888888889,9.27960727138337
tomato,0.05,05,10,10,0,9,90.0,59.58499732047615,98.21237869049271,90.0,"{'GOAL DONE': 9, 'MAX STEP': 1}",10,8.7,1.8287822299126937,9,8.444444444444445,1.740051084818425,10,18.1,11.386639344229515,9,14.555555555555555,2.1278575558006176,10,1.09762,1.158224179797101,9,0.7368222222222223,0.211422555429747,10,1.0,53.63456596884761,9,17.77777777777778,8.333333333333334
tomato,0.1,01,10,10,0,10,100.0,72.24672001371107,99.99999999999999,100.0,{'GOAL DONE': 10},10,9.2,1.8135294011647258,10,9.2,1.8135294011647258,10,13.6,0.5163977794943222,10,13.6,0.5163977794943222,10,0.89474,0.056611624248028784,10,0.89474,0.056611624248028784,10,14.0,10.749676997731399,10,14.0,10.749676997731399
tomato,0.1,02,10,10,0,8,80.0,49.01624715366418,94.33178485456247,80.0,"{'GOAL DONE': 8, 'MAX STEP': 2}",10,8.9,1.7919573407620817,8,8.75,1.9820624179302297,10,21.0,15.333333333333334,8,13.75,1.3887301496588271,10,2.27049,2.8438911025604026,8,0.9241875,0.20228853111688902,10,-27.0,78.2872204698116,8,10.0,7.559289460184544
tomato,0.1,03,10,10,0,10,100.0,72.24672001371107,99.99999999999999,100.0,{'GOAL DONE': 10},10,8.7,1.636391694484477,10,8.7,1.636391694484477,10,13.4,0.699205898780101,10,13.4,0.699205898780101,10,0.88686,0.09674039946624621,10,0.88686,0.09674039946624621,10,17.0,10.593499054713803,10,17.0,10.593499054713803
tomato,0.1,04,10,10,0,10,100.0,72.24672001371107,99.99999999999999,100.0,{'GOAL DONE': 10},10,8.5,1.1785113019775793,10,8.5,1.1785113019775793,10,13.9,1.286683937707919,10,13.9,1.286683937707919,10,0.94046,0.17009359645664368,10,0.94046,0.17009359645664368,10,15.0,7.0710678118654755,10,15.0,7.0710678118654755
tomato,0.1,05,10,10,0,10,100.0,72.24672001371107,99.99999999999999,100.0,{'GOAL DONE': 10},10,8.2,1.8135294011647258,10,8.2,1.8135294011647258,10,14.9,1.8529256146249728,10,14.9,1.8529256146249728,10,1.0868,0.2462300505173521,10,1.0868,0.2462300505173521,10,16.5,9.44281031614353,10,16.5,9.44281031614353
tomato,0.2,01,10,10,0,9,90.0,59.58499732047615,98.21237869049271,90.0,"{'GOAL DONE': 9, 'MAX STEP': 1}",10,8.7,1.5670212364724212,9,9.0,1.3228756555322954,10,17.3,11.499275339486978,9,13.666666666666666,0.5,10,1.80292,2.291415004266529,9,1.0787333333333333,0.08297210374577711,10,-1.5,61.2848540288164,9,17.77777777777778,6.666666666666667
tomato,0.2,02,10,10,0,10,100.0,72.24672001371107,99.99999999999999,100.0,{'GOAL DONE': 10},10,8.0,1.0540925533894598,10,8.0,1.0540925533894598,10,13.5,0.7071067811865476,10,13.5,0.7071067811865476,10,1.07772,0.11354468332383996,10,1.07772,0.11354468332383996,10,19.0,9.944289260117532,10,19.0,9.944289260117532
tomato,0.2,03,10,10,0,10,100.0,72.24672001371107,99.99999999999999,100.0,{'GOAL DONE': 10},10,8.4,1.6465452046971292,10,8.4,1.6465452046971292,10,13.4,0.5163977794943222,10,13.4,0.5163977794943222,10,1.05583,0.0837798842204977,10,1.05583,0.0837798842204977,10,17.0,6.749485577105529,10,17.0,6.749485577105529
tomato,0.2,04,10,10,0,10,100.0,72.24672001371107,99.99999999999999,100.0,{'GOAL DONE': 10},10,8.7,1.946506842754191,10,8.7,1.946506842754191,10,13.8,0.7888106377466155,10,13.8,0.7888106377466155,10,1.11709,0.15469046835535796,10,1.11709,0.15469046835535796,10,17.0,4.83045891539648,10,17.0,4.83045891539648
tomato,0.2,05,10,10,0,10,100.0,72.24672001371107,99.99999999999999,100.0,{'GOAL DONE': 10},10,9.3,2.057506581601462,10,9.3,2.057506581601462,10,13.8,0.9189365834726815,10,13.8,0.9189365834726815,10,1.11357,0.14684488452483158,10,1.11357,0.14684488452483158,10,17.0,6.749485577105529,10,17.0,6.749485577105529
tomato,0.3,01,10,10,0,10,100.0,72.24672001371107,99.99999999999999,100.0,{'GOAL DONE': 10},10,11.5,1.5811388300841898,10,11.5,1.5811388300841898,10,14.0,0.0,10,14.0,0.0,10,1.38685,0.03479480325182676,10,1.38685,0.03479480325182676,10,12.0,6.324555320336759,10,12.0,6.324555320336759
tomato,0.3,02,10,10,0,8,80.0,49.01624715366418,94.33178485456247,80.0,"{'GOAL DONE': 8, 'MAX STEP': 2}",10,10.2,1.3165611772087666,8,10.5,1.1952286093343936,10,21.1,15.234828518890522,8,13.875,0.3535533905932738,10,2.92867,3.3529084575269206,8,1.339375,0.09328129118807416,10,-21.5,74.46289157843806,8,13.75,5.175491695067657
tomato,0.3,03,10,10,0,10,100.0,72.24672001371107,99.99999999999999,100.0,{'GOAL DONE': 10},10,9.6,1.505545305418162,10,9.6,1.505545305418162,10,13.9,0.31622776601683794,10,13.9,0.31622776601683794,10,1.37414,0.08352450339072158,10,1.37414,0.08352450339072158,10,22.0,9.189365834726814,10,22.0,9.189365834726814
tomato,0.3,04,10,10,0,10,100.0,72.24672001371107,99.99999999999999,100.0,{'GOAL DONE': 10},10,10.0,2.70801280154532,10,10.0,2.70801280154532,10,14.2,0.7888106377466155,10,14.2,0.7888106377466155,10,1.40527,0.19166452781415294,10,1.40527,0.19166452781415294,10,18.0,9.189365834726814,10,18.0,9.189365834726814
tomato,0.3,05,10,10,0,9,90.0,59.58499732047615,98.21237869049271,90.0,"{'GOAL DONE': 9, 'MAX STEP': 1}",10,9.9,1.66332999331662,9,9.777777777777779,1.7159383568311668,10,17.4,11.462014560179975,9,13.777777777777779,0.44095855184409843,10,1.95812,1.9920858843600764,9,1.3283555555555555,0.05167511758842721,10,0.5,52.198871848175244,9,16.666666666666668,11.180339887498949
tomato,0.4,01,10,10,0,10,100.0,72.24672001371107,99.99999999999999,100.0,{'GOAL DONE': 10},10,10.9,1.449137674618944,10,10.9,1.449137674618944,10,14.1,0.31622776601683794,10,14.1,0.31622776601683794,10,1.65135,0.11200488332608045,10,1.65135,0.11200488332608045,10,12.0,9.189365834726814,10,12.0,9.189365834726814
tomato,0.4,02,10,10,0,10,100.0,72.24672001371107,99.99999999999999,100.0,{'GOAL DONE': 10},10,10.6,1.1737877907772674,10,10.6,1.1737877907772674,10,16.6,7.229568912920512,10,16.6,7.229568912920512,10,2.18435,1.665677737439028,10,2.18435,1.665677737439028,10,3.0,28.790430508918913,10,3.0,28.790430508918913
tomato,0.4,03,10,10,0,10,100.0,72.24672001371107,99.99999999999999,100.0,{'GOAL DONE': 10},10,10.3,1.766981104093143,10,10.3,1.766981104093143,10,15.6,3.204163957519444,10,15.6,3.204163957519444,10,2.01462,0.7738679155170257,10,2.01462,0.7738679155170257,10,11.5,12.48332220738267,10,11.5,12.48332220738267
tomato,0.4,04,10,10,0,10,100.0,72.24672001371107,99.99999999999999,100.0,{'GOAL DONE': 10},10,10.7,1.946506842754191,10,10.7,1.946506842754191,10,15.4,4.788875998951459,10,15.4,4.788875998951459,10,1.9419600000000001,1.123479624697801,10,1.9419600000000001,1.123479624697801,10,7.5,23.003622903070433,10,7.5,23.003622903070433
tomato,0.4,05,10,10,0,10,100.0,72.24672001371107,99.99999999999999,100.0,{'GOAL DONE': 10},10,10.2,1.3165611772087666,10,10.2,1.3165611772087666,10,15.2,3.119829055146024,10,15.2,3.119829055146024,10,1.93811,0.6981219687291199,10,1.93811,0.6981219687291199,10,12.0,19.888578520235065,10,12.0,19.888578520235065
wastesorting,0.0,01,10,10,0,10,100.0,72.24672001371107,99.99999999999999,100.0,{'GOAL DONE': 10},10,23.9,2.2335820757001272,10,23.9,2.2335820757001272,10,16.0,0.0,10,16.0,0.0,10,0.85737,0.013062333465179798,10,0.85737,0.013062333465179798,10,9.5,9.264628073124864,10,9.5,9.264628073124864
wastesorting,0.0,02,10,10,0,10,100.0,72.24672001371107,99.99999999999999,100.0,{'GOAL DONE': 10},10,22.5,1.5811388300841898,10,22.5,1.5811388300841898,10,16.3,0.48304589153964794,10,16.3,0.48304589153964794,10,0.67848,0.017082206466899348,10,0.67848,0.017082206466899348,10,14.0,4.594682917363407,10,14.0,4.594682917363407
wastesorting,0.0,03,10,10,0,10,100.0,72.24672001371107,99.99999999999999,100.0,{'GOAL DONE': 10},10,23.7,1.888562063228706,10,23.7,1.888562063228706,10,16.2,0.4216370213557839,10,16.2,0.4216370213557839,10,0.6803,0.010855106325289183,10,0.6803,0.010855106325289183,10,9.5,7.975657409336932,10,9.5,7.975657409336932
