domain,condition,scene,n_attempted,n_valid,n_errors,successes,success_percent,success_ci_low,success_ci_high,success_percent_errors_as_failure,end_reasons,questions_n,questions_mean,questions_sd,questions_success_only_n,questions_success_only_mean,questions_success_only_sd,steps_n,steps_mean,steps_sd,steps_success_only_n,steps_success_only_mean,steps_success_only_sd,seconds_n,seconds_mean,seconds_sd,seconds_success_only_n,seconds_success_only_mean,seconds_success_only_sd,reward_n,reward_mean,reward_sd,reward_success_only_n,reward_success_only_mean,reward_success_only_sd
all,0.0,all,100,100,0,50,50.0,40.38315303659956,59.61684696340044,50.0,"{'MAX STEP': 50, 'GOAL DONE': 50}",100,46.32,23.205659358497577,50,23.32,1.9319018862145105,100,33.05,17.03672503740082,50,16.1,0.3030457633656632,100,0.661156,0.07745365029121831,50,0.712018,0.07452388109231312,100,-34.05,46.63795112189734,50,12.1,6.857886864399117
all,0.05,all,100,100,0,97,97.0,91.54806357094724,98.97454759759611,97.0,"{'GOAL DONE': 97, 'MAX STEP': 3}",100,8.35,1.914194716882641,97,8.29896907216495,1.915751312875318,100,13.14,6.9398861807684,97,12.0,2.4281337140555777,100,0.805267,0.633841141563392,97,0.6964030927835052,0.1214427123633542,100,7.8,29.399031111637512,97,12.731958762886597,7.840221435963939
all,0.1,all,100,100,0,98,98.0,92.9988209271456,99.44980324498376,98.0,"{'GOAL DONE': 98, 'MAX STEP': 2}",100,8.03,1.914616822175543,98,8.0,1.9211250999048803,100,12.73,5.769748694700662,98,11.96938775510204,2.179823513298007,100,0.993054,0.9694531607003606,98,0.8570816326530613,0.15888596335071353,100,8.65,27.62350594707487,98,12.39795918367347,8.31808338838033
all,0.2,all,100,100,0,99,99.0,94.55138038212945,99.82325679358594,99.0,"{'GOAL DONE': 99, 'MAX STEP': 1}",100,8.14,1.8313763659989155,99,8.16161616161616,1.8278294851202375,100,12.21,4.259973443270948,99,11.828282828282829,1.9008075836897136,100,1.01773,0.7571559217215301,99,0.9439636363636363,0.17156564427893486,100,12.2,20.317181861367455,99,14.090909090909092,7.469790737023127
all,0.3,all,100,100,0,97,97.0,91.54806357094724,98.97454759759611,97.0,"{'GOAL DONE': 97, 'MAX STEP': 3}",100,9.26,2.158469341684032,97,9.24742268041237,2.179597286173964,100,13.04,6.847428183433013,97,11.896907216494846,2.0840892099551658,100,1.336846,1.3409701838684716,97,1.1081123711340206,0.2688219404711865,100,8.4,30.367114057177318,97,13.505154639175258,8.421356421993686
all,0.4,all,100,100,0,100,100.0,96.30065017930143,100,100.0,{'GOAL DONE': 100},100,9.02,2.3005489024416006,100,9.02,2.3005489024416006,100,12.68,4.064828198439423,100,12.68,4.064828198439423,100,1.425585,0.8700607746536497,100,1.425585,0.8700607746536497,100,9.7,14.369229188608116,100,9.7,14.369229188608116
tomato,0.0,all,50,50,0,0,0.0,6.938893903907228e-16,7.134759913335873,0.0,{'MAX STEP': 50},50,69.32,2.161254359894565,0,,,50,50.0,0.0,0,,,50,0.610294,0.03587870387620955,0,,,50,-80.2,0.989743318610787,0,,
tomato,0.05,all,50,50,0,47,94.0,83.78290831116182,97.9385029651026,94.0,"{'GOAL DONE': 47, 'MAX STEP': 3}",50,8.88,1.5470841566492437,47,8.808510638297872,1.5553316139113846,50,16.32,8.735197391552624,47,14.170212765957446,1.6059556133366204,50,0.900088,0.8882664112776535,47,0.6814638297872341,0.16034822083248793,50,3.3,40.77827052412566,47,13.191489361702128,9.114342013676888
tomato,0.1,all,50,50,0,48,96.0,86.53990931249297,98.89611156723802,96.0,"{'GOAL DONE': 48, 'MAX STEP': 2}",50,8.7,1.6319513798279803,48,8.666666666666666,1.654566001246934,50,15.36,7.255567883089679,48,13.916666666666666,1.3019352752702062,50,1.21587,1.3391256866298387,48,0.94754375,0.17679552308071314,50,7.1,38.61227995424909,48,14.6875,9.191013765768888
tomato,0.2,all,50,50,0,49,98.0,89.50455641036218,99.64607407283539,98.0,"{'GOAL DONE': 49, 'MAX STEP': 1}",50,8.62,1.6768532239566698,49,8.673469387755102,1.6506028583273347,50,14.36,5.189313980849177,49,13.63265306122449,0.6980292959175737,50,1.233426,1.0294039995104758,49,1.0887897959183674,0.11822117908976441,50,13.7,28.08169568692498,49,17.551020408163264,6.931393632385542
