domain,condition,order,metric,metric_label,n_attempted,n_valid,n_execution_errors,n_missing_metric,success_only,numerator,value,sd,lower,upper,error_minus,error_plus,error_type,source_csv
tomato,0.0,0,success,Task success (%),50,50,0,0,0,0.0,0.0,0.0,6.938893903907228e-16,7.134759913335873,0,7.134759913335873,95% Wilson CI,01_processed/episodes.csv
tomato,0.0,0,questions,Questions per episode,50,50,0,0,0,3466.0,69.32,2.161254359894565,69.0143524772499,69.62564752275009,0.30564752275009255,0.30564752275009255,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.0,0,steps,Physical/planning steps,50,50,0,0,0,2500.0,50.0,0.0,50.0,50.0,0,0,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.0,0,seconds,Logged episode time (s),50,50,0,0,0,30.5147,0.610294,0.03587870387620955,0.6052199850377896,0.6153680149622104,0.0050740149622103825,0.0050740149622103825,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.0,0,questions_success_only,Questions (successful episodes),50,0,0,0,1,,,,,,,,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.0,0,steps_success_only,Steps (successful episodes),50,0,0,0,1,,,,,,,,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.0,0,reward,Cumulative reward,50,50,0,0,0,-4010.0,-80.2,0.989743318610787,-80.33997084244476,-80.06002915755525,0.13997084244475388,0.13997084244475388,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.05,1,success,Task success (%),50,50,0,0,0,47.0,94.0,0.23989793748209523,83.78290831116182,97.9385029651026,10.217091688838181,3.9385029651026002,95% Wilson CI,01_processed/episodes.csv
tomato,0.05,1,questions,Questions per episode,50,50,0,0,0,444.0,8.88,1.5470841566492437,8.661209260353411,9.09879073964659,0.21879073964658957,0.21879073964658957,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.05,1,steps,Physical/planning steps,50,50,0,0,0,816.0,16.32,8.735197391552624,15.08465653788602,17.55534346211398,1.2353434621139812,1.2353434621139812,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.05,1,seconds,Logged episode time (s),50,50,0,0,0,45.00439999999999,0.900088,0.8882664112776535,0.7744681594170665,1.0257078405829336,0.12561984058293352,0.12561984058293363,mean +/- 1 SE,01_processed/episodes.csv
