package,episodes,valid,figure_rows,readme
gamma_20260917_010622_1860115,400,400,56,gamma_20260917_010622_1860115/README.md
gamma_20260917_055904_1989067,500,500,70,gamma_20260917_055904_1989067/README.md
gamma_20260917_062335_2011515,600,600,84,gamma_20260917_062335_2011515/README.md
n_simulations_20260917_005549_1854141,500,500,70,n_simulations_20260917_005549_1854141/README.md
n_simulations_20260917_065010_2044001,300,300,42,n_simulations_20260917_065010_2044001/README.md
n_simulations_20260917_065018_2044187,300,300,42,n_simulations_20260917_065018_2044187/README.md
query_baselines_current_20260920,1600,1600,56,query_baselines_current_20260920/README.md
threshold_20260912,4400,4400,154,threshold_20260912/README.md
when_what_mechanisms_20260921,1600,1599,56,when_what_mechanisms_20260921/README.md
when_what_original_20260912,1600,1600,56,when_what_original_20260912/README.md
