domain,reference,comparison,n_pairs,reference_unmatched,comparison_unmatched,reference_only_success,comparison_only_success,success_delta_pp,exact_mcnemar_p,p_holm,difference_direction,questions_paired_n,questions_delta_mean,questions_delta_ci95_normal_low,questions_delta_ci95_normal_high,steps_paired_n,steps_delta_mean,steps_delta_ci95_normal_low,steps_delta_ci95_normal_high,seconds_paired_n,seconds_delta_mean,seconds_delta_ci95_normal_low,seconds_delta_ci95_normal_high,reward_paired_n,reward_delta_mean,reward_delta_ci95_normal_low,reward_delta_ci95_normal_high
all,50,100,100,0,0,2,0,2.0,0.5,1.0,reference minus comparison,100,-0.77,-2.1675732820928646,0.6275732820928643,100,-0.42,-1.641356698529465,0.8013566985294651,100,-2.118124,-2.6092289673233484,-1.6270190326766512,100,2.65,-1.8299307153063382,7.1299307153063385
all,50,200,100,0,0,2,0,2.0,0.5,1.0,reference minus comparison,100,-0.14,-1.5558243458811427,1.2758243458811425,100,-0.55,-1.7999937093268001,0.6999937093268,100,-6.307338,-7.442002025266825,-5.172673974733175,100,-0.05,-3.791382915498949,3.6913829154989495
all,50,300,100,0,0,1,0,1.0,1.0,1.0,reference minus comparison,100,-0.64,-2.258991081018777,0.9789910810187769,100,-0.22,-1.3404136104224544,0.9004136104224545,100,-10.097101,-11.66996585410736,-8.52423614589264,100,-0.05,-3.814645784793626,3.7146457847936265
all,50,500,100,0,0,0,0,0.0,1.0,1.0,reference minus comparison,100,-0.74,-2.1565367324344216,0.6765367324344218,100,-0.33,-1.1258023304031344,0.4658023304031344,100,-18.360015,-20.71041725071385,-16.009612749286152,100,-0.1,-3.2670313834009783,3.067031383400978
tomato,50,100,50,0,0,2,0,4.0,0.5,1.0,reference minus comparison,50,-0.34,-2.568456517740643,1.8884565177406432,50,-0.74,-3.1380443732983405,1.6580443732983408,50,-3.3316980000000003,-4.1900646581433785,-2.473331341856622,50,5.8,-2.7035502283955237,14.303550228395522
tomato,50,200,50,0,0,2,0,4.0,0.5,1.0,reference minus comparison,50,0.08,-2.1366257384088634,2.2966257384088635,50,-1.04,-3.4809128605145485,1.4009128605145484,50,-9.960914,-11.715235657510247,-8.206592342489754,50,1.1,-5.748664994046305,7.948664994046304
tomato,50,300,50,0,0,1,0,2.0,1.0,1.0,reference minus comparison,50,-1.08,-3.782401495871027,1.6224014958710269,50,-0.42,-2.598273595942171,1.7582735959421711,50,-15.742386,-17.962528465611555,-13.522243534388442,50,0.9,-6.165030896054088,7.965030896054088
tomato,50,500,50,0,0,0,0,0.0,1.0,1.0,reference minus comparison,50,-0.84,-3.147782751193311,1.4677827511933113,50,-0.62,-2.126663735817101,0.8866637358171011,50,-28.708178,-31.020549943905472,-26.39580605609453,50,0.4,-5.431964164474353,6.231964164474354
wastesorting,50,100,50,0,0,0,0,0.0,1.0,1.0,reference minus comparison,50,-1.2,-2.902221345908465,0.502221345908465,50,-0.1,-0.6109426636811817,0.4109426636811817,50,-0.90455,-0.9874156290777889,-0.821684370922211,50,-0.5,-3.189262762979403,2.189262762979403
wastesorting,50,200,50,0,0,0,0,0.0,1.0,1.0,reference minus comparison,50,-0.36,-2.1429847239303195,1.4229847239303197,50,-0.06,-0.6239238181336568,0.5039238181336569,50,-2.653762,-2.8319991826538216,-2.4755248173461784,50,-1.2,-4.27433840708588,1.8743384070858797
wastesorting,50,300,50,0,0,0,0,0.0,1.0,1.0,reference minus comparison,50,-0.2,-2.005044114945376,1.605044114945376,50,-0.02,-0.5869187139177503,0.5469187139177503,50,-4.451816,-4.717607046833732,-4.186024953166268,50,-1.0,-3.685616303318513,1.685616303318513
wastesorting,50,500,50,0,0,0,0,0.0,1.0,1.0,reference minus comparison,50,-0.64,-2.307566239259276,1.0275662392592757,50,-0.04,-0.565197508323865,0.48519750832386493,50,-8.011852,-8.44284537327443,-7.5808586267255675,50,-0.6,-3.145336499714493,1.9453364997144926
