domain,condition,scene,n_attempted,n_valid,n_errors,successes,success_percent,success_ci_low,success_ci_high,success_percent_errors_as_failure,end_reasons,questions_n,questions_mean,questions_sd,questions_success_only_n,questions_success_only_mean,questions_success_only_sd,steps_n,steps_mean,steps_sd,steps_success_only_n,steps_success_only_mean,steps_success_only_sd,seconds_n,seconds_mean,seconds_sd,seconds_success_only_n,seconds_success_only_mean,seconds_success_only_sd,reward_n,reward_mean,reward_sd,reward_success_only_n,reward_success_only_mean,reward_success_only_sd
all,50,all,100,100,0,100,100.0,96.30065017930143,100,100.0,{'GOAL DONE': 100},100,13.14,5.738440290679774,100,13.14,5.738440290679774,100,15.04,4.471955258987263,100,15.04,4.471955258987263,100,1.921211,1.1612005639318979,100,1.921211,1.1612005639318979,100,5.8,11.84325235155556,100,5.8,11.84325235155556
all,100,all,100,100,0,98,98.0,92.9988209271456,99.44980324498376,98.0,"{'GOAL DONE': 98, 'MAX STEP': 2}",100,13.91,5.359961932625261,98,13.591836734693878,4.877545298407601,100,15.46,6.062669345755184,98,14.755102040816327,3.5232986666808372,100,4.039335,3.0237408285194607,98,3.7272673469387754,2.0997734577254152,100,3.15,20.33376800330232,98,5.510204081632653,11.720318860198534
all,200,all,100,100,0,98,98.0,92.9988209271456,99.44980324498376,98.0,"{'GOAL DONE': 98, 'MAX STEP': 2}",100,13.28,5.230215245585168,98,13.193877551020408,5.243863695699811,100,15.59,6.444941638779417,98,14.887755102040817,4.181162106157018,100,8.228549,6.440259040456432,98,7.5908428571428574,4.667424874397479,100,5.85,17.50980966039992,98,7.448979591836735,12.440474722419834
all,300,all,100,100,0,99,99.0,94.55138038212945,99.82325679358594,99.0,"{'GOAL DONE': 99, 'MAX STEP': 1}",100,13.78,6.261280728703702,99,13.767676767676768,6.291925961310894,100,15.26,5.546169849544819,99,14.909090909090908,4.316770592560377,100,12.018312,8.73120040249572,99,11.511266666666668,7.144222714350729,100,5.85,16.361679175883673,99,6.818181818181818,13.256776192869417
all,500,all,100,100,0,100,100.0,96.30065017930143,100,100.0,{'GOAL DONE': 100},100,13.88,5.603534238281761,100,13.88,5.603534238281761,100,15.37,4.576300389236403,100,15.37,4.576300389236403,100,20.281226,12.936207779580881,100,20.281226,12.936207779580881,100,5.9,13.621507058525298,100,5.9,13.621507058525298
tomato,50,all,50,50,0,50,100.0,92.86524008666413,100,100.0,{'GOAL DONE': 50},50,13.76,6.409686547145115,50,13.76,6.409686547145115,50,18.08,4.420915040567774,50,18.08,4.420915040567774,50,2.922006,0.809926280447291,50,2.922006,0.809926280447291,50,0.6,13.156824875946572,50,0.6,13.156824875946572
tomato,100,all,50,50,0,48,96.0,86.53990931249297,98.89611156723802,96.0,"{'GOAL DONE': 48, 'MAX STEP': 2}",50,14.1,6.402327382941873,48,13.458333333333334,5.599993667676258,50,18.82,7.018023444049221,48,17.520833333333332,2.8731299807918234,50,6.253704,2.899645256343737,48,5.70883125,1.0860620888869812,50,-5.2,25.57422171497171,48,-0.7291666666666666,12.840659463633202
tomato,200,all,50,50,0,48,96.0,86.53990931249297,98.89611156723802,96.0,"{'GOAL DONE': 48, 'MAX STEP': 2}",50,13.68,6.02863913299829,48,13.520833333333334,6.094956349950458,50,19.12,7.531268153505092,48,17.833333333333332,4.106732061743298,50,12.88292,6.258805952073789,48,11.77486875,3.079512898561543,50,-0.5,21.998376563477848,48,2.5,14.659250220296963
tomato,300,all,50,50,0,49,98.0,89.50455641036218,99.64607407283539,98.0,"{'GOAL DONE': 49, 'MAX STEP': 1}",50,14.84,7.667477034959586,49,14.83673469387755,7.746899752953624,50,18.5,6.270273242101355,49,17.857142857142858,4.363675820528682,50,18.664392,7.931370079236768,49,17.77558775510204,4.888317536639125,50,-0.3,20.263821184060816,49,1.530612244897959,15.75211895906961
tomato,500,all,50,50,0,50,100.0,92.86524008666413,100,100.0,{'GOAL DONE': 50},50,14.6,6.8511878904467425,50,14.6,6.8511878904467425,50,18.7,4.277372834737105,50,18.7,4.277372834737105,50,31.630184,8.535436106533654,50,31.630184,8.535436106533654,50,0.2,16.349499149789867,50,0.2,16.349499149789867
