domain,scene,seed,reference,comparison,reference_source,comparison_source,reference_success,comparison_success,questions_delta,steps_delta,seconds_delta,reward_delta
tomato,01,53,50,100,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_50/scene_01/run_1/exp_tomato_20260917_065011_677196.txt,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_100/scene_01/run_1/exp_tomato_20260917_065013_431697.txt,1,1,-2.0,0.0,-0.8108000000000001,0.0
tomato,01,54,50,100,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_50/scene_01/run_2/exp_tomato_20260917_065017_645373.txt,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_100/scene_01/run_2/exp_tomato_20260917_065019_357645.txt,1,1,-3.0,0.0,-0.8316,10.0
tomato,01,55,50,100,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_50/scene_01/run_3/exp_tomato_20260917_065023_837486.txt,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_100/scene_01/run_3/exp_tomato_20260917_065025_583423.txt,1,1,0.0,0.0,-0.7979,-10.0
tomato,01,56,50,100,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_50/scene_01/run_4/exp_tomato_20260917_065029_978244.txt,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_100/scene_01/run_4/exp_tomato_20260917_065031_662649.txt,1,1,-2.0,0.0,-0.7801999999999999,0.0
tomato,01,57,50,100,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_50/scene_01/run_5/exp_tomato_20260917_065035_880821.txt,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_100/scene_01/run_5/exp_tomato_20260917_065037_660994.txt,1,1,-3.0,0.0,-0.8496999999999999,30.0
tomato,01,58,50,100,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_50/scene_01/run_6/exp_tomato_20260917_065042_140181.txt,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_100/scene_01/run_6/exp_tomato_20260917_065043_850910.txt,1,1,0.0,0.0,-0.8372,-10.0
tomato,01,59,50,100,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_50/scene_01/run_7/exp_tomato_20260917_065048_155031.txt,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_100/scene_01/run_7/exp_tomato_20260917_065049_874362.txt,1,1,0.0,0.0,-0.8297,0.0
tomato,01,60,50,100,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_50/scene_01/run_8/exp_tomato_20260917_065054_437326.txt,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_100/scene_01/run_8/exp_tomato_20260917_065056_296112.txt,1,1,3.0,1.0,-0.7811999999999999,0.0
tomato,01,61,50,100,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_50/scene_01/run_9/exp_tomato_20260917_065100_741774.txt,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_100/scene_01/run_9/exp_tomato_20260917_065102_878042.txt,1,1,-4.0,-1.0,-1.2188999999999999,0.0
tomato,01,62,50,100,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_50/scene_01/run_10/exp_tomato_20260917_065111_135771.txt,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_100/scene_01/run_10/exp_tomato_20260917_065112_917677.txt,0,1,4.0,36.0,3.0702999999999996,-125.0
tomato,02,63,50,100,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_50/scene_02/run_1/exp_tomato_20260917_065117_271834.txt,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_100/scene_02/run_1/exp_tomato_20260917_065118_964319.txt,1,1,-3.0,0.0,-0.8024,0.0
tomato,02,64,50,100,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_50/scene_02/run_2/exp_tomato_20260917_065123_404839.txt,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_100/scene_02/run_2/exp_tomato_20260917_065125_190087.txt,1,1,3.0,0.0,-0.8827,20.0
tomato,02,65,50,100,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_50/scene_02/run_3/exp_tomato_20260917_065129_893968.txt,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_100/scene_02/run_3/exp_tomato_20260917_065132_190023.txt,1,1,2.0,-1.0,-1.0904,-20.0
tomato,02,66,50,100,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_50/scene_02/run_4/exp_tomato_20260917_065136_592134.txt,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_100/scene_02/run_4/exp_tomato_20260917_065138_352294.txt,1,1,1.0,0.0,-0.8581000000000001,10.0
tomato,02,67,50,100,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_50/scene_02/run_5/exp_tomato_20260917_065142_781709.txt,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_100/scene_02/run_5/exp_tomato_20260917_065144_483292.txt,1,1,3.0,0.0,-0.8007,-30.0
tomato,02,68,50,100,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_50/scene_02/run_6/exp_tomato_20260917_065156_467841.txt,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_100/scene_02/run_6/exp_tomato_20260917_065158_140524.txt,1,1,-1.0,-1.0,-0.8331000000000001,30.0
tomato,02,69,50,100,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_50/scene_02/run_7/exp_tomato_20260917_065220_788006.txt,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_100/scene_02/run_7/exp_tomato_20260917_065222_507910.txt,1,1,0.0,0.0,-0.8033999999999999,-10.0
tomato,02,70,50,100,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_50/scene_02/run_8/exp_tomato_20260917_065226_937568.txt,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_100/scene_02/run_8/exp_tomato_20260917_065228_739077.txt,1,1,-1.0,0.0,-0.8619,0.0
tomato,02,71,50,100,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_50/scene_02/run_9/exp_tomato_20260917_065232_595938.txt,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_100/scene_02/run_9/exp_tomato_20260917_065239_701332.txt,1,1,0.0,-23.0,-6.1762,85.0
tomato,02,72,50,100,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_50/scene_02/run_10/exp_tomato_20260917_065244_473627.txt,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_100/scene_02/run_10/exp_tomato_20260917_065246_228919.txt,1,1,0.0,0.0,-0.8698999999999999,-10.0
tomato,03,73,50,100,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_50/scene_03/run_1/exp_tomato_20260917_065250_882346.txt,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_100/scene_03/run_1/exp_tomato_20260917_065252_551889.txt,1,1,3.0,1.0,-0.5892,0.0
tomato,03,74,50,100,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_50/scene_03/run_2/exp_tomato_20260917_065256_934000.txt,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_100/scene_03/run_2/exp_tomato_20260917_065258_725684.txt,1,1,-6.0,-1.0,-0.9228000000000001,-10.0
tomato,03,75,50,100,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_50/scene_03/run_3/exp_tomato_20260917_065303_082583.txt,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_100/scene_03/run_3/exp_tomato_20260917_065305_144305.txt,1,1,-2.0,-1.0,-1.1565,-10.0
tomato,03,76,50,100,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_50/scene_03/run_4/exp_tomato_20260917_065309_416010.txt,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_100/scene_03/run_4/exp_tomato_20260917_065313_529341.txt,1,1,2.0,-10.0,-3.1954000000000002,35.0
tomato,03,77,50,100,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_50/scene_03/run_5/exp_tomato_20260917_065322_025285.txt,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_100/scene_03/run_5/exp_tomato_20260917_065323_822738.txt,0,1,2.0,36.0,3.2084,-165.0
tomato,03,78,50,100,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_50/scene_03/run_6/exp_tomato_20260917_065328_213673.txt,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_100/scene_03/run_6/exp_tomato_20260917_065329_810015.txt,1,1,0.0,0.0,-0.7076,-10.0
tomato,03,79,50,100,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_50/scene_03/run_7/exp_tomato_20260917_065338_462321.txt,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_100/scene_03/run_7/exp_tomato_20260917_065340_265696.txt,0,1,1.0,36.0,3.4337,-205.0
tomato,03,80,50,100,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_50/scene_03/run_8/exp_tomato_20260917_065344_678607.txt,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_100/scene_03/run_8/exp_tomato_20260917_065347_254138.txt,1,1,-4.0,-4.0,-1.694,-10.0
tomato,03,81,50,100,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_50/scene_03/run_9/exp_tomato_20260917_065352_244637.txt,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_100/scene_03/run_9/exp_tomato_20260917_065354_457333.txt,1,1,3.0,2.0,-1.1,15.0
tomato,03,82,50,100,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_50/scene_03/run_10/exp_tomato_20260917_065358_405205.txt,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_100/scene_03/run_10/exp_tomato_20260917_065400_129479.txt,1,1,0.0,0.0,-0.8514,-10.0
tomato,04,83,50,100,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_50/scene_04/run_1/exp_tomato_20260917_065404_572572.txt,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_100/scene_04/run_1/exp_tomato_20260917_065406_258456.txt,1,1,2.0,0.0,-0.7669999999999999,10.0
tomato,04,84,50,100,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_50/scene_04/run_2/exp_tomato_20260917_065414_932069.txt,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_100/scene_04/run_2/exp_tomato_20260917_065416_666680.txt,0,1,-5.0,36.0,3.4859999999999998,-185.0
tomato,04,85,50,100,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_50/scene_04/run_3/exp_tomato_20260917_065425_200852.txt,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_100/scene_04/run_3/exp_tomato_20260917_065426_953758.txt,0,1,-2.0,36.0,3.3907,-205.0
tomato,04,86,50,100,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_50/scene_04/run_4/exp_tomato_20260917_065431_488156.txt,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_100/scene_04/run_4/exp_tomato_20260917_065433_308736.txt,1,1,-4.0,1.0,-0.728,0.0
tomato,04,87,50,100,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_50/scene_04/run_5/exp_tomato_20260917_065437_718832.txt,experiments_logs/n_simulations/20260917_065010_2044001/tomato/sim_100/scene_04/run_5/exp_tomato_20260917_065439_457032.txt,1,1,0.0,0.0,-0.8361,10.0
