domain,condition,order,metric,metric_label,n_attempted,n_valid,n_execution_errors,n_missing_metric,success_only,numerator,value,sd,lower,upper,error_minus,error_plus,error_type,source_csv
tomato,50,0,success,Task success (%),50,50,0,0,0,44.0,88.0,0.32826072265931594,76.19518261679701,94.38239984906774,11.804817383202987,6.382399849067738,95% Wilson CI,01_processed/episodes.csv
tomato,50,0,questions,Questions per episode,50,50,0,0,0,512.0,10.24,1.954168751721325,9.963638804815,10.516361195185,0.27636119518500024,0.27636119518500024,mean +/- 1 SE,01_processed/episodes.csv
tomato,50,0,steps,Physical/planning steps,50,50,0,0,0,946.0,18.92,11.771359223096697,17.255278413913103,20.5847215860869,1.6647215860868982,1.6647215860868982,mean +/- 1 SE,01_processed/episodes.csv
tomato,50,0,seconds,Logged episode time (s),50,50,0,0,0,67.79560000000001,1.355912,1.3607097523194074,1.163478581381656,1.548345418618344,0.19243341861834407,0.19243341861834407,mean +/- 1 SE,01_processed/episodes.csv
tomato,50,0,questions_success_only,Questions (successful episodes),50,44,0,0,1,445.0,10.113636363636363,1.728232180392614,9.853095559409995,10.374177167862731,0.26054080422636794,0.26054080422636794,mean +/- 1 SE,01_processed/episodes.csv
tomato,50,0,steps_success_only,Steps (successful episodes),50,44,0,0,1,646.0,14.681818181818182,2.1756872987603977,14.353820980403176,15.009815383233187,0.32799720141500543,0.32799720141500543,mean +/- 1 SE,01_processed/episodes.csv
tomato,50,0,reward,Cumulative reward,50,50,0,0,0,-380.0,-7.6,58.02216325311759,-15.805573019078471,0.6055730190784718,8.205573019078471,8.205573019078471,mean +/- 1 SE,01_processed/episodes.csv
tomato,100,1,success,Task success (%),50,50,0,0,0,50.0,100.0,0.0,92.86524008666413,100,7.13475991333587,0,95% Wilson CI,01_processed/episodes.csv
tomato,100,1,questions,Questions per episode,50,50,0,0,0,527.0,10.54,1.5146899729930592,10.325790489740267,10.75420951025973,0.21420951025973167,0.21420951025973167,mean +/- 1 SE,01_processed/episodes.csv
tomato,100,1,steps,Physical/planning steps,50,50,0,0,0,769.0,15.38,4.261311477726555,14.777359551470298,15.982640448529704,0.6026404485297032,0.6026404485297032,mean +/- 1 SE,01_processed/episodes.csv
tomato,100,1,seconds,Logged episode time (s),50,50,0,0,0,98.6722,1.973444,0.9925917884168965,1.833070323092066,2.113817676907934,0.140373676907934,0.14037367690793423,mean +/- 1 SE,01_processed/episodes.csv
tomato,100,1,questions_success_only,Questions (successful episodes),50,50,0,0,1,527.0,10.54,1.5146899729930592,10.325790489740267,10.75420951025973,0.21420951025973167,0.21420951025973167,mean +/- 1 SE,01_processed/episodes.csv
tomato,100,1,steps_success_only,Steps (successful episodes),50,50,0,0,1,769.0,15.38,4.261311477726555,14.777359551470298,15.982640448529704,0.6026404485297032,0.6026404485297032,mean +/- 1 SE,01_processed/episodes.csv
tomato,100,1,reward,Cumulative reward,50,50,0,0,0,460.0,9.2,19.466349825023798,6.447042406755221,11.952957593244777,2.752957593244778,2.752957593244778,mean +/- 1 SE,01_processed/episodes.csv
tomato,200,2,success,Task success (%),50,50,0,0,0,49.0,98.0,0.1414213562373095,89.50455641036218,99.64607407283539,8.495443589637816,1.6460740728353898,95% Wilson CI,01_processed/episodes.csv
tomato,200,2,questions,Questions per episode,50,50,0,0,0,517.0,10.34,1.9651037257766382,10.062092365953678,10.617907634046322,0.277907634046322,0.277907634046322,mean +/- 1 SE,01_processed/episodes.csv
tomato,200,2,steps,Physical/planning steps,50,50,0,0,0,756.0,15.12,5.582918555006578,14.330456086188528,15.90954391381147,0.789543913811471,0.789543913811471,mean +/- 1 SE,01_processed/episodes.csv
tomato,200,2,seconds,Logged episode time (s),50,50,0,0,0,196.23329999999996,3.924666,2.8024084225500734,3.5283456001521096,4.32098639984789,0.3963203998478906,0.39632039984789014,mean +/- 1 SE,01_processed/episodes.csv
tomato,200,2,questions_success_only,Questions (successful episodes),50,49,0,0,1,508.0,10.36734693877551,1.9758318664870882,10.08508524356307,10.64960863398795,0.2822616952124406,0.2822616952124406,mean +/- 1 SE,01_processed/episodes.csv
tomato,200,2,steps_success_only,Steps (successful episodes),50,49,0,0,1,706.0,14.408163265306122,2.4402729299791686,14.05955284673767,14.756773683874574,0.34861041856845176,0.34861041856845176,mean +/- 1 SE,01_processed/episodes.csv
tomato,200,2,reward,Cumulative reward,50,50,0,0,0,355.0,7.1,30.10339325913751,2.842737297947693,11.357262702052306,4.257262702052307,4.257262702052307,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,50,0,success,Task success (%),50,50,0,0,0,50.0,100.0,0.0,92.86524008666413,100,7.13475991333587,0,95% Wilson CI,01_processed/episodes.csv
wastesorting,50,0,questions,Questions per episode,50,50,0,0,0,369.0,7.38,1.8940292866731259,7.112143809525502,7.6478561904744975,0.2678561904744976,0.2678561904744976,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,50,0,steps,Physical/planning steps,50,50,0,0,0,498.0,9.96,0.6047431568147635,9.874476402588025,10.045523597411977,0.08552359741197613,0.08552359741197613,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,50,0,seconds,Logged episode time (s),50,50,0,0,0,24.474299999999996,0.489486,0.03126209160354712,0.48506487260661135,0.4939071273933886,0.004421127393388624,0.004421127393388624,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,50,0,questions_success_only,Questions (successful episodes),50,50,0,0,1,369.0,7.38,1.8940292866731259,7.112143809525502,7.6478561904744975,0.2678561904744976,0.2678561904744976,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,50,0,steps_success_only,Steps (successful episodes),50,50,0,0,1,498.0,9.96,0.6047431568147635,9.874476402588025,10.045523597411977,0.08552359741197613,0.08552359741197613,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,50,0,reward,Cumulative reward,50,50,0,0,0,590.0,11.8,6.288960200872897,10.910606719070094,12.689393280929908,0.889393280929907,0.889393280929907,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,100,1,success,Task success (%),50,50,0,0,0,50.0,100.0,0.0,92.86524008666413,100,7.13475991333587,0,95% Wilson CI,01_processed/episodes.csv
wastesorting,100,1,questions,Questions per episode,50,50,0,0,0,375.0,7.5,1.9192898346492004,7.228571428571429,7.771428571428571,0.27142857142857135,0.27142857142857135,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,100,1,steps,Physical/planning steps,50,50,0,0,0,499.0,9.98,0.5886685079439005,9.89674970123238,10.06325029876762,0.08325029876762002,0.08325029876762002,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,100,1,seconds,Logged episode time (s),50,50,0,0,0,45.24969999999998,0.904994,0.06549425402433469,0.8957317137701277,0.9142562862298722,0.00926228622987224,0.00926228622987224,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,100,1,questions_success_only,Questions (successful episodes),50,50,0,0,1,375.0,7.5,1.9192898346492004,7.228571428571429,7.771428571428571,0.27142857142857135,0.27142857142857135,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,100,1,steps_success_only,Steps (successful episodes),50,50,0,0,1,499.0,9.98,0.5886685079439005,9.89674970123238,10.06325029876762,0.08325029876762002,0.08325029876762002,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,100,1,reward,Cumulative reward,50,50,0,0,0,510.0,10.2,6.141195788629908,9.331503762653105,11.068496237346894,0.8684962373468945,0.8684962373468945,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,200,2,success,Task success (%),50,50,0,0,0,50.0,100.0,0.0,92.86524008666413,100,7.13475991333587,0,95% Wilson CI,01_processed/episodes.csv
wastesorting,200,2,questions,Questions per episode,50,50,0,0,0,371.0,7.42,1.727213161750005,7.175735172154383,7.664264827845617,0.2442648278456172,0.2442648278456172,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,200,2,steps,Physical/planning steps,50,50,0,0,0,498.0,9.96,0.5699982098074287,9.879390080116195,10.040609919883806,0.0806099198838055,0.0806099198838055,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,200,2,seconds,Logged episode time (s),50,50,0,0,0,85.44369999999999,1.708874,0.12512302812570888,1.6911789316659431,1.7265690683340569,0.017695068334056874,0.017695068334056874,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,200,2,questions_success_only,Questions (successful episodes),50,50,0,0,1,371.0,7.42,1.727213161750005,7.175735172154383,7.664264827845617,0.2442648278456172,0.2442648278456172,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,200,2,steps_success_only,Steps (successful episodes),50,50,0,0,1,498.0,9.96,0.5699982098074287,9.879390080116195,10.040609919883806,0.0806099198838055,0.0806099198838055,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,200,2,reward,Cumulative reward,50,50,0,0,0,500.0,10.0,6.226998490772391,9.119369428147289,10.880630571852711,0.880630571852711,0.880630571852711,mean +/- 1 SE,01_processed/episodes.csv
