domain,condition,scene,n_attempted,n_valid,n_errors,successes,success_percent,success_ci_low,success_ci_high,success_percent_errors_as_failure,end_reasons,questions_n,questions_mean,questions_sd,questions_success_only_n,questions_success_only_mean,questions_success_only_sd,steps_n,steps_mean,steps_sd,steps_success_only_n,steps_success_only_mean,steps_success_only_sd,seconds_n,seconds_mean,seconds_sd,seconds_success_only_n,seconds_success_only_mean,seconds_success_only_sd,reward_n,reward_mean,reward_sd,reward_success_only_n,reward_success_only_mean,reward_success_only_sd
tomato,50,01,10,10,0,9,90.0,59.58499732047615,98.21237869049271,90.0,"{'GOAL DONE': 9, 'MAX STEP': 1}",10,10.4,1.3498971154211057,9,10.222222222222221,1.3017082793177757,10,17.5,11.423659658795863,9,13.88888888888889,0.33333333333333337,10,0.90312,1.0843890976541175,9,0.5602555555555555,0.019541565387086512,10,-3.5,47.261095111212896,9,11.11111111111111,10.540925533894598
tomato,50,02,10,10,0,10,100.0,72.24672001371107,99.99999999999999,100.0,{'GOAL DONE': 10},10,8.6,1.505545305418162,10,8.6,1.505545305418162,10,14.0,1.247219128924647,10,14.0,1.247219128924647,10,0.57419,0.10004782689627328,10,0.57419,0.10004782689627328,10,16.0,8.432740427115679,10,16.0,8.432740427115679
tomato,50,03,10,10,0,10,100.0,72.24672001371107,99.99999999999999,100.0,{'GOAL DONE': 10},10,9.6,1.3498971154211057,10,9.6,1.3498971154211057,10,14.3,1.70293863659264,10,14.3,1.70293863659264,10,0.58654,0.1465229462499911,10,0.58654,0.1465229462499911,10,15.5,14.615440845595836,10,15.5,14.615440845595836
tomato,50,04,10,10,0,9,90.0,59.58499732047615,98.21237869049271,90.0,"{'GOAL DONE': 9, 'MAX STEP': 1}",10,10.1,2.1317702607092643,9,9.88888888888889,2.1473497877875207,10,19.0,11.469767022723502,9,15.555555555555555,3.811532208676424,10,1.03138,1.1264250014981023,9,0.6879666666666666,0.31732376604975554,10,-7.5,59.68668193156661,9,10.555555555555555,18.446619684315547
tomato,50,05,10,10,0,10,100.0,72.24672001371107,99.99999999999999,100.0,{'GOAL DONE': 10},10,10.6,2.1705094128132942,10,10.6,2.1705094128132942,10,14.5,0.97182531580755,10,14.5,0.97182531580755,10,0.58595,0.07673866546779255,10,0.58595,0.07673866546779255,10,12.0,9.189365834726814,10,12.0,9.189365834726814
tomato,100,01,10,10,0,9,90.0,59.58499732047615,98.21237869049271,90.0,"{'GOAL DONE': 9, 'MAX STEP': 1}",10,8.7,1.5670212364724212,9,9.0,1.3228756555322954,10,17.3,11.499275339486978,9,13.666666666666666,0.5,10,1.82446,2.3017992258231383,9,1.0970111111111112,0.08525502103167362,10,-1.5,61.2848540288164,9,17.77777777777778,6.666666666666667
tomato,100,02,10,10,0,10,100.0,72.24672001371107,99.99999999999999,100.0,{'GOAL DONE': 10},10,8.0,1.0540925533894598,10,8.0,1.0540925533894598,10,13.5,0.7071067811865476,10,13.5,0.7071067811865476,10,1.07427,0.12452181468856503,10,1.07427,0.12452181468856503,10,19.0,9.944289260117532,10,19.0,9.944289260117532
tomato,100,03,10,10,0,10,100.0,72.24672001371107,99.99999999999999,100.0,{'GOAL DONE': 10},10,8.4,1.6465452046971292,10,8.4,1.6465452046971292,10,13.4,0.5163977794943222,10,13.4,0.5163977794943222,10,1.05649,0.07747397340756154,10,1.05649,0.07747397340756154,10,17.0,6.749485577105529,10,17.0,6.749485577105529
tomato,100,04,10,10,0,10,100.0,72.24672001371107,99.99999999999999,100.0,{'GOAL DONE': 10},10,8.7,1.946506842754191,10,8.7,1.946506842754191,10,13.8,0.7888106377466155,10,13.8,0.7888106377466155,10,1.11598,0.1484974058883035,10,1.11598,0.1484974058883035,10,17.0,4.83045891539648,10,17.0,4.83045891539648
tomato,100,05,10,10,0,10,100.0,72.24672001371107,99.99999999999999,100.0,{'GOAL DONE': 10},10,9.3,2.057506581601462,10,9.3,2.057506581601462,10,13.8,0.9189365834726815,10,13.8,0.9189365834726815,10,1.11916,0.13747449217945848,10,1.11916,0.13747449217945848,10,17.0,6.749485577105529,10,17.0,6.749485577105529
