domain,condition,scene,n_attempted,n_valid,n_errors,successes,success_percent,success_ci_low,success_ci_high,success_percent_errors_as_failure,end_reasons,questions_n,questions_mean,questions_sd,questions_success_only_n,questions_success_only_mean,questions_success_only_sd,steps_n,steps_mean,steps_sd,steps_success_only_n,steps_success_only_mean,steps_success_only_sd,seconds_n,seconds_mean,seconds_sd,seconds_success_only_n,seconds_success_only_mean,seconds_success_only_sd,reward_n,reward_mean,reward_sd,reward_success_only_n,reward_success_only_mean,reward_success_only_sd
all,ours,all,400,400,0,390,97.5,95.45984121283544,98.6364908254064,97.5,"{'GOAL DONE': 390, 'PLAN FAILURE': 6, 'MAX STEP': 4}",400,8.415,2.2495390783809266,390,8.51025641025641,2.1423979155811157,400,12.3775,4.410058422313763,390,12.112820512820512,2.0812764877837058,400,1.0137265,0.7953987190418297,390,0.9484297435897436,0.20328964377775438,400,24.625,20.183602739572343,390,26.858974358974358,6.448778523615276
all,query_action_pomcp,all,400,400,0,218,54.5,49.6002466449648,59.31414270602654,54.5,"{'GOAL DONE': 218, 'PLAN FAILURE': 178, 'MAX STEP': 4}",400,1.175,2.486933270663254,218,1.224770642201835,1.1154264719979021,400,13.3125,7.111700532302586,218,15.752293577981652,4.427929712126718,400,1.6660632499999999,0.8514169484010162,218,1.9190490825688074,0.5815496676698357,400,17.925,12.56738728048293,218,27.90366972477064,4.026969600942287
all,knowno,all,400,400,0,224,56.0,51.101278719513985,60.78457374847447,56.0,"{'success': 224, 'PLAN FAILURE: true fresh tomato tomato1 was discarded.': 19, 'PLAN FAILURE: true rotten tomato tomato2 was loaded.': 6, 'PLAN FAILURE: true fresh tomato tomato3 was discarded.': 12, 'non-executable action selected: an option not listed here': 9, 'invalid pick tomato not observed here: tomato3': 4, 'invalid scan without held tomato': 2, 'invalid pick tomato not observed here: tomato1': 1, 'invalid pick tomato not observed here: tomato2': 2, 'PLAN FAILURE: true rotten tomato tomato3 was loaded.': 7, 'PLAN FAILURE: true fresh tomato tomato4 was discarded.': 10, 'PLAN FAILURE: true rotten tomato tomato4 was loaded.': 6, 'PLAN FAILURE: true unripe tomato tomato2 is held.': 1, 'PLAN FAILURE: true rotten tomato tomato1 was loaded.': 10, 'PLAN FAILURE: true fresh tomato tomato2 was discarded.': 1, 'PLAN FAILURE: true general waste waste2 was placed into can bin.': 2, 'PLAN FAILURE: true plastic waste waste3 was placed into paper bin.': 3, 'PLAN FAILURE: true general waste waste2 was placed into paper bin.': 2, 'PLAN FAILURE: true general waste waste2 was placed into plastic bin.': 5, 'PLAN FAILURE: true can waste waste4 was placed into paper bin.': 2, 'PLAN FAILURE: true plastic waste waste3 was placed into general bin.': 3, 'PLAN FAILURE: true can waste waste4 was placed into plastic bin.': 3, 'PLAN FAILURE: true paper waste waste1 was placed into plastic bin.': 5, 'PLAN FAILURE: true paper waste waste3 was placed into plastic bin.': 4, 'PLAN FAILURE: true can waste waste4 was placed into general bin.': 4, 'PLAN FAILURE: true can waste waste1 was placed into paper bin.': 2, 'selected fallback option': 2, 'PLAN FAILURE: true can waste waste1 was placed into plastic bin.': 1, 'PLAN FAILURE: true plastic waste waste2 was placed into general bin.': 4, 'PLAN FAILURE: true plastic waste waste1 was placed into general bin.': 3, 'PLAN FAILURE: true general waste waste4 was placed into can bin.': 4, 'PLAN FAILURE: true plastic waste waste1 was placed into can bin.': 3, 'PLAN FAILURE: true plastic waste waste1 was placed into paper bin.': 2, 'PLAN FAILURE: true paper waste waste3 was placed into can bin.': 1, 'PLAN FAILURE: true general waste waste4 was placed into plastic bin.': 3, 'PLAN FAILURE: true paper waste waste2 was placed into general bin.': 3, 'PLAN FAILURE: true paper waste waste2 was placed into can bin.': 4, 'PLAN FAILURE: true paper waste waste2 was placed into plastic bin.': 4, 'PLAN FAILURE: true paper waste waste1 was placed into can bin.': 4, 'PLAN FAILURE: true can waste waste3 was placed into general bin.': 6, 'PLAN FAILURE: true paper waste waste1 was placed into general bin.': 3, 'PLAN FAILURE: true can waste waste3 was placed into paper bin.': 2, 'PLAN FAILURE: true can waste waste3 was placed into plastic bin.': 2}",400,2.3925,1.5229057274291773,224,2.90625,1.501913950829097,400,10.15,3.627035769216778,224,12.303571428571429,1.8598388749069072,400,15.636973601179198,5.837695128682091,224,18.68526575497942,3.8563786888617595,0,,,0,,
all,introplan,all,400,400,0,219,54.75,49.850112055362786,59.55952114846139,54.75,"{'success': 219, 'PLAN FAILURE: true fresh tomato tomato1 was discarded.': 18, 'PLAN FAILURE: true rotten tomato tomato2 was loaded.': 4, 'invalid scan without held tomato': 2, 'non-executable action selected: an option not listed here': 6, 'PLAN FAILURE: true fresh tomato tomato3 was discarded.': 10, 'PLAN FAILURE: true fresh tomato tomato4 was discarded.': 6, 'PLAN FAILURE: true rotten tomato tomato3 was loaded.': 5, 'PLAN FAILURE: true unripe tomato tomato2 is held.': 6, 'invalid pick tomato not observed here: tomato2': 1, 'PLAN FAILURE: true rotten tomato tomato4 was loaded.': 3, 'PLAN FAILURE: true rotten tomato tomato1 was loaded.': 10, 'PLAN FAILURE: true fresh tomato tomato2 was discarded.': 1, 'PLAN FAILURE: true general waste waste2 was placed into can bin.': 1, 'PLAN FAILURE: true plastic waste waste3 was placed into paper bin.': 3, 'PLAN FAILURE: true general waste waste2 was placed into paper bin.': 1, 'PLAN FAILURE: true general waste waste2 was placed into plastic bin.': 5, 'invalid place without held object': 17, 'PLAN FAILURE: true can waste waste4 was placed into paper bin.': 2, 'PLAN FAILURE: true paper waste waste1 was placed into general bin.': 6, 'PLAN FAILURE: true plastic waste waste3 was placed into general bin.': 3, 'PLAN FAILURE: true can waste waste4 was placed into plastic bin.': 3, 'PLAN FAILURE: true paper waste waste1 was placed into plastic bin.': 5, 'PLAN FAILURE: true paper waste waste3 was placed into general bin.': 2, 'PLAN FAILURE: true paper waste waste3 was placed into plastic bin.': 5, 'PLAN FAILURE: true can waste waste4 was placed into general bin.': 4, 'PLAN FAILURE: true can waste waste1 was placed into paper bin.': 2, 'PLAN FAILURE: true can waste waste1 was placed into plastic bin.': 1, 'PLAN FAILURE: true plastic waste waste2 was placed into general bin.': 4, 'PLAN FAILURE: true plastic waste waste1 was placed into general bin.': 3, 'PLAN FAILURE: true general waste waste4 was placed into can bin.': 4, 'PLAN FAILURE: true plastic waste waste1 was placed into can bin.': 3, 'PLAN FAILURE: true paper waste waste3 was placed into can bin.': 1, 'PLAN FAILURE: true plastic waste waste1 was placed into paper bin.': 1, 'PLAN FAILURE: true general waste waste4 was placed into plastic bin.': 2, 'PLAN FAILURE: true paper waste waste2 was placed into general bin.': 3, 'PLAN FAILURE: true paper waste waste2 was placed into can bin.': 4, 'PLAN FAILURE: true paper waste waste2 was placed into plastic bin.': 2, 'PLAN FAILURE: true paper waste waste1 was placed into can bin.': 4, 'selected fallback option': 8, 'PLAN FAILURE: true can waste waste3 was placed into general bin.': 6, 'PLAN FAILURE: true can waste waste3 was placed into paper bin.': 2, 'PLAN FAILURE: true can waste waste3 was placed into plastic bin.': 2}",400,3.5125,1.5751337612770502,219,4.200913242009133,1.2763907999080453,400,9.9925,4.135844142000191,219,12.69406392694064,2.0503996959924162,400,41.24916847632616,19.802921234524902,219,52.44303928071752,15.210625017718906,0,,,0,,
tomato,ours,all,200,200,0,190,95.0,91.0421851861224,97.2617354399236,95.0,"{'GOAL DONE': 190, 'PLAN FAILURE': 6, 'MAX STEP': 4}",200,9.0,2.187217318418531,190,9.226315789473684,1.876149976875039,200,14.41,5.470055533327651,190,13.973684210526315,1.1475034346587405,200,1.2210675,1.084772065071528,190,1.09795,0.18866769020699417,200,25.075,27.484474831874078,190,29.68421052631579,2.391621875117261
tomato,query_action_pomcp,all,200,200,0,118,59.0,52.07645903369208,65.58432509151712,59.0,"{'GOAL DONE': 118, 'PLAN FAILURE': 80, 'MAX STEP': 2}",200,1.195,1.545613016893281,118,1.2966101694915255,1.0884735805807109,200,16.7,6.919493983299979,118,18.822033898305083,3.41347594837332,200,1.975296,1.0580619480035491,118,2.2628042372881354,0.5830944551760937,200,19.73,11.747216071356467,118,28.279661016949152,1.956298586006909
tomato,knowno,all,200,200,0,110,55.0,48.0756151384757,61.73593159775166,55.0,"{'success': 110, 'PLAN FAILURE: true fresh tomato tomato1 was discarded.': 19, 'PLAN FAILURE: true rotten tomato tomato2 was loaded.': 6, 'PLAN FAILURE: true fresh tomato tomato3 was discarded.': 12, 'non-executable action selected: an option not listed here': 9, 'invalid pick tomato not observed here: tomato3': 4, 'invalid scan without held tomato': 2, 'invalid pick tomato not observed here: tomato1': 1, 'invalid pick tomato not observed here: tomato2': 2, 'PLAN FAILURE: true rotten tomato tomato3 was loaded.': 7, 'PLAN FAILURE: true fresh tomato tomato4 was discarded.': 10, 'PLAN FAILURE: true rotten tomato tomato4 was loaded.': 6, 'PLAN FAILURE: true unripe tomato tomato2 is held.': 1, 'PLAN FAILURE: true rotten tomato tomato1 was loaded.': 10, 'PLAN FAILURE: true fresh tomato tomato2 was discarded.': 1}",200,1.71,1.1189999124307832,110,2.172727272727273,0.9848307348542665,200,11.325,3.767004995107629,110,13.809090909090909,0.9433052814677958,200,18.205573268544395,5.822862038627446,110,21.875850491788746,2.0422748145441845,0,,,0,,
tomato,introplan,all,200,200,0,128,64.0,57.141528166003084,70.33080269543346,64.0,"{'success': 128, 'PLAN FAILURE: true fresh tomato tomato1 was discarded.': 18, 'PLAN FAILURE: true rotten tomato tomato2 was loaded.': 4, 'invalid scan without held tomato': 2, 'non-executable action selected: an option not listed here': 6, 'PLAN FAILURE: true fresh tomato tomato3 was discarded.': 10, 'PLAN FAILURE: true fresh tomato tomato4 was discarded.': 6, 'PLAN FAILURE: true rotten tomato tomato3 was loaded.': 5, 'PLAN FAILURE: true unripe tomato tomato2 is held.': 6, 'invalid pick tomato not observed here: tomato2': 1, 'PLAN FAILURE: true rotten tomato tomato4 was loaded.': 3, 'PLAN FAILURE: true rotten tomato tomato1 was loaded.': 10, 'PLAN FAILURE: true fresh tomato tomato2 was discarded.': 1}",200,3.535,1.546198125472955,128,3.96875,1.3453770364023387,200,11.94,3.730412832314607,128,14.078125,1.2141513026912139,200,54.341796182331166,17.529073139187865,128,63.76597724149542,8.109659919065308,0,,,0,,
wastesorting,ours,all,200,200,0,200,100.0,98.11546736227335,100,100.0,{'GOAL DONE': 200},200,7.83,2.16205281198426,200,7.83,2.16205281198426,200,10.345,0.8773962164284816,200,10.345,0.8773962164284816,200,0.8063855,0.07317348656055099,200,0.8063855,0.07317348656055099,200,24.175,7.810209463215214,200,24.175,7.810209463215214
wastesorting,query_action_pomcp,all,200,200,0,100,50.0,43.13608596038919,56.86391403961082,50.0,"{'GOAL DONE': 100, 'PLAN FAILURE': 98, 'MAX STEP': 2}",200,1.155,3.164021199479196,100,1.14,1.1460956999899063,200,9.925,5.519210397972289,100,12.13,2.1726258376220766,200,1.3568305,0.3765082743086323,100,1.513418,0.1801253376082467,200,16.12,13.119688683645618,100,27.46,5.53669120458686
