domain,reference,comparison,n_pairs,reference_unmatched,comparison_unmatched,reference_only_success,comparison_only_success,success_delta_pp,exact_mcnemar_p,p_holm,difference_direction,questions_paired_n,questions_delta_mean,questions_delta_ci95_normal_low,questions_delta_ci95_normal_high,steps_paired_n,steps_delta_mean,steps_delta_ci95_normal_low,steps_delta_ci95_normal_high,seconds_paired_n,seconds_delta_mean,seconds_delta_ci95_normal_low,seconds_delta_ci95_normal_high,reward_paired_n,reward_delta_mean,reward_delta_ci95_normal_low,reward_delta_ci95_normal_high
all,0.8,0.0,400,0,0,186,4,45.5,6.849720557755361e-50,4.794804390428753e-49,reference minus comparison,400,14.4,13.842564313165052,14.957435686834948,400,2.96,2.1612727504988345,3.7587272495011654,400,0.84025275,0.5461742785132941,1.1343312214867058,400,0.7125,-1.112469701135364,2.5374697011353637
all,0.8,0.1,400,0,0,185,3,45.5,5.64644281614732e-51,5.64644281614732e-50,reference minus comparison,400,13.4575,12.888244747912681,14.026755252087318,400,3.4825,2.7044951298541786,4.260504870145821,400,0.9131255,0.6213587735776169,1.2048922264223831,400,1.1875,-0.550590693938874,2.925590693938874
all,0.8,0.2,400,0,0,182,3,44.75,4.304359995901132e-50,3.784650490221272e-49,reference minus comparison,400,13.1275,12.574388201845181,13.680611798154818,400,3.405,2.6251331983056607,4.184866801694339,400,0.881228,0.5892457313142745,1.1732102686857255,400,1.275,-0.45050434992897026,3.00050434992897
all,0.8,0.3,400,0,0,177,2,43.75,4.205167211356969e-50,3.784650490221272e-49,reference minus comparison,400,12.3775,11.837255462079954,12.917744537920045,400,3.36,2.603224896203892,4.116775103796108,400,0.85829575,0.575123009496809,1.141468490503191,400,1.2625,-0.395696040848728,2.920696040848728
all,0.8,0.4,400,0,0,115,3,28.0,1.6487043659548457e-30,9.892226195729074e-30,reference minus comparison,400,9.6075,9.008894437765813,10.206105562234187,400,2.0825,1.4530659631654284,2.7119340368345717,400,0.409262,0.18374142430044377,0.6347825756995562,400,1.425,-0.16161683300498297,3.0116168330049833
all,0.8,0.5,400,0,0,81,1,20.0,3.432799542095065e-23,1.7163997710475324e-22,reference minus comparison,400,8.1425,7.609682641833015,8.675317358166986,400,1.66,1.2426756513122197,2.07732434868778,400,0.31580025,0.18612678488771078,0.4454737151122892,400,0.6625,-0.3530567804037542,1.6780567804037543
all,0.8,0.6,400,0,0,62,1,15.25,1.3877787807814457e-17,5.551115123125783e-17,reference minus comparison,400,5.61,5.1470303615100805,6.07296963848992,400,1.38,0.9837250573434175,1.7762749426565823,400,0.29331,0.16488011087186452,0.42173988912813554,400,-0.0625,-1.037846662902677,0.912846662902677
all,0.8,0.7,400,0,0,14,0,3.5,0.0001220703125,0.0003662109375,reference minus comparison,400,1.735,1.426819443372086,2.043180556627914,400,0.44,0.20356317509401164,0.6764368249059883,400,0.16010324999999997,0.07261861228495452,0.24758788771504542,400,-0.45,-1.0631380381996807,0.1631380381996806
all,0.8,0.9,400,0,0,5,4,0.25,1.0,1.0,reference minus comparison,400,-0.81,-1.0332957235744757,-0.5867042764255245,400,0.29,-0.06071746637616798,0.6407174663761679,400,0.135667,-0.006665921790102863,0.2779999217901029,400,-0.1625,-1.1609068017822148,0.8359068017822148
all,0.8,1.0,400,0,0,11,8,0.75,0.6476058959960938,1.0,reference minus comparison,400,-10.6575,-11.2919198507866,-10.023080149213401,400,-0.3825,-0.9733166797637398,0.20831667976373974,400,-0.0032879999999999893,-0.23708984641473207,0.2305138464147321,400,0.1625,-1.4853360079199707,1.8103360079199708
tomato,0.8,0.0,200,0,0,98,4,47.0,1.74595783696353e-24,1.571362053267177e-23,reference minus comparison,200,15.46,14.5092283740992,16.410771625900804,200,4.275,2.81535970368919,5.734640296310811,200,1.582093,1.0160979392034717,2.1480880607965283,200,-0.725,-4.117906853811211,2.667906853811211
