domain,scene,seed,reference,comparison,reference_source,comparison_source,reference_success,comparison_success,questions_delta,steps_delta,seconds_delta,reward_delta
tomato,01,1056577351,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-8/exp_tomato_20260912_152611_927757.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-0/exp_tomato_20260912_152532_696135.txt,1,1,8.0,-8.0,-3.234499999999999,-5.0
tomato,01,1141542374,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-8/exp_tomato_20260912_152508_921758.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-0/exp_tomato_20260912_152423_390874.txt,1,0,18.0,16.0,5.9892,-5.0
tomato,01,1478249859,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-8/exp_tomato_20260912_150615_163305.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-0/exp_tomato_20260912_150531_355120.txt,1,1,15.0,-1.0,-0.4084000000000003,-10.0
tomato,01,1594824363,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-8/exp_tomato_20260912_154053_554281.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-0/exp_tomato_20260912_154007_144920.txt,1,0,16.0,-4.0,-1.4877000000000002,30.0
tomato,01,1683949207,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-8/exp_tomato_20260912_154419_919368.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-0/exp_tomato_20260912_154333_722317.txt,1,0,26.0,15.0,5.3453,5.0
tomato,01,1699834104,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-8/exp_tomato_20260912_153635_345688.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-0/exp_tomato_20260912_153558_465773.txt,1,0,7.0,4.0,1.6945999999999994,10.0
tomato,01,1879106387,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-8/exp_tomato_20260912_151317_708156.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-0/exp_tomato_20260912_151217_268318.txt,1,0,17.0,10.0,3.2718,-5.0
tomato,01,1942069712,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-8/exp_tomato_20260912_152359_523464.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-0/exp_tomato_20260912_152251_943844.txt,1,1,26.0,18.0,5.853699999999999,-55.0
tomato,01,2004550425,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-8/exp_tomato_20260912_150936_480526.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-0/exp_tomato_20260912_150855_401433.txt,1,1,7.0,-1.0,-0.17499999999999982,10.0
tomato,01,2116551060,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-8/exp_tomato_20260912_153400_174869.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-0/exp_tomato_20260912_153305_422792.txt,1,0,18.0,0.0,0.22670000000000012,0.0
tomato,01,2187974157,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-8/exp_tomato_20260912_153719_570330.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-0/exp_tomato_20260912_153644_746427.txt,1,0,17.0,10.0,3.4298,5.0
tomato,01,2296437748,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-8/exp_tomato_20260912_151057_627839.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-0/exp_tomato_20260912_151044_757112.txt,1,0,15.0,19.0,6.3495,-5.0
tomato,01,2337904406,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-8/exp_tomato_20260912_151549_628988.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-0/exp_tomato_20260912_151341_188211.txt,0,1,25.0,32.0,12.6767,-60.0
tomato,01,2351981716,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-8/exp_tomato_20260912_150713_296858.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-0/exp_tomato_20260912_150632_874368.txt,1,1,14.0,-4.0,-2.1999999999999993,-10.0
tomato,01,2485637700,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-8/exp_tomato_20260912_152906_338384.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-0/exp_tomato_20260912_152729_986960.txt,1,0,9.0,-36.0,-15.1934,80.0
tomato,01,2621517829,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-8/exp_tomato_20260912_152238_553483.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-0/exp_tomato_20260912_152202_416879.txt,1,1,6.0,0.0,0.009499999999999176,0.0
tomato,01,2691889787,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-8/exp_tomato_20260912_153159_891100.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-0/exp_tomato_20260912_153118_445896.txt,1,0,10.0,15.0,5.6712,10.0
tomato,01,32280887,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-8/exp_tomato_20260912_154615_024226.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-0/exp_tomato_20260912_154523_604485.txt,1,0,18.0,0.0,0.20809999999999995,0.0
tomato,01,3339285364,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-8/exp_tomato_20260912_153912_120863.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-0/exp_tomato_20260912_153828_431914.txt,1,1,11.0,0.0,-0.01920000000000055,0.0
tomato,01,3593399562,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-8/exp_tomato_20260912_150205_568911.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-0/exp_tomato_20260912_150123_215677.txt,1,0,21.0,7.0,2.7683000000000004,0.0
tomato,01,3632544374,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-8/exp_tomato_20260912_152658_551213.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/tomato/scene_01_step50/thres_0-0/exp_tomato_20260912_152623_830565.txt,1,0,9.0,7.0,2.2472000000000003,-5.0
