domain,condition,scene,n_attempted,n_valid,n_errors,successes,success_percent,success_ci_low,success_ci_high,success_percent_errors_as_failure,end_reasons,questions_n,questions_mean,questions_sd,questions_success_only_n,questions_success_only_mean,questions_success_only_sd,steps_n,steps_mean,steps_sd,steps_success_only_n,steps_success_only_mean,steps_success_only_sd,seconds_n,seconds_mean,seconds_sd,seconds_success_only_n,seconds_success_only_mean,seconds_success_only_sd,reward_n,reward_mean,reward_sd,reward_success_only_n,reward_success_only_mean,reward_success_only_sd
tomato,0.0,01,40,40,0,18,45.0,30.70530781090492,60.17090820106794,45.0,"{'PLAN FAILURE': 21, 'GOAL DONE': 18, 'MAX STEP': 1}",40,0.0,0.0,18,0.0,0.0,40,15.6,8.279725004723657,18,18.88888888888889,4.309891344186394,40,5.0629675,3.2200720733602557,18,6.216455555555555,1.653265470025635,40,-1.5,18.543089112824592,18,2.5,14.063929665888507
tomato,0.0,02,40,40,0,20,50.0,35.199526933465386,64.80047306653461,50.0,"{'GOAL DONE': 20, 'PLAN FAILURE': 19, 'MAX STEP': 1}",40,0.0,0.0,20,0.0,0.0,40,16.475,8.239951144988353,20,19.45,4.501169438689181,40,5.3194075000000005,3.122635370421749,20,6.34977,1.598362149563701,40,-4.125,18.041529726489237,20,0.5,13.755381721922133
tomato,0.0,03,40,40,0,14,35.0,22.13452887317629,50.494119162742315,35.0,"{'GOAL DONE': 14, 'PLAN FAILURE': 26}",40,0.0,0.0,14,0.0,0.0,40,14.375,5.723041597630156,14,18.0,3.3741095691478935,40,4.4738075,1.9692169917791025,14,5.799471428571429,1.2310808137121256,40,0.5,12.289249001694165,14,6.785714285714286,13.244322855929173
tomato,0.0,04,40,40,0,17,42.5,28.509392559950374,57.80493145800892,42.5,"{'GOAL DONE': 17, 'PLAN FAILURE': 21, 'MAX STEP': 2}",40,0.0,0.0,17,0.0,0.0,40,17.725,10.786951994578141,17,20.58823529411765,7.508818345197629,40,5.748315,4.1111088425954705,17,6.635541176470588,2.745869665529216,40,-8.625,33.35872430383822,17,-10.294117647058824,33.60945682743615
tomato,0.0,05,40,40,0,24,60.0,44.595893660346185,73.65167431570808,60.0,"{'PLAN FAILURE': 16, 'GOAL DONE': 24}",40,0.0,0.0,24,0.0,0.0,40,15.9,6.49575798462903,24,18.375,4.725623952361258,40,4.9895525,2.357221016909041,24,5.8743125,1.6892661257924995,40,-2.375,12.194339796681207,24,-0.4166666666666667,12.240050677170833
tomato,0.1,01,40,40,0,17,42.5,28.509392559950374,57.80493145800892,42.5,"{'PLAN FAILURE': 22, 'GOAL DONE': 17, 'MAX STEP': 1}",40,1.3,2.7099058551155872,17,2.4705882352941178,3.6762352865877537,40,15.275,8.101875376441223,17,18.176470588235293,4.231360509895828,40,4.91002,3.1548774875803067,17,5.9486058823529415,1.6335510783529958,40,-1.125,18.793326011222774,17,2.0588235294117645,15.618380950963251
tomato,0.1,02,40,40,0,19,47.5,32.9354701126789,62.502637893307536,47.5,"{'PLAN FAILURE': 20, 'GOAL DONE': 19, 'MAX STEP': 1}",40,1.025,2.081512024392919,19,1.5263157894736843,2.7762568935855496,40,16.125,8.215643302371085,19,18.31578947368421,4.321170515020559,40,5.25177,3.1363846506807227,19,6.021036842105263,1.5640893517423862,40,-3.375,18.823999275338615,19,2.1052631578947367,14.367767695018307
tomato,0.1,03,40,40,0,15,37.5,24.222979167233266,52.96756086269889,37.5,"{'GOAL DONE': 15, 'PLAN FAILURE': 25}",40,0.9,1.9054577483558197,15,1.5333333333333334,2.445598573141631,40,14.9,5.6377846167280445,15,17.866666666666667,3.461351236287988,40,4.659935,1.9478230330228563,15,5.767733333333333,1.264794189732445,40,0.5,12.850221987506876,15,4.666666666666667,15.637257097196091
tomato,0.1,04,40,40,0,18,45.0,30.70530781090492,60.17090820106794,45.0,"{'GOAL DONE': 18, 'PLAN FAILURE': 20, 'MAX STEP': 2}",40,1.925,3.1573073565286203,18,2.0,2.970442628930023,40,17.775,9.793999994763933,18,19.833333333333332,3.8233031607267987,40,5.74897,3.7624848775707678,18,6.377288888888889,1.334190684355959,40,-6.75,28.656900542765413,18,-6.944444444444445,19.5642898646615
tomato,0.1,05,40,40,0,24,60.0,44.595893660346185,73.65167431570808,60.0,"{'PLAN FAILURE': 16, 'GOAL DONE': 24}",40,1.3,2.3336996049521552,24,1.1666666666666667,1.7856107630448046,40,16.1,5.964854330114624,24,17.625,4.362014891428442,40,5.092995,2.1644994319111266,24,5.6263708333333335,1.5734037792602953,40,-1.625,13.174737870208954,24,1.4583333333333333,13.227044648935284
tomato,0.2,01,40,40,0,18,45.0,30.70530781090492,60.17090820106794,45.0,"{'PLAN FAILURE': 21, 'GOAL DONE': 18, 'MAX STEP': 1}",40,1.675,2.7954862885987457,18,2.7222222222222223,3.6751239363744483,40,15.75,8.368898466253581,18,19.0,4.814194697790617,40,5.086215,3.246703657838287,18,6.235344444444444,1.798399272955625,40,-1.25,18.733967504550083,18,0.5555555555555556,15.893847208431549
tomato,0.2,02,40,40,0,20,50.0,35.199526933465386,64.80047306653461,50.0,"{'PLAN FAILURE': 19, 'GOAL DONE': 20, 'MAX STEP': 1}",40,1.825,2.4378163831488044,20,2.2,2.745330964613039,40,16.3,8.287154099986502,20,18.55,4.334379091088268,40,5.3096974999999995,3.1313054672900833,20,6.11139,1.5615601772788514,40,-3.5,18.88562063228706,20,1.25,14.498185004373914
tomato,0.2,03,40,40,0,15,37.5,24.222979167233266,52.96756086269889,37.5,"{'GOAL DONE': 15, 'PLAN FAILURE': 25}",40,1.475,2.230183389032828,15,2.066666666666667,2.8149262021959873,40,14.9,5.6377846167280445,15,17.866666666666667,3.461351236287988,40,4.676795,1.9758060477779436,15,5.793446666666666,1.2951383670517693,40,0.5,12.850221987506876,15,4.666666666666667,15.637257097196091
tomato,0.2,04,40,40,0,19,47.5,32.9354701126789,62.502637893307536,47.5,"{'GOAL DONE': 19, 'PLAN FAILURE': 19, 'MAX STEP': 2}",40,2.725,3.5081407158281555,19,3.1052631578947367,3.2980589719494318,40,17.9,9.854843921541768,19,20.105263157894736,3.90006747579955,40,5.797625,3.7785540045101906,19,6.4767052631578945,1.379210969469172,40,-7.375,28.889433344639333,19,-8.157894736842104,19.735087641318604
tomato,0.2,05,40,40,0,24,60.0,44.595893660346185,73.65167431570808,60.0,"{'PLAN FAILURE': 16, 'GOAL DONE': 24}",40,2.0,2.7362710916828923,24,2.2083333333333335,2.5703859745125857,40,16.1,5.964854330114624,24,17.625,4.362014891428442,40,5.108695,2.1750754236200405,24,5.628995833333334,1.5941287890471212,40,-1.625,13.174737870208954,24,1.4583333333333333,13.227044648935284
tomato,0.3,01,40,40,0,22,55.0,39.829091798932055,69.29469218909507,55.0,"{'GOAL DONE': 22, 'PLAN FAILURE': 16, 'MAX STEP': 2}",40,4.075,4.514293538732961,22,5.045454545454546,4.785665826465258,40,17.775,10.14633317623056,22,20.136363636363637,5.092435609106946,40,5.8527225000000005,3.9823129430203545,22,6.6291863636363635,1.9461301584464281,40,-3.5,21.489413016526807,22,0.0,15.039630187955959
