domain,condition,scene,n_attempted,n_valid,n_errors,successes,success_percent,success_ci_low,success_ci_high,success_percent_errors_as_failure,end_reasons,questions_n,questions_mean,questions_sd,questions_success_only_n,questions_success_only_mean,questions_success_only_sd,steps_n,steps_mean,steps_sd,steps_success_only_n,steps_success_only_mean,steps_success_only_sd,seconds_n,seconds_mean,seconds_sd,seconds_success_only_n,seconds_success_only_mean,seconds_success_only_sd,reward_n,reward_mean,reward_sd,reward_success_only_n,reward_success_only_mean,reward_success_only_sd
all,0.0,all,400,400,0,205,51.25,46.36306970848221,56.11314955568205,51.25,"{'PLAN FAILURE': 191, 'GOAL DONE': 205, 'MAX STEP': 4}",400,0.0,0.0,205,0.0,0.0,400,13.1825,7.047934250046779,205,15.887804878048781,4.672835302646816,400,3.398855,2.779269988341406,205,3.863672682926829,2.4575382831747965,400,2.8875,16.497127987306577,205,7.7073170731707314,15.133788813283017
all,0.1,all,400,400,0,205,51.25,46.36306970848221,56.11314955568205,51.25,"{'PLAN FAILURE': 191, 'GOAL DONE': 205, 'MAX STEP': 4}",400,0.9425,1.872955861505516,205,1.1853658536585365,1.9888859054522818,400,12.66,6.921283147004066,205,14.917073170731708,4.23546548354096,400,3.32598225,2.751989545703087,205,3.661609268292683,2.3117887660818637,400,2.4125,15.34049120550138,205,6.585365853658536,12.921284329103443
all,0.2,all,400,400,0,208,52.0,47.10829149039235,56.85365933227047,52.0,"{'PLAN FAILURE': 188, 'GOAL DONE': 208, 'MAX STEP': 4}",400,1.2725,2.15170125615508,208,1.5528846153846154,2.27719026511407,400,12.7375,7.006162253602861,208,15.091346153846153,4.42176458485183,400,3.35787975,2.7869235179049254,208,3.7405317307692307,2.3826925636762195,400,2.325,15.429340113590476,208,6.153846153846154,13.283071374333472
all,0.3,all,400,400,0,212,53.0,48.10361559058216,57.839310643412055,53.0,"{'GOAL DONE': 212, 'PLAN FAILURE': 183, 'MAX STEP': 5}",400,2.0225,3.12352120399069,212,2.2735849056603774,3.1773279150822087,400,12.7825,7.243020579688731,212,15.13679245283019,4.313009647812403,400,3.380812,2.9018349185458896,212,3.774904245283019,2.3546043525189795,400,2.3375,15.611145486751488,212,6.462264150943396,12.693375910518169
all,0.4,all,400,400,0,275,68.75,64.04744504377175,73.09584391869214,68.75,"{'PLAN FAILURE': 117, 'GOAL DONE': 275, 'MAX STEP': 8}",400,4.7925,4.765629213914075,275,5.723636363636364,4.534135076195217,400,14.06,8.165665633498303,275,15.770909090909091,4.404943835332671,400,3.82984575,3.3291216847332783,275,4.163433818181818,2.3248520905118384,400,2.175,17.739252455902292,275,5.618181818181818,12.96329871099448
all,0.5,all,400,400,0,307,76.75,72.36773296522551,80.62335928788961,76.75,"{'GOAL DONE': 307, 'PLAN FAILURE': 85, 'MAX STEP': 8}",400,6.2575,4.912384609982302,307,7.384364820846906,4.532614184286479,400,14.4825,7.948751497936002,307,15.57328990228013,4.460832074994858,400,3.9233075,3.331918022079534,307,4.0871100977198696,2.3139842903971695,400,2.9375,17.36916271105801,307,6.042345276872964,12.269635391959946
all,0.6,all,400,400,0,326,81.5,77.40142283989209,84.99930261704722,81.5,"{'GOAL DONE': 326, 'PLAN FAILURE': 66, 'MAX STEP': 8}",400,8.79,5.452083366253808,326,9.66564417177914,4.7505644084835374,400,14.7625,7.728221481568086,326,15.355828220858896,4.395355564992305,400,3.94579775,3.2990213774226542,326,3.9542134969325153,2.2929262508725285,400,3.6625,17.636644289787988,326,6.7024539877300615,12.219799574940765
all,0.7,all,400,400,0,373,93.25,90.35733345645932,95.31985308362403,93.25,"{'GOAL DONE': 373, 'PLAN FAILURE': 17, 'MAX STEP': 10}",400,12.665,5.105677708410059,373,12.592493297587131,4.730380813182356,400,15.7025,7.276080477688141,373,14.798927613941018,4.228017015002988,400,4.0790045,3.404769259363035,373,3.626618766756032,2.24115778383991,400,4.05,19.03294861108179,373,7.010723860589812,11.540247139663421
all,0.8,all,400,400,0,387,96.75,94.51958471762332,98.09101576211997,96.75,"{'GOAL DONE': 387, 'MAX STEP': 13}",400,14.4,5.688223775864552,387,13.968992248062015,5.147469801257899,400,16.1425,7.597796392709051,387,15.005167958656331,4.445988371695374,400,4.23910775,3.559339385492444,387,3.7381232558139534,2.311698318661931,400,3.6,20.26862211909128,387,6.459948320413437,12.826071367845792
all,0.9,all,400,400,0,386,96.5,94.21148604670819,97.90387058020222,96.5,"{'GOAL DONE': 386, 'MAX STEP': 10, 'PLAN FAILURE': 4}",400,15.21,5.698427870957151,386,15.007772020725389,5.398647421739457,400,15.8525,7.085637543545128,386,15.046632124352332,4.504301154196133,400,4.10344075,3.3020958988310936,386,3.7369134715025907,2.312999272957336,400,3.7625,19.640403697314465,386,6.178756476683938,13.047233453391398
